 frequency       l_ind_p1        q_ind_p1        l_ind_p13       q_ind_p13       l_ind_p11       q_ind_p11      
 1.00000000e+08  1.03768609e-10  1.88484542e-01  5.40917606e-09  3.96138217e-01  4.56944016e-09  5.04995842e-01 
 1.04736719e+08  1.03768605e-10  1.97411851e-01  5.40922297e-09  4.14895695e-01  4.56948345e-09  5.28907468e-01 
 1.09697804e+08  1.03768600e-10  2.06761922e-01  5.40927438e-09  4.34540680e-01  4.56953090e-09  5.53950407e-01 
 1.14893881e+08  1.03768595e-10  2.16554763e-01  5.40933074e-09  4.55115062e-01  4.56958290e-09  5.80178043e-01 
 1.20336082e+08  1.03768589e-10  2.26811332e-01  5.40939252e-09  4.76662688e-01  4.56963989e-09  6.07646254e-01 
 1.26036065e+08  1.03768583e-10  2.37553573e-01  5.40946022e-09  4.99229458e-01  4.56970234e-09  6.36413531e-01 
 1.32006039e+08  1.03768576e-10  2.48804468e-01  5.40953441e-09  5.22863413e-01  4.56977076e-09  6.66541087e-01 
 1.38258795e+08  1.03768569e-10  2.60588086e-01  5.40961570e-09  5.47614832e-01  4.56984573e-09  6.98092987e-01 
 1.44807726e+08  1.03768561e-10  2.72929630e-01  5.40970476e-09  5.73536334e-01  4.56992784e-09  7.31136267e-01 
 1.51666862e+08  1.03768552e-10  2.85855493e-01  5.40980233e-09  6.00682980e-01  4.57001778e-09  7.65741072e-01 
 1.58850896e+08  1.03768542e-10  2.99393312e-01  5.40990920e-09  6.29112381e-01  4.57011627e-09  8.01980784e-01 
 1.66375217e+08  1.03768531e-10  3.13572030e-01  5.41002624e-09  6.58884808e-01  4.57022411e-09  8.39932167e-01 
 1.74255944e+08  1.03768519e-10  3.28421951e-01  5.41015439e-09  6.90063309e-01  4.57034217e-09  8.79675504e-01 
 1.82509959e+08  1.03768506e-10  3.43974808e-01  5.41029470e-09  7.22713824e-01  4.57047139e-09  9.21294752e-01 
 1.91154944e+08  1.03768492e-10  3.60263830e-01  5.41044828e-09  7.56905310e-01  4.57061280e-09  9.64877686e-01 
 2.00209417e+08  1.03768476e-10  3.77323805e-01  5.41061636e-09  7.92709861e-01  4.57076751e-09  1.01051605e+00 
 2.09692776e+08  1.03768459e-10  3.95191163e-01  5.41080027e-09  8.30202838e-01  4.57093673e-09  1.05830573e+00 
 2.19625334e+08  1.03768440e-10  4.13904041e-01  5.41100144e-09  8.69462997e-01  4.57112178e-09  1.10834688e+00 
 2.30028370e+08  1.03768419e-10  4.33502369e-01  5.41122146e-09  9.10572617e-01  4.57132408e-09  1.16074411e+00 
 2.40924169e+08  1.03768396e-10  4.54027951e-01  5.41146200e-09  9.53617633e-01  4.57154516e-09  1.21560660e+00 
 2.52336071e+08  1.03768371e-10  4.75524551e-01  5.41172492e-09  9.98687767e-01  4.57178670e-09  1.27304831e+00 
 2.64288522e+08  1.03768344e-10  4.98037979e-01  5.41201221e-09  1.04587665e+00  4.57205049e-09  1.33318808e+00 
 2.76807128e+08  1.03768314e-10  5.21616192e-01  5.41232601e-09  1.09528197e+00  4.57233848e-09  1.39614976e+00 
 2.89918705e+08  1.03768281e-10  5.46309385e-01  5.41266866e-09  1.14700554e+00  4.57265276e-09  1.46206238e+00 
 3.03651341e+08  1.03768245e-10  5.72170095e-01  5.41304264e-09  1.20115349e+00  4.57299557e-09  1.53106025e+00 
 3.18034453e+08  1.03768205e-10  5.99253308e-01  5.41345067e-09  1.25783628e+00  4.57336933e-09  1.60328302e+00 
 3.33098852e+08  1.03768161e-10  6.27616566e-01  5.41389565e-09  1.31716887e+00  4.57377664e-09  1.67887577e+00 
 3.48876811e+08  1.03768113e-10  6.57320082e-01  5.41438068e-09  1.37927074e+00  4.57422028e-09  1.75798906e+00 
 3.65402126e+08  1.03768060e-10  6.88426861e-01  5.41490912e-09  1.44426597e+00  4.57470321e-09  1.84077891e+00 
 3.82710200e+08  1.03768002e-10  7.21002818e-01  5.41548455e-09  1.51228323e+00  4.57522861e-09  1.92740672e+00 
 4.00838108e+08  1.03767939e-10  7.55116911e-01  5.41611080e-09  1.58345580e+00  4.57579986e-09  2.01803924e+00 
 4.19824685e+08  1.03767869e-10  7.90841267e-01  5.41679196e-09  1.65792152e+00  4.57642058e-09  2.11284830e+00 
 4.39710602e+08  1.03767792e-10  8.28251324e-01  5.41753241e-09  1.73582268e+00  4.57709458e-09  2.21201061e+00 
 4.60538460e+08  1.03767708e-10  8.67425967e-01  5.41833681e-09  1.81730585e+00  4.57782595e-09  2.31570739e+00 
 4.82352874e+08  1.03767615e-10  9.08447675e-01  5.41921013e-09  1.90252169e+00  4.57861901e-09  2.42412388e+00 
 5.05200577e+08  1.03767513e-10  9.51402670e-01  5.42015766e-09  1.99162463e+00  4.57947833e-09  2.53744876e+00 
 5.29130511e+08  1.03767401e-10  9.96381070e-01  5.42118501e-09  2.08477246e+00  4.58040880e-09  2.65587335e+00 
 5.54193938e+08  1.03767278e-10  1.04347705e+00  5.42229819e-09  2.18212584e+00  4.58141555e-09  2.77959075e+00 
 5.80444550e+08  1.03767142e-10  1.09278898e+00  5.42350358e-09  2.28384768e+00  4.58250407e-09  2.90879465e+00 
 6.07938580e+08  1.03766993e-10  1.14441963e+00  5.42480796e-09  2.39010237e+00  4.58368017e-09  3.04367804e+00 
 6.36734925e+08  1.03766830e-10  1.19847629e+00  5.42621861e-09  2.50105485e+00  4.58495005e-09  3.18443154e+00 
 6.66895272e+08  1.03766649e-10  1.25507097e+00  5.42774327e-09  2.61686954e+00  4.58632030e-09  3.33124164e+00 
 6.98484230e+08  1.03766451e-10  1.31432054e+00  5.42939027e-09  2.73770901e+00  4.58779799e-09  3.48428844e+00 
 7.31569468e+08  1.03766233e-10  1.37634694e+00  5.43116854e-09  2.86373251e+00  4.58939073e-09  3.64374322e+00 
 7.66221861e+08  1.03765993e-10  1.44127728e+00  5.43308772e-09  2.99509422e+00  4.59110668e-09  3.80976562e+00 
 8.02515641e+08  1.03765729e-10  1.50924407e+00  5.43515826e-09  3.13194124e+00  4.59295472e-09  3.98250039e+00 
 8.40528555e+08  1.03765438e-10  1.58038535e+00  5.43739151e-09  3.27441133e+00  4.59494449e-09  4.16207382e+00 
 8.80342035e+08  1.03765118e-10  1.65484482e+00  5.43979983e-09  3.42263032e+00  4.59708654e-09  4.34858973e+00 
 9.22041367e+08  1.03764765e-10  1.73277205e+00  5.44239680e-09  3.57670921e+00  4.59939242e-09  4.54212499e+00 
 9.65715880e+08  1.03764377e-10  1.81432252e+00  5.44519734e-09  3.73674096e+00  4.60187490e-09  4.74272467e+00 
 1.01145913e+09  1.03763950e-10  1.89965784e+00  5.44821791e-09  3.90279685e+00  4.60454810e-09  4.95039663e+00 
