 frequency       l_ind_p1        q_ind_p1        l_ind_p13       q_ind_p13       l_ind_p11       q_ind_p11      
 1.00000000e+08  1.03769021e-10  5.08883511e-01  5.41267611e-09  9.80757076e-01  4.57136472e-09  1.28443637e+00 
 1.04736719e+08  1.03768975e-10  5.32974742e-01  5.41273055e-09  1.02718192e+00  4.57141369e-09  1.34523261e+00 
 1.09697804e+08  1.03768923e-10  5.58205150e-01  5.41279023e-09  1.07580106e+00  4.57146735e-09  1.40890181e+00 
 1.14893881e+08  1.03768867e-10  5.84628401e-01  5.41285562e-09  1.12671770e+00  4.57152616e-09  1.47557900e+00 
 1.20336082e+08  1.03768806e-10  6.12300665e-01  5.41292728e-09  1.18003980e+00  4.57159060e-09  1.54540541e+00 
 1.26036065e+08  1.03768738e-10  6.41280717e-01  5.41300581e-09  1.23588033e+00  4.57166120e-09  1.61852877e+00 
 1.32006039e+08  1.03768664e-10  6.71630063e-01  5.41309184e-09  1.29435741e+00  4.57173854e-09  1.69510355e+00 
 1.38258795e+08  1.03768582e-10  7.03413056e-01  5.41318608e-09  1.35559460e+00  4.57182326e-09  1.77529126e+00 
 1.44807726e+08  1.03768493e-10  7.36697020e-01  5.41328930e-09  1.41972109e+00  4.57191604e-09  1.85926073e+00 
 1.51666862e+08  1.03768395e-10  7.71552383e-01  5.41340235e-09  1.48687190e+00  4.57201763e-09  1.94718842e+00 
 1.58850896e+08  1.03768288e-10  8.08052810e-01  5.41352614e-09  1.55718819e+00  4.57212886e-09  2.03925865e+00 
 1.66375217e+08  1.03768170e-10  8.46275340e-01  5.41366166e-09  1.63081743e+00  4.57225062e-09  2.13566395e+00 
 1.74255944e+08  1.03768041e-10  8.86300531e-01  5.41381001e-09  1.70791365e+00  4.57238387e-09  2.23660532e+00 
 1.82509959e+08  1.03767899e-10  9.28212606e-01  5.41397236e-09  1.78863769e+00  4.57252967e-09  2.34229254e+00 
 1.91154944e+08  1.03767743e-10  9.72099604e-01  5.41415000e-09  1.87315746e+00  4.57268917e-09  2.45294441e+00 
