 frequency       l_ind_p1        q_ind_p1        l_ind_p13       q_ind_p13       l_ind_p11       q_ind_p11      
 1.00000000e+08  1.03769140e-10  3.79364214e-01  5.41212503e-09  7.31040462e-01  4.57107975e-09  9.57443965e-01 
 1.04736719e+08  1.03769115e-10  3.97328177e-01  5.41217784e-09  7.65650634e-01  4.57112757e-09  1.00277125e+00 
 1.09697804e+08  1.03769088e-10  4.16142230e-01  5.41223573e-09  8.01897569e-01  4.57117997e-09  1.05024184e+00 
 1.14893881e+08  1.03769058e-10  4.35846519e-01  5.41229917e-09  8.39858390e-01  4.57123740e-09  1.09995667e+00 
 1.20336082e+08  1.03769026e-10  4.56483073e-01  5.41236870e-09  8.79613804e-01  4.57130033e-09  1.15202135e+00 
 1.26036065e+08  1.03768990e-10  4.78095891e-01  5.41244489e-09  9.21248269e-01  4.57136927e-09  1.20654640e+00 
 1.32006039e+08  1.03768951e-10  5.00731032e-01  5.41252836e-09  9.64850151e-01  4.57144481e-09  1.26364744e+00 
 1.38258795e+08  1.03768908e-10  5.24436710e-01  5.41261981e-09  1.01051190e+00  4.57152755e-09  1.32344539e+00 
 1.44807726e+08  1.03768860e-10  5.49263393e-01  5.41271998e-09  1.05833023e+00  4.57161817e-09  1.38606674e+00 
 1.51666862e+08  1.03768809e-10  5.75263900e-01  5.41282969e-09  1.10840628e+00  4.57171740e-09  1.45164375e+00 
 1.58850896e+08  1.03768752e-10  6.02493513e-01  5.41294984e-09  1.16084582e+00  4.57182606e-09  1.52031469e+00 
 1.66375217e+08  1.03768689e-10  6.31010086e-01  5.41308138e-09  1.21575945e+00  4.57194500e-09  1.59222409e+00 
 1.74255944e+08  1.03768621e-10  6.60874155e-01  5.41322538e-09  1.27326275e+00  4.57207519e-09  1.66752297e+00 
 1.82509959e+08  1.03768546e-10  6.92149066e-01  5.41338299e-09  1.33347653e+00  4.57221764e-09  1.74636909e+00 
 1.91154944e+08  1.03768464e-10  7.24901088e-01  5.41355546e-09  1.39652699e+00  4.57237350e-09  1.82892718e+00 
 2.00209417e+08  1.03768373e-10  7.59199551e-01  5.41374414e-09  1.46254595e+00  4.57254396e-09  1.91536920e+00 
 2.09692776e+08  1.03768274e-10  7.95116973e-01  5.41395052e-09  1.53167100e+00  4.57273035e-09  2.00587455e+00 
 2.19625334e+08  1.03768165e-10  8.32729195e-01  5.41417617e-09  1.60404575e+00  4.57293411e-09  2.10063032e+00 
 2.30028370e+08  1.03768046e-10  8.72115530e-01  5.41442285e-09  1.67981998e+00  4.57315677e-09  2.19983147e+00 
 2.40924169e+08  1.03767915e-10  9.13358902e-01  5.41469242e-09  1.75914984e+00  4.57340001e-09  2.30368103e+00 
 2.52336071e+08  1.03767772e-10  9.56545997e-01  5.41498690e-09  1.84219800e+00  4.57366564e-09  2.41239023e+00 
 2.64288522e+08  1.03767614e-10  1.00176742e+00  5.41530849e-09  1.92913379e+00  4.57395560e-09  2.52617866e+00 
 2.76807128e+08  1.03767442e-10  1.04911785e+00  5.41565954e-09  2.02013335e+00  4.57427198e-09  2.64527434e+00 
 2.89918705e+08  1.03767252e-10  1.09869620e+00  5.41604258e-09  2.11537970e+00  4.57461704e-09  2.76991368e+00 
 3.03651341e+08  1.03767044e-10  1.15060578e+00  5.41646035e-09  2.21506279e+00  4.57499319e-09  2.90034149e+00 
 3.18034453e+08  1.03766816e-10  1.20495448e+00  5.41691577e-09  2.31937950e+00  4.57540302e-09  3.03681078e+00 
 3.33098852e+08  1.03766566e-10  1.26185490e+00  5.41741198e-09  2.42853361e+00  4.57584929e-09  3.17958250e+00 
 3.48876811e+08  1.03766291e-10  1.32142456e+00  5.41795234e-09  2.54273562e+00  4.57633496e-09  3.32892518e+00 
 3.65402126e+08  1.03765990e-10  1.38378605e+00  5.41854043e-09  2.66220255e+00  4.57686318e-09  3.48511430e+00 
 3.82710200e+08  1.03765659e-10  1.44906718e+00  5.41918008e-09  2.78715759e+00  4.57743729e-09  3.64843158e+00 
 4.00838108e+08  1.03765296e-10  1.51740119e+00  5.41987534e-09  2.91782965e+00  4.57806085e-09  3.81916396e+00 
 4.19824685e+08  1.03764898e-10  1.58892686e+00  5.42063056e-09  3.05445268e+00  4.57873762e-09  3.99760237e+00 
 4.39710602e+08  1.03764462e-10  1.66378870e+00  5.42145031e-09  3.19726495e+00  4.57947158e-09  4.18404009e+00 
 4.60538460e+08  1.03763982e-10  1.74213709e+00  5.42233944e-09  3.34650791e+00  4.58026693e-09  4.37877084e+00 
 4.82352874e+08  1.03763457e-10  1.82412839e+00  5.42330310e-09  3.50242503e+00  4.58112813e-09  4.58208641e+00 
 5.05200577e+08  1.03762880e-10  1.90992511e+00  5.42434673e-09  3.66526013e+00  4.58205983e-09  4.79427376e+00 
 5.29130511e+08  1.03762247e-10  1.99969594e+00  5.42547604e-09  3.83525555e+00  4.58306697e-09  5.01561165e+00 
 5.54193938e+08  1.03761552e-10  2.09361592e+00  5.42669710e-09  4.01264991e+00  4.58415473e-09  5.24636664e+00 
 5.80444550e+08  1.03760790e-10  2.19186642e+00  5.42801629e-09  4.19767535e+00  4.58532856e-09  5.48678841e+00 
 6.07938580e+08  1.03759954e-10  2.29463521e+00  5.42944037e-09  4.39055450e+00  4.58659422e-09  5.73710435e+00 
 6.36734925e+08  1.03759036e-10  2.40211644e+00  5.43097649e-09  4.59149679e+00  4.58795781e-09  5.99751345e+00 
 6.66895272e+08  1.03758029e-10  2.51451056e+00  5.43263221e-09  4.80069427e+00  4.58942575e-09  6.26817927e+00 
 6.98484230e+08  1.03756924e-10  2.63202425e+00  5.43441559e-09  5.01831692e+00  4.59100490e-09  6.54922214e+00 
 7.31569468e+08  1.03755712e-10  2.75487021e+00  5.43633524e-09  5.24450724e+00  4.59270257e-09  6.84071045e+00 
 7.66221861e+08  1.03754381e-10  2.88326696e+00  5.43840036e-09  5.47937431e+00  4.59452660e-09  7.14265118e+00 
 8.02515641e+08  1.03752921e-10  3.01743848e+00  5.44062087e-09  5.72298712e+00  4.59648545e-09  7.45497955e+00 
