corner_label,cap_section,temp_c,vbias_v,device_model,w_um,l_um,wfeed_um,status,srf_hz,c_1ghz_f,c_2ghz_f,c_5ghz_f,c_10ghz_f,c_20ghz_f,q_1ghz,q_2ghz,q_5ghz,q_10ghz,q_20ghz
typ,cap_typ,27,1.5,cap_rfcmim,35,35,10,PASS,2.65627e+10,1.84604e-12,1.85488e-12,1.91832e-12,2.17227e-12,4.10030e-12,3.29934e+02,1.61814e+02,5.72188e+01,2.04341e+01,3.72834e+00
typ,cap_typ,27,1.5,cap_rfcmim,50,50,15,PASS,1.60876e+10,3.77362e-12,3.82112e-12,4.18357e-12,6.11939e-12,-5.73849e-12,1.51117e+02,7.32935e+01,2.39949e+01,6.27061e+00,1.92528e+00
typ,cap_typ,125,0.0,cap_cmim,20,20,,PASS,none,6.03424e-13,6.03424e-13,6.03424e-13,6.03422e-13,6.03414e-13,4.79552e+03,2.39776e+03,9.59105e+02,4.79553e+02,2.39776e+02
typ,cap_typ,125,0.0,cap_cmim,35,35,,PASS,none,1.84378e-12,1.84378e-12,1.84377e-12,1.84371e-12,1.84349e-12,1.56945e+03,7.84728e+02,3.13891e+02,1.56946e+02,7.84726e+01
typ,cap_typ,125,0.0,cap_cmim,50,50,,PASS,none,3.75939e-12,3.75937e-12,3.75924e-12,3.75876e-12,3.75686e-12,7.69733e+02,3.84867e+02,1.53947e+02,7.69735e+01,3.84867e+01
typ,cap_typ,125,0.0,cap_rfcmim,20,20,5,PASS,5.37147e+10,6.03667e-13,6.04390e-13,6.09450e-13,6.27585e-13,7.06283e-13,8.57056e+02,4.24392e+02,1.59528e+02,6.76113e+01,2.40375e+01
typ,cap_typ,125,0.0,cap_rfcmim,35,35,10,PASS,2.65576e+10,1.84672e-12,1.85557e-12,1.91906e-12,2.17322e-12,4.10345e-12,3.29811e+02,1.61754e+02,5.71966e+01,2.04251e+01,3.72503e+00
typ,cap_typ,125,0.0,cap_rfcmim,50,50,15,PASS,1.60844e+10,3.77503e-12,3.82257e-12,4.18530e-12,6.12301e-12,-5.73611e-12,1.51061e+02,7.32658e+01,2.39849e+01,6.26671e+00,1.92667e+00
typ,cap_typ,125,1.5,cap_cmim,20,20,,PASS,none,6.03424e-13,6.03424e-13,6.03424e-13,6.03422e-13,6.03414e-13,4.79552e+03,2.39776e+03,9.59105e+02,4.79553e+02,2.39776e+02
typ,cap_typ,125,1.5,cap_cmim,35,35,,PASS,none,1.84378e-12,1.84378e-12,1.84377e-12,1.84371e-12,1.84349e-12,1.56945e+03,7.84728e+02,3.13891e+02,1.56946e+02,7.84726e+01
typ,cap_typ,125,1.5,cap_cmim,50,50,,PASS,none,3.75939e-12,3.75937e-12,3.75924e-12,3.75876e-12,3.75686e-12,7.69733e+02,3.84867e+02,1.53947e+02,7.69735e+01,3.84867e+01
typ,cap_typ,125,1.5,cap_rfcmim,20,20,5,PASS,5.37147e+10,6.03667e-13,6.04390e-13,6.09450e-13,6.27585e-13,7.06283e-13,8.57056e+02,4.24392e+02,1.59528e+02,6.76113e+01,2.40375e+01
typ,cap_typ,125,1.5,cap_rfcmim,35,35,10,PASS,2.65576e+10,1.84672e-12,1.85557e-12,1.91906e-12,2.17322e-12,4.10345e-12,3.29811e+02,1.61754e+02,5.71966e+01,2.04251e+01,3.72503e+00
typ,cap_typ,125,1.5,cap_rfcmim,50,50,15,PASS,1.60844e+10,3.77503e-12,3.82257e-12,4.18530e-12,6.12301e-12,-5.73611e-12,1.51061e+02,7.32658e+01,2.39849e+01,6.26671e+00,1.92667e+00
bcs,cap_bcs,-40,0.0,cap_cmim,20,20,,PASS,none,5.43074e-13,5.43074e-13,5.43073e-13,5.43072e-13,5.43066e-13,5.32844e+03,2.66422e+03,1.06569e+03,5.32845e+02,2.66422e+02
bcs,cap_bcs,-40,0.0,cap_cmim,35,35,,PASS,none,1.65896e-12,1.65896e-12,1.65895e-12,1.65891e-12,1.65875e-12,1.74430e+03,8.72152e+02,3.48861e+02,1.74430e+02,8.72151e+01
bcs,cap_bcs,-40,0.0,cap_cmim,50,50,,PASS,none,3.38221e-12,3.38220e-12,3.38210e-12,3.38175e-12,3.38037e-12,8.55574e+02,4.27788e+02,1.71115e+02,8.55575e+01,4.27787e+01
bcs,cap_bcs,-40,0.0,cap_rfcmim,20,20,5,PASS,5.66648e+10,5.43270e-13,5.43857e-13,5.47952e-13,5.62577e-13,6.25101e-13,9.52337e+02,4.71630e+02,1.77434e+02,7.54273e+01,2.71695e+01
bcs,cap_bcs,-40,0.0,cap_rfcmim,35,35,10,PASS,2.80567e+10,1.66134e-12,1.66850e-12,1.71970e-12,1.92144e-12,3.32579e-12,3.66613e+02,1.79890e+02,6.38309e+01,2.31136e+01,4.71517e+00
bcs,cap_bcs,-40,0.0,cap_rfcmim,50,50,15,PASS,1.69995e+10,3.39487e-12,3.43332e-12,3.72370e-12,5.19897e-12,-6.45720e-12,1.67978e+02,8.15752e+01,2.69679e+01,7.43393e+00,1.51052e+00
bcs,cap_bcs,-40,1.5,cap_cmim,20,20,,PASS,none,5.43074e-13,5.43074e-13,5.43073e-13,5.43072e-13,5.43066e-13,5.32844e+03,2.66422e+03,1.06569e+03,5.32845e+02,2.66422e+02
bcs,cap_bcs,-40,1.5,cap_cmim,35,35,,PASS,none,1.65896e-12,1.65896e-12,1.65895e-12,1.65891e-12,1.65875e-12,1.74430e+03,8.72152e+02,3.48861e+02,1.74430e+02,8.72151e+01
bcs,cap_bcs,-40,1.5,cap_cmim,50,50,,PASS,none,3.38221e-12,3.38220e-12,3.38210e-12,3.38175e-12,3.38037e-12,8.55574e+02,4.27788e+02,1.71115e+02,8.55575e+01,4.27787e+01
bcs,cap_bcs,-40,1.5,cap_rfcmim,20,20,5,PASS,5.66648e+10,5.43270e-13,5.43857e-13,5.47952e-13,5.62577e-13,6.25101e-13,9.52337e+02,4.71630e+02,1.77434e+02,7.54273e+01,2.71695e+01
bcs,cap_bcs,-40,1.5,cap_rfcmim,35,35,10,PASS,2.80567e+10,1.66134e-12,1.66850e-12,1.71970e-12,1.92144e-12,3.32579e-12,3.66613e+02,1.79890e+02,6.38309e+01,2.31136e+01,4.71517e+00
bcs,cap_bcs,-40,1.5,cap_rfcmim,50,50,15,PASS,1.69995e+10,3.39487e-12,3.43332e-12,3.72370e-12,5.19897e-12,-6.45720e-12,1.67978e+02,8.15752e+01,2.69679e+01,7.43393e+00,1.51052e+00
bcs,cap_bcs,27,0.0,cap_cmim,20,20,,PASS,none,5.43200e-13,5.43200e-13,5.43200e-13,5.43198e-13,5.43192e-13,5.32720e+03,2.66360e+03,1.06544e+03,5.32721e+02,2.66360e+02
bcs,cap_bcs,27,0.0,cap_cmim,35,35,,PASS,none,1.65935e-12,1.65935e-12,1.65934e-12,1.65930e-12,1.65913e-12,1.74390e+03,8.71950e+02,3.48780e+02,1.74390e+02,8.71948e+01
bcs,cap_bcs,27,0.0,cap_cmim,50,50,,PASS,none,3.38300e-12,3.38298e-12,3.38288e-12,3.38254e-12,3.38115e-12,8.55375e+02,4.27688e+02,1.71075e+02,8.55377e+01,4.27688e+01
bcs,cap_bcs,27,0.0,cap_rfcmim,20,20,5,PASS,5.66581e+10,5.43397e-13,5.43983e-13,5.48080e-13,5.62712e-13,6.25268e-13,9.52116e+02,4.71520e+02,1.77392e+02,7.54092e+01,2.71622e+01
bcs,cap_bcs,27,0.0,cap_rfcmim,35,35,10,PASS,2.80533e+10,1.66173e-12,1.66889e-12,1.72012e-12,1.92196e-12,3.32727e-12,3.66528e+02,1.79848e+02,6.38156e+01,2.31073e+01,4.71288e+00
