port,realization,dq_c,f0_hz,vpp_diff_v,gq_rms_trapz,gq_rms_sample,c0,c1,c2,c3,max_phase_gap_rad,n_phases,null_floor_s,n_crossings_unmatched,l_1mhz_dbc,l_10mhz_dbc
tank,1,4e-15,5.384250e+09,1.086791e+00,1.30625731e+13,1.31237346e+13,2.78364205e+11,1.84796312e+13,8.56222391e+11,7.50717789e+11,0.705979,10,0.0000000000e+00,0,-102.4286,-122.4286
tank,2,-4e-15,5.384250e+09,1.086791e+00,1.30383590e+13,1.29939966e+13,1.06647800e+11,1.84049405e+13,4.35107957e+11,4.46493596e+11,0.707462,10,0.0000000000e+00,0,-102.4447,-122.4447
tank,3,8e-15,5.384250e+09,1.086791e+00,1.39876914e+13,1.39596340e+13,1.09522491e+12,1.51434745e+13,3.78173823e+12,8.59238946e+12,0.973069,10,0.0000000000e+00,0,-101.8343,-121.8343
tank,4,-8e-15,5.384250e+09,1.086791e+00,1.31096855e+13,1.30542954e+13,8.86170914e+10,1.85043956e+13,1.22021365e+12,9.83606055e+11,0.803897,10,0.0000000000e+00,0,-102.3974,-122.3974
tail,1,4e-15,5.384250e+09,1.086791e+00,4.16277044e+12,4.15974972e+12,2.13552237e+11,2.98325548e+11,5.81006245e+12,1.45559150e+11,0.655210,10,0.0000000000e+00,0,-108.8171,-128.8171
