port,realization,dq_c,impulse,t_imp_s,phi_rad,dphi_rad,gq_rad_per_C,plateau_ripple_s,n_plateau
tank,3,8e-15,4,5.2273402675e-09,3.61709194,-1.2313154605e-01,-1.53914433e+13,0.0000000000e+00,1
tank,3,8e-15,5,5.8031203566e-09,4.14533666,-7.4016069098e-02,-9.25200864e+12,0.0000000000e+00,1
tank,3,8e-15,6,6.3789004458e-09,4.76118524,1.6936142185e-02,2.11701777e+12,0.0000000000e+00,1
tank,3,8e-15,7,6.9546805349e-09,5.50489007,1.9145734846e-01,2.39321686e+13,2.4761768754e-12,2
tank,3,8e-15,8,7.5304606241e-09,6.27298103,1.1151632620e-01,1.39395408e+13,0.0000000000e+00,1
tank,3,8e-15,9,8.1062407132e-09,0.67937243,1.0345462552e-01,1.29318282e+13,0.0000000000e+00,1
tank,3,8e-15,10,8.6820208024e-09,1.40136618,6.6813920854e-03,8.35174011e+11,0.0000000000e+00,1
tank,4,-8e-15,1,3.5000000000e-09,2.17568506,9.4862501330e-02,-1.18578127e+13,0.0000000000e+00,1
tank,4,-8e-15,2,4.0757800892e-09,2.94077989,1.5720543773e-01,-1.96506797e+13,0.0000000000e+00,1
tank,4,-8e-15,3,4.6515601783e-09,3.72345580,1.1306069144e-01,-1.41325864e+13,0.0000000000e+00,1
tank,4,-8e-15,4,5.2273402675e-09,4.42155640,2.4679408814e-02,-3.08492610e+12,0.0000000000e+00,1
tank,4,-8e-15,5,5.8031203566e-09,5.01693826,-5.6901845741e-02,7.11273072e+12,0.0000000000e+00,1
tank,4,-8e-15,6,6.3789004458e-09,5.53522310,-1.1290256515e-01,1.41128206e+13,0.0000000000e+00,1
tank,4,-8e-15,7,6.9546805349e-09,6.01280109,-1.4107014051e-01,1.76337676e+13,5.5772101965e-14,2
tank,4,-8e-15,8,7.5304606241e-09,0.33555304,-1.2869286656e-01,1.60866083e+13,0.0000000000e+00,1
tank,4,-8e-15,9,8.1062407132e-09,0.83086356,-9.4589481834e-02,1.18236852e+13,0.0000000000e+00,1
tank,4,-8e-15,10,8.6820208024e-09,1.37178854,-2.3801420477e-02,2.97517756e+12,0.0000000000e+00,1
tail,1,4e-15,1,3.5000000000e-09,2.15120661,2.1573481623e-02,5.39337041e+12,0.0000000000e+00,1
tail,1,4e-15,2,4.0757800892e-09,2.79164521,-7.3402920631e-03,-1.83507302e+12,0.0000000000e+00,1
tail,1,4e-15,3,4.6515601783e-09,3.40380023,-2.3823514568e-02,-5.95587864e+12,0.0000000000e+00,1
tail,1,4e-15,4,5.2273402675e-09,4.01801849,-5.5800517665e-03,-1.39501294e+12,0.0000000000e+00,1
tail,1,4e-15,5,5.8031203566e-09,4.65589396,1.5079922262e-02,3.76998057e+12,0.0000000000e+00,1
tail,1,4e-15,6,6.3789004458e-09,5.31110417,2.4713724800e-02,6.17843120e+12,0.0000000000e+00,1
tail,1,4e-15,7,6.9546805349e-09,5.95106881,-6.1547602069e-03,-1.53869005e+12,1.0083721708e-14,2
tail,1,4e-15,8,7.5304606241e-09,0.28224941,-2.2763138265e-02,-5.69078457e+12,0.0000000000e+00,1
tail,1,4e-15,9,8.1062407132e-09,0.88821172,-5.2646723418e-03,-1.31616809e+12,0.0000000000e+00,1
tail,1,4e-15,10,8.6820208024e-09,1.51600114,1.5120861480e-02,3.78021537e+12,0.0000000000e+00,1
