device_class,device_key,corner_label,temp_c,domain,v_min,v_max,n_points,c_at_vmin_1ghz_f,c_at_vmax_1ghz_f,cmax_1ghz_f,cmin_1ghz_f,cmax_over_cmin,dcdv_peak_f_per_v,dcdv_min_f_per_v
mos,small,tt,-40,full,0.0,3.3,9,1.06445e-14,5.50955e-15,1.064450e-14,5.499440e-15,1.93556,-6.172300e-15,1.060000e-17
mos,small,tt,-40,core,0.0,1.2,5,1.06445e-14,6.19519e-15,1.064450e-14,6.195190e-15,1.71819,-6.172300e-15,-1.566600e-15
mos,mid,tt,-40,full,0.0,3.3,9,1.13172e-13,5.26896e-14,1.131720e-13,5.256980e-14,2.15279,-7.238533e-14,1.255000e-16
mos,mid,tt,-40,core,0.0,1.2,5,1.13172e-13,6.08072e-14,1.131720e-13,6.080720e-14,1.86116,-7.238533e-14,-1.852833e-14
mos,large,tt,-40,full,0.0,3.3,9,4.95200e-13,2.57107e-13,4.952000e-13,2.564920e-13,1.93066,-2.262600e-13,6.450000e-16
mos,large,tt,-40,core,0.0,1.2,5,4.95200e-13,2.97611e-13,4.952000e-13,2.976110e-13,1.66392,-2.262600e-13,-8.781667e-14
mos,xlarge,tt,-40,full,0.0,3.3,9,1.98080e-12,1.02843e-12,1.980800e-12,1.025970e-12,1.93066,-9.050333e-13,2.583333e-15
mos,xlarge,tt,-40,core,0.0,1.2,5,1.98080e-12,1.19044e-12,1.980800e-12,1.190440e-12,1.66392,-9.050333e-13,-3.513000e-13
mos,small,tt,27,full,0.0,3.3,9,1.04572e-14,5.56971e-15,1.045720e-14,5.567310e-15,1.87832,-5.569433e-15,1.283333e-18
mos,small,tt,27,core,0.0,1.2,5,1.04572e-14,6.20529e-15,1.045720e-14,6.205290e-15,1.68521,-5.569433e-15,-1.580333e-15
mos,mid,tt,27,full,0.0,3.3,9,1.10982e-13,5.34022e-14,1.109820e-13,5.337380e-14,2.07933,-6.533767e-14,1.516667e-17
mos,mid,tt,27,core,0.0,1.2,5,1.10982e-13,6.09268e-14,1.109820e-13,6.092680e-14,1.82156,-6.533767e-14,-1.869000e-14
mos,large,tt,27,full,0.0,3.3,9,4.89264e-13,2.60755e-13,4.892640e-13,2.606090e-13,1.87739,-2.099633e-13,7.833333e-17
mos,large,tt,27,core,0.0,1.2,5,4.89264e-13,2.98189e-13,4.892640e-13,2.981890e-13,1.64078,-2.099633e-13,-8.848667e-14
mos,xlarge,tt,27,full,0.0,3.3,9,1.95706e-12,1.04302e-12,1.957060e-12,1.042440e-12,1.87738,-8.398667e-13,3.000000e-16
mos,xlarge,tt,27,core,0.0,1.2,5,1.95706e-12,1.19276e-12,1.957060e-12,1.192760e-12,1.64078,-8.398667e-13,-3.539333e-13
mos,small,tt,125,full,0.0,3.3,9,1.02326e-14,5.68110e-15,1.023260e-14,5.681100e-15,1.80117,-4.917600e-15,-5.733333e-18
mos,small,tt,125,core,0.0,1.2,5,1.02326e-14,6.22231e-15,1.023260e-14,6.222310e-15,1.6445,-4.917600e-15,-1.602633e-15
mos,mid,tt,125,full,0.0,3.3,9,1.08358e-13,5.47215e-14,1.083580e-13,5.472150e-14,1.98017,-5.772367e-14,-6.800000e-17
mos,mid,tt,125,core,0.0,1.2,5,1.08358e-13,6.11282e-14,1.083580e-13,6.112820e-14,1.77264,-5.772367e-14,-1.895300e-14
mos,large,tt,125,full,0.0,3.3,9,4.82118e-13,2.67463e-13,4.821180e-13,2.674630e-13,1.80256,-2.001867e-13,-3.433333e-16
mos,large,tt,125,core,0.0,1.2,5,4.82118e-13,2.99166e-13,4.821180e-13,2.991660e-13,1.61154,-2.001867e-13,-8.956000e-14
mos,xlarge,tt,125,full,0.0,3.3,9,1.92847e-12,1.06985e-12,1.928470e-12,1.069850e-12,1.80256,-8.007667e-13,-1.400000e-15
mos,xlarge,tt,125,core,0.0,1.2,5,1.92847e-12,1.19666e-12,1.928470e-12,1.196660e-12,1.61154,-8.007667e-13,-3.582333e-13
mos,small,ss,-40,full,0.0,3.3,9,1.03628e-14,5.47252e-15,1.036280e-14,5.464270e-15,1.89647,-5.736467e-15,8.200000e-18
mos,small,ss,-40,core,0.0,1.2,5,1.03628e-14,6.16090e-15,1.036280e-14,6.160900e-15,1.68203,-5.736467e-15,-1.524400e-15
mos,mid,ss,-40,full,0.0,3.3,9,1.09925e-13,5.22686e-14,1.099250e-13,5.217080e-14,2.10702,-6.735533e-14,9.716667e-17
mos,mid,ss,-40,core,0.0,1.2,5,1.09925e-13,6.04236e-14,1.099250e-13,6.042360e-14,1.81924,-6.735533e-14,-1.804000e-14
mos,large,ss,-40,full,0.0,3.3,9,4.86402e-13,2.55003e-13,4.864020e-13,2.545000e-13,1.91121,-2.176500e-13,5.000000e-16
mos,large,ss,-40,core,0.0,1.2,5,4.86402e-13,2.95818e-13,4.864020e-13,2.958180e-13,1.64426,-2.176500e-13,-8.583667e-14
mos,xlarge,ss,-40,full,0.0,3.3,9,1.94561e-12,1.02001e-12,1.945610e-12,1.018000e-12,1.91121,-8.706000e-13,2.000000e-15
mos,xlarge,ss,-40,core,0.0,1.2,5,1.94561e-12,1.18327e-12,1.945610e-12,1.183270e-12,1.64427,-8.706000e-13,-3.433667e-13
mos,small,ss,27,full,0.0,3.3,9,1.01883e-14,5.53172e-15,1.018830e-14,5.530460e-15,1.84222,-5.177633e-15,-8.333333e-19
mos,small,ss,27,core,0.0,1.2,5,1.01883e-14,6.17069e-15,1.018830e-14,6.170690e-15,1.65108,-5.177633e-15,-1.537367e-15
mos,mid,ss,27,full,0.0,3.3,9,1.07881e-13,5.29703e-14,1.078810e-13,5.295540e-14,2.0372,-6.081067e-14,-9.666667e-18
mos,mid,ss,27,core,0.0,1.2,5,1.07881e-13,6.05394e-14,1.078810e-13,6.053940e-14,1.782,-6.081067e-14,-1.819333e-14
mos,large,ss,27,full,0.0,3.3,9,4.80593e-13,2.58605e-13,4.805930e-13,2.585290e-13,1.85895,-2.010967e-13,-5.000000e-17
mos,large,ss,27,core,0.0,1.2,5,4.80593e-13,2.96381e-13,4.805930e-13,2.963810e-13,1.62154,-2.010967e-13,-8.647000e-14
mos,xlarge,ss,27,full,0.0,3.3,9,1.92237e-12,1.03442e-12,1.922370e-12,1.034120e-12,1.85894,-8.043667e-13,-1.833333e-16
mos,xlarge,ss,27,core,0.0,1.2,5,1.92237e-12,1.18552e-12,1.922370e-12,1.185520e-12,1.62154,-8.043667e-13,-3.459000e-13
mos,small,ss,125,full,0.0,3.3,9,9.97866e-15,5.64120e-15,9.978660e-15,5.641200e-15,1.76889,-4.574300e-15,-6.733333e-18
mos,small,ss,125,core,0.0,1.2,5,9.97866e-15,6.18710e-15,9.978660e-15,6.187100e-15,1.61282,-4.574300e-15,-1.558400e-15
mos,mid,ss,125,full,0.0,3.3,9,1.05428e-13,5.42677e-14,1.054280e-13,5.426770e-14,1.94274,-5.375167e-14,-8.000000e-17
mos,mid,ss,125,core,0.0,1.2,5,1.05428e-13,6.07338e-14,1.054280e-13,6.073380e-14,1.7359,-5.375167e-14,-1.844133e-14
mos,large,ss,125,full,0.0,3.3,9,4.73603e-13,2.65224e-13,4.736030e-13,2.652240e-13,1.78567,-1.915833e-13,-4.033333e-16
mos,large,ss,125,core,0.0,1.2,5,4.73603e-13,2.97326e-13,4.736030e-13,2.973260e-13,1.59287,-1.915833e-13,-8.749000e-14
mos,xlarge,ss,125,full,0.0,3.3,9,1.89441e-12,1.06090e-12,1.894410e-12,1.060900e-12,1.78566,-7.663333e-13,-1.600000e-15
mos,xlarge,ss,125,core,0.0,1.2,5,1.89441e-12,1.18931e-12,1.894410e-12,1.189310e-12,1.59286,-7.663333e-13,-3.499333e-13
mos,small,ff,-40,full,0.0,3.3,9,1.09600e-14,5.55192e-15,1.096000e-14,5.539810e-15,1.97841,-6.664733e-15,1.316667e-17
mos,small,ff,-40,core,0.0,1.2,5,1.09600e-14,6.23491e-15,1.096000e-14,6.234910e-15,1.75784,-6.664733e-15,-1.612133e-15
