device_class,device_key,corner_label,temp_c,vctrl_v,status,srf_hz,c_1ghz_f,c_5ghz_f,c_10ghz_f,c_20ghz_f,q_1ghz,q_5ghz,q_10ghz,q_20ghz
mos,large,tt,-40,1.8,PASS,none,2.63186e-13,1.18834e-13,4.37857e-14,1.24174e-14,4.33096e+00,8.66193e-01,4.33098e-01,2.16550e-01
mos,xlarge,tt,-40,1.8,PASS,none,1.05275e-12,4.75335e-13,1.75143e-13,4.96696e-14,4.33096e+00,8.66193e-01,4.33098e-01,2.16550e-01
mos,small,tt,-40,2.4,PASS,none,5.49944e-15,5.49875e-15,5.49652e-15,5.48763e-15,4.30129e+02,8.60260e+01,4.30131e+01,2.15065e+01
mos,mid,tt,-40,2.4,PASS,none,5.25698e-14,5.11146e-14,4.70451e-14,3.56819e-14,2.90179e+01,5.80358e+00,2.90180e+00,1.45090e+00
mos,large,tt,-40,2.4,PASS,none,2.56492e-13,1.19274e-13,4.46419e-14,1.27444e-14,4.45662e+00,8.91326e-01,4.45664e-01,2.22833e-01
mos,xlarge,tt,-40,2.4,PASS,none,1.02597e-12,4.77096e-13,1.78568e-13,5.09774e-14,4.45662e+00,8.91326e-01,4.45664e-01,2.22833e-01
mos,small,tt,-40,3.0,PASS,none,5.50580e-15,5.50510e-15,5.50287e-15,5.49394e-15,4.29621e+02,8.59249e+01,4.29625e+01,2.14812e+01
mos,mid,tt,-40,3.0,PASS,none,5.26451e-14,5.11838e-14,4.70982e-14,3.57000e-14,2.89761e+01,5.79523e+00,2.89762e+00,1.44881e+00
mos,large,tt,-40,3.0,PASS,none,2.56879e-13,1.19251e-13,4.45921e-14,1.27251e-14,4.44920e+00,8.89841e-01,4.44921e-01,2.22462e-01
mos,xlarge,tt,-40,3.0,PASS,none,1.02752e-12,4.77004e-13,1.78368e-13,5.09004e-14,4.44920e+00,8.89841e-01,4.44921e-01,2.22462e-01
mos,small,tt,-40,3.3,PASS,none,5.50955e-15,5.50886e-15,5.50662e-15,5.49767e-15,4.29322e+02,8.58652e+01,4.29327e+01,2.14663e+01
mos,mid,tt,-40,3.3,PASS,none,5.26896e-14,5.12246e-14,4.71296e-14,3.57106e-14,2.89515e+01,5.79032e+00,2.89516e+00,1.44758e+00
mos,large,tt,-40,3.3,PASS,none,2.57107e-13,1.19237e-13,4.45627e-14,1.27138e-14,4.44483e+00,8.88966e-01,4.44484e-01,2.22243e-01
mos,xlarge,tt,-40,3.3,PASS,none,1.02843e-12,4.76949e-13,1.78251e-13,5.08551e-14,4.44483e+00,8.88966e-01,4.44484e-01,2.22243e-01
mos,small,tt,27,0.0,PASS,none,1.04572e-14,1.04522e-14,1.04366e-14,1.03747e-14,2.23941e+02,4.47882e+01,2.23941e+01,1.11971e+01
mos,mid,tt,27,0.0,PASS,none,1.10982e-13,9.84006e-14,7.26598e-14,3.55069e-14,1.36640e+01,2.73281e+00,1.36641e+00,6.83208e-01
mos,large,tt,27,0.0,PASS,none,4.89264e-13,8.08404e-14,2.24020e-14,5.75665e-15,1.93658e+00,3.87317e-01,1.93660e-01,9.68319e-02
mos,xlarge,tt,27,0.0,PASS,none,1.95706e-12,3.23361e-13,8.96079e-14,2.30266e-14,1.93658e+00,3.87317e-01,1.93660e-01,9.68319e-02
mos,small,tt,27,0.3,PASS,none,8.78637e-15,8.78344e-15,8.77422e-15,8.73752e-15,2.67084e+02,5.34170e+01,2.67085e+01,1.33542e+01
mos,mid,tt,27,0.3,PASS,none,9.13807e-14,8.41069e-14,6.73532e-14,3.74856e-14,1.66288e+01,3.32575e+00,1.66288e+00,8.31443e-01
mos,large,tt,27,0.3,PASS,none,4.27051e-13,9.34609e-14,2.71605e-14,7.07759e-15,2.39248e+00,4.78497e-01,2.39250e-01,1.19627e-01
mos,xlarge,tt,27,0.3,PASS,none,1.70821e-12,3.73844e-13,1.08642e-13,2.83104e-14,2.39248e+00,4.78497e-01,2.39250e-01,1.19627e-01
mos,small,tt,27,0.6,PASS,none,7.42748e-15,7.42572e-15,7.42018e-15,7.39808e-15,3.16780e+02,6.33564e+01,3.16782e+01,1.58391e+01
mos,mid,tt,27,0.6,PASS,none,7.53700e-14,7.11903e-14,6.06752e-14,3.81410e-14,2.01935e+01,4.03870e+00,2.01935e+00,1.00968e+00
mos,large,tt,27,0.6,PASS,none,3.64062e-13,1.05222e-13,3.26596e-14,8.68969e-15,2.95910e+00,5.91822e-01,2.95912e-01,1.47958e-01
mos,xlarge,tt,27,0.6,PASS,none,1.45625e-12,4.20888e-13,1.30638e-13,3.47588e-14,2.95910e+00,5.91822e-01,2.95912e-01,1.47958e-01
