geometry,nr_r,element,analytic,em_fitted,ratio_em_over_analytic
p1,1,Rser,0.252043,0.315652,1.2524
p1,1,Rlad,0.504086,0.40296,0.79939
p1,1,L1,4.37606e-12,9.34563e-12,2.1356
p1,1,Ltot,1.0377e-10,9.81194e-11,0.94555
p1,1,Cs,1e-21,1.35915e-15,1.3592e+06
p1,1,Cox,8.23167e-15,1.00011e-14,1.2149
p1,1,Rsub,5371.34,3347.14,0.62315
p1,1,Csub,9.80806e-15,1.56085e-14,1.5914
p13,5,Rser,6.24993,6.68945,1.0703
p13,5,Rlad,9.40687,4.83111,0.51357
p13,5,L1,8.16627e-11,1.31842e-10,1.6145
p13,5,Ltot,5.41278e-09,5.04736e-09,0.93249
p13,5,Cs,3.69425e-15,6.36585e-14,17.232
p13,5,Cox,5.18938e-14,5.97842e-14,1.152
p13,5,Rsub,1742.95,4806.96,2.758
p13,5,Csub,3.02261e-14,1.61158e-14,0.53317
p11,4,Rser,4.14152,4.2921,1.0364
p11,4,Rlad,6.71651,2.30797,0.34363
p11,4,L1,5.83072e-11,1.13212e-10,1.9416
p11,4,Ltot,4.5712e-09,4.23087e-09,0.92555
p11,4,Cs,5.09234e-15,5.37565e-14,10.556
p11,4,Cox,6.32184e-14,7.67746e-14,1.2144
p11,4,Rsub,1495.21,4601.84,3.0777
p11,4,Csub,3.52342e-14,1.73779e-14,0.49321
