f_hz,l_em_h,l_fit_h,q_em,q_fit,re_zse_em,re_zse_fit,im_zse_em,im_zse_fit
2700000000,9.68834e-11,9.68618e-11,4.34431,4.38182,0.378331,0.375009,1.64359,1.64322
2750000000,9.68286e-11,9.68213e-11,4.39984,4.43814,0.380259,0.376948,1.67308,1.67295
2800000000,9.67739e-11,9.67804e-11,4.45463,4.4936,0.382195,0.378905,1.70253,1.70265
2850000000,9.67191e-11,9.67392e-11,4.50865,4.5482,0.38414,0.380879,1.73196,1.73232
2900000000,9.66643e-11,9.66977e-11,4.56198,4.60196,0.386092,0.38287,1.76134,1.76195
2950000000,9.66096e-11,9.66559e-11,4.61456,4.65489,0.388054,0.384876,1.7907,1.79156
3000000000,9.6555e-11,9.66138e-11,4.66648,4.70701,0.39002,0.386897,1.82002,1.82113
3050000000,9.65004e-11,9.65715e-11,4.71771,4.75833,0.391992,0.388932,1.84931,1.85067
3100000000,9.6446e-11,9.6529e-11,4.76824,4.80887,0.393974,0.390982,1.87856,1.88018
3150000000,9.63917e-11,9.64862e-11,4.81817,4.85864,0.395957,0.393044,1.90779,1.90966
3200000000,9.63376e-11,9.64432e-11,4.86746,4.90765,0.397945,0.395119,1.93698,1.93911
3250000000,9.62836e-11,9.64e-11,4.91611,4.95593,0.399939,0.397205,1.96615,1.96852
3300000000,9.62298e-11,9.63567e-11,4.96418,5.00349,0.401935,0.399303,1.99528,1.99791
3350000000,9.61763e-11,9.63131e-11,5.01169,5.05034,0.403933,0.401411,2.02438,2.02726
3400000000,9.6123e-11,9.62695e-11,5.05857,5.0965,0.405937,0.40353,2.05346,2.05659
3450000000,9.60699e-11,9.62256e-11,5.10494,5.14198,0.407939,0.405657,2.08251,2.08588
3500000000,9.60171e-11,9.61817e-11,5.15072,5.1868,0.409948,0.407794,2.11153,2.11515
3550000000,9.59645e-11,9.61376e-11,5.19601,5.23098,0.411954,0.409938,2.14052,2.14438
3600000000,9.59123e-11,9.60934e-11,5.2408,5.27453,0.413961,0.41209,2.16948,2.17358
3650000000,9.58603e-11,9.60492e-11,5.28503,5.31746,0.415972,0.41425,2.19842,2.20276
3700000000,9.58087e-11,9.60049e-11,5.32878,5.35979,0.417983,0.416416,2.22734,2.2319
3750000000,9.57574e-11,9.59605e-11,5.37203,5.40153,0.419996,0.418588,2.25623,2.26102
3800000000,9.57064e-11,9.5916e-11,5.41487,5.4427,0.422004,0.420765,2.2851,2.2901
3850000000,9.56557e-11,9.58715e-11,5.4572,5.48332,0.424015,0.422948,2.31394,2.31916
3900000000,9.56054e-11,9.5827e-11,5.49912,5.52339,0.426024,0.425135,2.34276,2.34819
3950000000,9.55555e-11,9.57825e-11,5.54057,5.56293,0.428034,0.427326,2.37155,2.37719
4000000000,9.55059e-11,9.57379e-11,5.5816,5.60196,0.430043,0.429521,2.40032,2.40616
4050000000,9.54566e-11,9.56934e-11,5.62222,5.64048,0.432049,0.431719,2.42908,2.4351
4100000000,9.54078e-11,9.56489e-11,5.66242,5.67852,0.434056,0.433919,2.45781,2.46402
4150000000,9.53593e-11,9.56044e-11,5.70218,5.71608,0.436064,0.436122,2.48652,2.49291
4200000000,9.53112e-11,9.55599e-11,5.74162,5.75317,0.438066,0.438326,2.5152,2.52177
4250000000,9.52635e-11,9.55155e-11,5.78065,5.78982,0.440067,0.440532,2.54387,2.5506
4300000000,9.52162e-11,9.54711e-11,5.81929,5.82603,0.442069,0.442739,2.57252,2.57941
4350000000,9.51693e-11,9.54268e-11,5.85755,5.86181,0.444068,0.444947,2.60115,2.60819
4400000000,9.51228e-11,9.53826e-11,5.89549,5.89718,0.446064,0.447154,2.62977,2.63695
4450000000,9.50767e-11,9.53384e-11,5.93306,5.93215,0.448059,0.449362,2.65836,2.66568
4500000000,9.5031e-11,9.52944e-11,5.97027,5.96672,0.450053,0.451569,2.68694,2.69438
4550000000,9.49856e-11,9.52504e-11,6.00717,6.00092,0.452043,0.453775,2.7155,2.72307
4600000000,9.49407e-11,9.52065e-11,6.04371,6.03474,0.454032,0.45598,2.74404,2.75172
4650000000,9.48962e-11,9.51628e-11,6.07997,6.06821,0.456016,0.458183,2.77256,2.78035
4700000000,9.48521e-11,9.51191e-11,6.11583,6.10133,0.458004,0.460385,2.80107,2.80896
4750000000,9.48083e-11,9.50756e-11,6.15145,6.13411,0.459983,0.462584,2.82957,2.83754
4800000000,9.4765e-11,9.50322e-11,6.18671,6.16656,0.461965,0.464781,2.85805,2.8661
4850000000,9.47221e-11,9.49889e-11,6.22172,6.1987,0.46394,0.466976,2.88651,2.89464
4900000000,9.46795e-11,9.49458e-11,6.2564,6.23052,0.465916,0.469167,2.91496,2.92315
4950000000,9.46374e-11,9.49029e-11,6.29079,6.26205,0.467889,0.471355,2.94339,2.95165
5000000000,9.45956e-11,9.48601e-11,6.32491,6.29328,0.469858,0.47354,2.97181,2.98012
5050000000,9.45543e-11,9.48174e-11,6.35874,6.32423,0.471825,0.47572,3.00021,3.00856
5100000000,9.45133e-11,9.47749e-11,6.39226,6.35491,0.473793,0.477897,3.02861,3.03699
5150000000,9.44727e-11,9.47326e-11,6.42552,6.38532,0.475757,0.480069,3.05699,3.0654
5200000000,9.44325e-11,9.46905e-11,6.45853,6.41547,0.477717,0.482238,3.08535,3.09378
5250000000,9.43926e-11,9.46485e-11,6.49124,6.44537,0.479678,0.484401,3.1137,3.12214
5300000000,9.43532e-11,9.46067e-11,6.52373,6.47503,0.481633,0.486559,3.14204,3.15049
5350000000,9.4314e-11,9.45652e-11,6.55594,6.50446,0.483587,0.488713,3.17037,3.17881
5400000000,9.42753e-11,9.45238e-11,6.58792,6.53365,0.485538,0.490861,3.19869,3.20712
5450000000,9.42369e-11,9.44826e-11,6.61962,6.56263,0.487489,0.493004,3.22699,3.2354
5500000000,9.41989e-11,9.44416e-11,6.65108,6.59139,0.489437,0.495141,3.25528,3.26367
5550000000,9.41612e-11,9.44008e-11,6.6823,6.61994,0.491382,0.497273,3.28356,3.29191
