f_hz,l_em_h,l_fit_h,q_em,q_fit,re_zse_em,re_zse_fit,im_zse_em,im_zse_fit
0,nan,nan,0,nan,6.80915,nan,0,nan
50000000,5.04153e-09,5.04205e-09,0.232577,0.236752,6.80996,6.69058,1.58384,1.58401
100000000,5.04215e-09,5.04268e-09,0.465044,0.473322,6.81241,6.69399,3.16807,3.16841
150000000,5.04318e-09,5.04372e-09,0.69729,0.709522,6.8165,6.69971,4.75308,4.75359
200000000,5.04462e-09,5.04515e-09,0.929202,0.945157,6.82226,6.70779,6.33925,6.33992
250000000,5.04647e-09,5.04695e-09,1.16067,1.18002,6.82968,6.71829,7.92697,7.92773
300000000,5.04873e-09,5.04912e-09,1.39156,1.41391,6.83881,6.73123,9.51664,9.51736
350000000,5.05141e-09,5.05164e-09,1.62178,1.64662,6.84967,6.74665,11.1086,11.1091
400000000,5.05449e-09,5.05452e-09,1.85118,1.87793,6.86229,6.76458,12.7033,12.7034
450000000,5.05799e-09,5.05774e-09,2.07964,2.10764,6.87672,6.78503,14.3011,14.3004
500000000,5.0619e-09,5.06132e-09,2.30704,2.33557,6.89301,6.80802,15.9024,15.9006
550000000,5.06622e-09,5.06525e-09,2.53322,2.56152,6.9112,6.83354,17.5076,17.5043
600000000,5.07095e-09,5.06954e-09,2.75805,2.7853,6.93135,6.86163,19.117,19.1117
650000000,5.07609e-09,5.07419e-09,2.98138,3.00675,6.95352,6.89228,20.7311,20.7233
700000000,5.08164e-09,5.0792e-09,3.20306,3.22569,6.97777,6.9255,22.3502,22.3395
750000000,5.08761e-09,5.08458e-09,3.42292,3.44195,7.00418,6.96133,23.9748,23.9605
800000000,5.09398e-09,5.09034e-09,3.64081,3.65539,7.03281,6.99976,25.6052,25.5868
850000000,5.10077e-09,5.09647e-09,3.85655,3.86585,7.06375,7.04083,27.2417,27.2188
900000000,5.10797e-09,5.10298e-09,4.06997,4.07319,7.09707,7.08455,28.8849,28.8567
950000000,5.11558e-09,5.10987e-09,4.28089,4.27727,7.13287,7.13094,30.535,30.501
1000000000,5.12361e-09,5.11715e-09,4.48913,4.47798,7.17122,7.18003,32.1926,32.152
1050000000,5.13204e-09,5.12483e-09,4.69452,4.67519,7.21222,7.23185,33.8579,33.8103
1100000000,5.1409e-09,5.1329e-09,4.89685,4.86878,7.25596,7.28643,35.5313,35.476
1150000000,5.15016e-09,5.14137e-09,5.09595,5.05866,7.30254,7.3438,37.2133,37.1498
1200000000,5.15985e-09,5.15025e-09,5.29163,5.24472,7.35205,7.404,38.9043,38.8319
1250000000,5.16995e-09,5.15953e-09,5.48371,5.42689,7.40461,7.46706,40.6047,40.5229
