f_hz,l_em_h,l_fit_h,q_em,q_fit,re_zse_em,re_zse_fit,im_zse_em,im_zse_fit
0,nan,nan,0,nan,4.3829,nan,0,nan
50000000,4.23041e-09,4.22859e-09,0.303175,0.309438,4.38368,4.29311,1.32902,1.32845
100000000,4.23076e-09,4.22896e-09,0.606076,0.61849,4.38602,4.29616,2.65826,2.65713
150000000,4.23134e-09,4.22956e-09,0.908428,0.926758,4.38993,4.3013,3.98794,3.98626
200000000,4.23214e-09,4.23036e-09,1.20996,1.23383,4.39541,4.30856,5.31827,5.31603
250000000,4.23318e-09,4.23135e-09,1.51039,1.53928,4.40248,4.31798,6.64947,6.64659
300000000,4.23445e-09,4.23252e-09,1.80946,1.8427,4.41114,4.32958,7.98176,7.97811
350000000,4.23595e-09,4.23386e-09,2.10688,2.14367,4.4214,4.34337,9.31535,9.31074
400000000,4.23769e-09,4.23537e-09,2.40238,2.4418,4.43329,4.35935,10.6505,10.6446
450000000,4.23965e-09,4.23705e-09,2.6957,2.73672,4.44682,4.37749,11.9873,11.98
500000000,4.24184e-09,4.2389e-09,2.98657,3.02809,4.46202,4.39778,13.3261,13.3169
550000000,4.24426e-09,4.24093e-09,3.27471,3.31559,4.4789,4.42021,14.6671,14.6556
600000000,4.24691e-09,4.24315e-09,3.55986,3.59892,4.49749,4.44474,16.0105,15.9963
650000000,4.24979e-09,4.24555e-09,3.84177,3.87781,4.51782,4.47137,17.3564,17.3391
700000000,4.25289e-09,4.24814e-09,4.12016,4.152,4.53992,4.50007,18.7052,18.6843
750000000,4.25623e-09,4.25092e-09,4.39479,4.42128,4.56381,4.53081,20.057,20.032
800000000,4.25979e-09,4.2539e-09,4.66542,4.68545,4.58952,4.56358,21.412,21.3825
850000000,4.26358e-09,4.25709e-09,4.93179,4.94434,4.61709,4.59836,22.7705,22.7359
900000000,4.26759e-09,4.26047e-09,5.19368,5.19779,4.64655,4.63513,24.1327,24.0924
950000000,4.27184e-09,4.26407e-09,5.45085,5.44568,4.67793,4.67386,25.4987,25.4523
1000000000,4.27631e-09,4.26788e-09,5.70309,5.68791,4.71128,4.71454,26.8689,26.8159
