 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  6.74175171e-15  3.49694645e+03  6.73759196e-14  2.26542516e+02  3.56540233e-13  3.36407011e+01  1.42616853e-12  3.36408873e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.74197558e-15  3.33870821e+03  6.73760163e-14  2.16297867e+02  3.56509933e-13  3.21193239e+01  1.42604666e-12  3.21194619e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.74217966e-15  3.18671219e+03  6.73760807e-14  2.06515770e+02  3.56476661e-13  3.06667479e+01  1.42591296e-12  3.06668594e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.74236568e-15  3.04287974e+03  6.73761136e-14  1.97176174e+02  3.56440130e-13  2.92798547e+01  1.42576628e-12  2.92799608e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.74253525e-15  2.90561734e+03  6.73761152e-14  1.88258739e+02  3.56400031e-13  2.79556733e+01  1.42560537e-12  2.79557710e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.74268982e-15  2.77405513e+03  6.73760855e-14  1.79746080e+02  3.56356023e-13  2.66913951e+01  1.42542888e-12  2.66914801e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.74283070e-15  2.64907244e+03  6.73760243e-14  1.71616665e+02  3.56307730e-13  2.54842825e+01  1.42523528e-12  2.54843615e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.74295911e-15  2.52880510e+03  6.73759309e-14  1.63856552e+02  3.56254744e-13  2.43317589e+01  1.42502295e-12  2.43318242e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.74307616e-15  2.41501419e+03  6.73758047e-14  1.56445257e+02  3.56196613e-13  2.32313786e+01  1.42479008e-12  2.32314392e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.74318284e-15  2.30555616e+03  6.73756446e-14  1.49370209e+02  3.56132845e-13  2.21807403e+01  1.42453468e-12  2.21807845e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.74328006e-15  2.20136114e+03  6.73754491e-14  1.42615618e+02  3.56062899e-13  2.11776253e+01  1.42425461e-12  2.11776672e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.74336867e-15  2.10176309e+03  6.73752166e-14  1.36166295e+02  3.55986184e-13  2.02198694e+01  1.42394748e-12  2.02199099e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.74344942e-15  2.00679973e+03  6.73749451e-14  1.30007940e+02  3.55902051e-13  1.93054311e+01  1.42361070e-12  1.93054633e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.74352301e-15  1.91592296e+03  6.73746323e-14  1.24128557e+02  3.55809789e-13  1.84323471e+01  1.42324144e-12  1.84323789e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.74359005e-15  1.82948194e+03  6.73742755e-14  1.18514903e+02  3.55708622e-13  1.75987435e+01  1.42283657e-12  1.75987709e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.74365114e-15  1.74678063e+03  6.73738717e-14  1.13155040e+02  3.55597697e-13  1.68028448e+01  1.42239268e-12  1.68028672e+01  9.99758080e-10  6.28625312e-01 
