 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  3.24108278e-15  9.60105144e+00  3.08324948e-13  9.38824538e+00  2.93418450e-15  1.43926141e+01  2.70232432e-13  1.37666075e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  3.23783978e-15  9.16800916e+00  3.07989075e-13  8.96370650e+00  2.93300589e-15  1.37430493e+01  2.70094768e-13  1.31440527e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  3.23424965e-15  8.75446401e+00  3.07621433e-13  8.55836805e+00  2.93167310e-15  1.31227349e+01  2.69943875e-13  1.25496529e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  3.23028417e-15  8.35954855e+00  3.07219114e-13  8.17136192e+00  2.93017518e-15  1.25303667e+01  2.69778507e-13  1.19821350e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  3.22591239e-15  7.98243284e+00  3.06778960e-13  7.80185922e+00  2.92849985e-15  1.19646969e+01  2.69597302e-13  1.14402835e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  3.22110049e-15  7.62232303e+00  3.06297545e-13  7.44906855e+00  2.92663344e-15  1.14245325e+01  2.69398775e-13  1.09229379e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  3.21581159e-15  7.27845983e+00  3.05771158e-13  7.11223431e+00  2.92456075e-15  1.09087326e+01  2.69181305e-13  1.04289901e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  3.21000557e-15  6.95011721e+00  3.05195784e-13  6.79063503e+00  2.92226500e-15  1.04162063e+01  2.68943125e-13  9.95738207e+00  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  3.20363891e-15  6.63660103e+00  3.04567085e-13  6.48358189e+00  2.91972769e-15  9.94591083e+00  2.68682311e-13  9.50710369e+00  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  3.19666446e-15  6.33724766e+00  3.03880381e-13  6.19041720e+00  2.91692847e-15  9.49684931e+00  2.68396768e-13  9.07719049e+00  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  3.18903134e-15  6.05142283e+00  3.03130632e-13  5.91051302e+00  2.91384504e-15  9.06806909e+00  2.68084215e-13  8.66672162e+00  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  3.18068468e-15  5.77852030e+00  3.02312419e-13  5.64326981e+00  2.91045298e-15  8.65865971e+00  2.67742176e-13  8.27481786e+00  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  3.17156554e-15  5.51796073e+00  3.01419930e-13  5.38811513e+00  2.90672565e-15  8.26775116e+00  2.67367960e-13  7.90063974e+00  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  3.16161076e-15  5.26919056e+00  3.00446944e-13  5.14450245e+00  2.90263398e-15  7.89451213e+00  2.66958646e-13  7.54338578e+00  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  3.15075279e-15  5.03168084e+00  2.99386818e-13  4.91190994e+00  2.89814638e-15  7.53814836e+00  2.66511074e-13  7.20229072e+00  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  3.13891972e-15  4.80492626e+00  2.98232482e-13  4.68983938e+00  2.89322851e-15  7.19790105e+00  2.66021818e-13  6.87662391e+00  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  3.12603516e-15  4.58844406e+00  2.96976431e-13  4.47781507e+00  2.88784319e-15  6.87304531e+00  2.65487180e-13  6.56568775e+00  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  3.11201831e-15  4.38177312e+00  2.95610728e-13  4.27538286e+00  2.88195016e-15  6.56288870e+00  2.64903165e-13  6.26881619e+00  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  3.09678409e-15  4.18447296e+00  2.94127014e-13  4.08210911e+00  2.87550598e-15  6.26676978e+00  2.64265471e-13  5.98537330e+00  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  3.08024323e-15  3.99612289e+00  2.92516519e-13  3.89757981e+00  2.86846382e-15  5.98405679e+00  2.63569471e-13  5.71475192e+00  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  3.06230266e-15  3.81632111e+00  2.90770089e-13  3.72139968e+00  2.86077334e-15  5.71414632e+00  2.62810198e-13  5.45637234e+00  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  3.04286580e-15  3.64468391e+00  2.88878226e-13  3.55319133e+00  2.85238056e-15  5.45646206e+00  2.61982333e-13  5.20968107e+00  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  3.02183318e-15  3.48084486e+00  2.86831132e-13  3.39259442e+00  2.84322773e-15  5.21045363e+00  2.61080193e-13  4.97414965e+00  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  2.99910304e-15  3.32445405e+00  2.84618775e-13  3.23926493e+00  2.83325324e-15  4.97559541e+00  2.60097723e-13  4.74927355e+00  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  2.97457222e-15  3.17517737e+00  2.82230969e-13  3.09287440e+00  2.82239158e-15  4.75138543e+00  2.59028494e-13  4.53457102e+00  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  2.94813716e-15  3.03269580e+00  2.79657467e-13  2.95310925e+00  2.81057331e-15  4.53734434e+00  2.57865697e-13  4.32958214e+00  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  2.91969515e-15  2.89670476e+00  2.76888087e-13  2.81967006e+00  2.79772513e-15  4.33301440e+00  2.56602156e-13  4.13386775e+00  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  2.88914570e-15  2.76691344e+00  2.73912836e-13  2.69227099e+00  2.78376995e-15  4.13795850e+00  2.55230330e-13  3.94700860e+00  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  2.85639224e-15  2.64304422e+00  2.70722082e-13  2.57063910e+00  2.76862714e-15  3.95175925e+00  2.53742342e-13  3.76860437e+00  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  2.82134395e-15  2.52483206e+00  2.67306719e-13  2.45451383e+00  2.75221272e-15  3.77401807e+00  2.52130004e-13  3.59827287e+00  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  2.78391778e-15  2.41202394e+00  2.63658376e-13  2.34364641e+00  2.73443983e-15  3.60435440e+00  2.50384854e-13  3.43564917e+00  1.00023394e-09  1.25796759e+00 
