 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  3.08836836e-15  1.01233887e+01  2.95769467e-13  9.79877395e+00  2.80051788e-15  1.51083295e+01  2.57604192e-13  1.44509969e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  3.08561398e-15  9.66663831e+00  2.95473408e-13  9.35566747e+00  2.79952683e-15  1.44264909e+01  2.57485067e-13  1.37974903e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  3.08255787e-15  9.23046714e+00  2.95149283e-13  8.93260124e+00  2.79839944e-15  1.37753474e+01  2.57354476e-13  1.31735381e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  3.07917581e-15  8.81395744e+00  2.94794508e-13  8.52866912e+00  2.79712641e-15  1.31535312e+01  2.57211337e-13  1.25778042e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  3.07544118e-15  8.41623147e+00  2.94406278e-13  8.14300599e+00  2.79569728e-15  1.25597340e+01  2.57054466e-13  1.20090126e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  3.07132480e-15  8.03644982e+00  2.93981548e-13  7.77478579e+00  2.79410034e-15  1.19927040e+01  2.56882572e-13  1.14659451e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  3.06679479e-15  7.67380992e+00  2.93517014e-13  7.42321985e+00  2.79232253e-15  1.14512446e+01  2.56694246e-13  1.09474384e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  3.06181639e-15  7.32754447e+00  2.93009099e-13  7.08755515e+00  2.79034940e-15  1.09342113e+01  2.56487951e-13  1.04523820e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  3.05635177e-15  6.99692001e+00  2.92453932e-13  6.76707271e+00  2.78816494e-15  1.04405101e+01  2.56262009e-13  9.97971563e+00  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  3.05035990e-15  6.68123552e+00  2.91847330e-13  6.46108607e+00  2.78575154e-15  9.96909506e+00  2.56014596e-13  9.52842674e+00  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  3.04379635e-15  6.37982103e+00  2.91184784e-13  6.16893982e+00  2.78308985e-15  9.51896666e+00  2.55743721e-13  9.09754875e+00  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  3.03661313e-15  6.09203633e+00  2.90461435e-13  5.89000817e+00  2.78015865e-15  9.08916950e+00  2.55447223e-13  8.68615872e+00  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  3.02875852e-15  5.81726969e+00  2.89672063e-13  5.62369367e+00  2.77693471e-15  8.67879062e+00  2.55122749e-13  8.29337545e+00  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  3.02017692e-15  5.55493664e+00  2.88811068e-13  5.36942584e+00  2.77339269e-15  8.28695761e+00  2.54767747e-13  7.91835761e+00  9.99731362e-10  5.73067199e-01 
