 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.63872252e-15  4.19262744e+03  5.43332302e-14  2.81082527e+02  2.79452706e-13  4.29415529e+01  1.11781842e-12  4.29418640e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.63894642e-15  4.00211348e+03  5.43333875e-14  2.68371246e+02  2.79438241e-13  4.09995698e+01  1.11775989e-12  4.09998072e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.63915052e-15  3.82080899e+03  5.43335185e-14  2.56235347e+02  2.79422335e-13  3.91453496e+01  1.11769565e-12  3.91455635e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.63933657e-15  3.64841551e+03  5.43336243e-14  2.44649703e+02  2.79404850e-13  3.73749951e+01  1.11762516e-12  3.73751971e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.63950617e-15  3.48314519e+03  5.43337059e-14  2.33587812e+02  2.79385638e-13  3.56847437e+01  1.11754780e-12  3.56849222e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.63966076e-15  3.32747436e+03  5.43337640e-14  2.23021816e+02  2.79364534e-13  3.40709280e+01  1.11746292e-12  3.40710667e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.63980168e-15  3.17533346e+03  5.43337990e-14  2.12936438e+02  2.79341358e-13  3.25301010e+01  1.11736979e-12  3.25302072e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.63993013e-15  3.03364224e+03  5.43338113e-14  2.03306147e+02  2.79315913e-13  3.10589239e+01  1.11726763e-12  3.10590326e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.64004722e-15  2.89514410e+03  5.43338010e-14  1.94112036e+02  2.79287983e-13  2.96543126e+01  1.11715555e-12  2.96544025e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.64015395e-15  2.76393778e+03  5.43337680e-14  1.85334888e+02  2.79257328e-13  2.83131996e+01  1.11703262e-12  2.83132751e+01  9.99690711e-10  4.76241640e-01 
