 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  7.32784332e-15  3.20886975e+03  7.44246706e-14  2.04988796e+02  3.98617919e-13  3.00788402e+01  1.59447928e-12  3.00789918e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  7.32806718e-15  3.06405460e+03  7.44247228e-14  1.95719574e+02  3.98575467e-13  2.87185509e+01  1.59430880e-12  2.87186671e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  7.32827124e-15  2.92605817e+03  7.44247385e-14  1.86868517e+02  3.98528868e-13  2.74197642e+01  1.59412179e-12  2.74198741e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  7.32845724e-15  2.79421989e+03  7.44247179e-14  1.78418490e+02  3.98477724e-13  2.61797179e+01  1.59391665e-12  2.61798167e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  7.32862679e-15  2.66704761e+03  7.44246609e-14  1.70349165e+02  3.98421601e-13  2.49957542e+01  1.59369165e-12  2.49958346e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  7.32878133e-15  2.54651881e+03  7.44245668e-14  1.62645920e+02  3.98360023e-13  2.38653272e+01  1.59344487e-12  2.38654062e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  7.32892219e-15  2.43152290e+03  7.44244349e-14  1.55289474e+02  3.98292465e-13  2.27860227e+01  1.59317422e-12  2.27860857e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  7.32905058e-15  2.32155433e+03  7.44242642e-14  1.48266878e+02  3.98218357e-13  2.17555432e+01  1.59287740e-12  2.17555962e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  7.32916759e-15  2.21688233e+03  7.44240530e-14  1.41561797e+02  3.98137070e-13  2.07716493e+01  1.59255190e-12  2.07716939e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  7.32927424e-15  2.11665037e+03  7.44237997e-14  1.35160239e+02  3.98047916e-13  1.98322548e+01  1.59219497e-12  1.98322969e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  7.32937143e-15  2.02068429e+03  7.44235020e-14  1.29047782e+02  3.97950142e-13  1.89353468e+01  1.59180358e-12  1.89353859e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  7.32946000e-15  1.92922100e+03  7.44231573e-14  1.23211473e+02  3.97842924e-13  1.80789985e+01  1.59137444e-12  1.80790304e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  7.32954071e-15  1.84232063e+03  7.44227629e-14  1.17639684e+02  3.97725358e-13  1.72613781e+01  1.59090393e-12  1.72614065e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  7.32961424e-15  1.75888177e+03  7.44223151e-14  1.12319379e+02  3.97596456e-13  1.64807380e+01  1.59038810e-12  1.64807598e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  7.32968124e-15  1.67929249e+03  7.44218103e-14  1.07239795e+02  3.97455135e-13  1.57353982e+01  1.58982262e-12  1.57354183e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  7.32974227e-15  1.60345020e+03  7.44212441e-14  1.02390029e+02  3.97300213e-13  1.50237667e+01  1.58920275e-12  1.50237862e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  7.32979786e-15  1.53089737e+03  7.44206116e-14  9.77596507e+01  3.97130394e-13  1.43443179e+01  1.58852330e-12  1.43443344e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  7.32984848e-15  1.46167543e+03  7.44199075e-14  9.33384257e+01  3.96944263e-13  1.36955984e+01  1.58777863e-12  1.36956114e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  7.32989458e-15  1.39562081e+03  7.44191256e-14  8.91172233e+01  3.96740273e-13  1.30762158e+01  1.58696253e-12  1.30762272e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  7.32993653e-15  1.33255192e+03  7.44182593e-14  8.50870005e+01  3.96516733e-13  1.24848463e+01  1.58606824e-12  1.24848566e+01  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  7.32997471e-15  1.27227745e+03  7.44173012e-14  8.12389565e+01  3.96271796e-13  1.19202197e+01  1.58508838e-12  1.19202285e+01  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  7.33000944e-15  1.21475677e+03  7.44162430e-14  7.75649270e+01  3.96003447e-13  1.13811281e+01  1.58401487e-12  1.13811358e+01  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  7.33004102e-15  1.15982978e+03  7.44150758e-14  7.40570921e+01  3.95709484e-13  1.08664172e+01  1.58283893e-12  1.08664238e+01  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  7.33006972e-15  1.10735283e+03  7.44137894e-14  7.07079102e+01  3.95387510e-13  1.03749838e+01  1.58155094e-12  1.03749901e+01  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  7.33009578e-15  1.05725727e+03  7.44123730e-14  6.75101127e+01  3.95034908e-13  9.90577619e+00  1.58014046e-12  9.90578231e+00  9.99963703e-10  9.53219997e-01 
