 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  1.04549210e-14  2.23873368e+03  1.11568151e-13  1.36636799e+02  6.18072511e-13  1.93656886e+01  2.47229764e-12  1.93657477e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  1.04551447e-14  2.13775942e+03  1.11567795e-13  1.30457789e+02  6.17913375e-13  1.84898827e+01  2.47166043e-12  1.84899334e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  1.04553487e-14  2.04095134e+03  1.11567364e-13  1.24558017e+02  6.17738861e-13  1.76536833e+01  2.47096176e-12  1.76537335e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  1.04555345e-14  1.94879512e+03  1.11566852e-13  1.18925035e+02  6.17547498e-13  1.68553025e+01  2.47019575e-12  1.68553409e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  1.04557039e-14  1.86088258e+03  1.11566257e-13  1.13546866e+02  6.17337679e-13  1.60930275e+01  2.46935596e-12  1.60930637e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  1.04558582e-14  1.77644161e+03  1.11565573e-13  1.08411873e+02  6.17107645e-13  1.53652208e+01  2.46843536e-12  1.53652492e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  1.04559989e-14  1.69620036e+03  1.11564793e-13  1.03508990e+02  6.16855471e-13  1.46703323e+01  2.46742624e-12  1.46703584e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  1.04561270e-14  1.61939114e+03  1.11563912e-13  9.88278960e+01  6.16579053e-13  1.40068690e+01  2.46632019e-12  1.40068912e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  1.04562438e-14  1.54630578e+03  1.11562922e-13  9.43586339e+01  6.16276090e-13  1.33734114e+01  2.46510798e-12  1.33734315e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  1.04563502e-14  1.47632090e+03  1.11561813e-13  9.00913538e+01  6.15944067e-13  1.27686000e+01  2.46377957e-12  1.27686188e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  1.04564470e-14  1.40962121e+03  1.11560578e-13  8.60169975e+01  6.15580236e-13  1.21911429e+01  2.46232396e-12  1.21911572e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  1.04565353e-14  1.34591253e+03  1.11559205e-13  8.21269530e+01  6.15181599e-13  1.16397988e+01  2.46072914e-12  1.16398111e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  1.04566156e-14  1.28506853e+03  1.11557682e-13  7.84128986e+01  6.14744879e-13  1.11133908e+01  2.45898202e-12  1.11134027e+01  9.99719747e-10  5.47156592e-01 
