 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  3.24610964e-15  9.56236518e+00  2.82745049e-13  1.02627334e+01  2.66841282e-15  1.58890285e+01  2.45105959e-13  1.51977857e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  3.24284651e-15  9.13252200e+00  2.82486804e-13  9.79866589e+00  2.66759001e-15  1.51719929e+01  2.45003463e-13  1.45105053e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  3.23923438e-15  8.72184379e+00  2.82204018e-13  9.35558369e+00  2.66664689e-15  1.44872273e+01  2.44891084e-13  1.38543066e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  3.23524486e-15  8.32950227e+00  2.81894424e-13  8.93253831e+00  2.66557567e-15  1.38332948e+01  2.44767890e-13  1.32277842e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  3.23084685e-15  7.95470182e+00  2.81555558e-13  8.52862410e+00  2.66436751e-15  1.32088206e+01  2.44632857e-13  1.26295964e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  3.22600631e-15  7.59667862e+00  2.81184738e-13  8.14297631e+00  2.66301248e-15  1.26124896e+01  2.44484870e-13  1.20584618e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  3.22068618e-15  7.25469973e+00  2.80779057e-13  7.77476927e+00  2.66149945e-15  1.20430442e+01  2.44322711e-13  1.15131573e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  3.21484612e-15  6.92806219e+00  2.80335358e-13  7.42321458e+00  2.65981606e-15  1.14992816e+01  2.44145049e-13  1.09925149e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  3.20844236e-15  6.61609207e+00  2.79850226e-13  7.08755950e+00  2.65794859e-15  1.09800520e+01  2.43950434e-13  1.04954193e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  3.20142753e-15  6.31814354e+00  2.79319962e-13  6.76708528e+00  2.65588192e-15  1.04842560e+01  2.43737282e-13  1.00208060e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  3.19375046e-15  6.03359789e+00  2.78740573e-13  6.46110566e+00  2.65359935e-15  1.00108429e+01  2.43503870e-13  9.56765821e+00  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  3.18535602e-15  5.76186259e+00  2.78107750e-13  6.16896540e+00  2.65108258e-15  9.55880848e+00  2.43248322e-13  9.13500539e+00  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  3.17618499e-15  5.50237036e+00  2.77416853e-13  5.89003888e+00  2.64831151e-15  9.12719287e+00  2.42968596e-13  8.72192079e+00  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  3.16617387e-15  5.25457819e+00  2.76662897e-13  5.62372875e+00  2.64526418e-15  8.71507893e+00  2.42662471e-13  8.32751959e+00  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  3.15525484e-15  5.01796651e+00  2.75840534e-13  5.36946466e+00  2.64191661e-15  8.32159031e+00  2.42327537e-13  7.95095697e+00  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  3.14335562e-15  4.79203821e+00  2.74944039e-13  5.12670208e+00  2.63824267e-15  7.94588970e+00  2.41961178e-13  7.59142632e+00  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  3.13039952e-15  4.57631779e+00  2.73967303e-13  4.89492105e+00  2.63421394e-15  7.58717717e+00  2.41560560e-13  7.24815750e+00  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  3.11630538e-15  4.37035054e+00  2.72903825e-13  4.67362517e+00  2.62979954e-15  7.24468852e+00  2.41122612e-13  6.92041522e+00  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  3.10098778e-15  4.17370164e+00  2.71746706e-13  4.46234045e+00  2.62496603e-15  6.91769375e+00  2.40644019e-13  6.60749742e+00  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  3.08435711e-15  3.98595543e+00  2.70488653e-13  4.26061435e+00  2.61967720e-15  6.60549555e+00  2.40121199e-13  6.30873380e+00  9.99828928e-10  7.56409403e-01 
