 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.52847947e-15  4.27335863e+03  5.30219096e-14  2.88004428e+02  2.71668652e-13  4.41712665e+01  1.08668221e-12  4.41715650e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.52870337e-15  4.08254776e+03  5.30220715e-14  2.74982535e+02  2.71655381e-13  4.21736658e+01  1.08662845e-12  4.21739844e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.52890747e-15  3.89634150e+03  5.30222076e-14  2.62546575e+02  2.71640783e-13  4.02663884e+01  1.08656944e-12  4.02666145e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.52909353e-15  3.71958538e+03  5.30223191e-14  2.50675436e+02  2.71624732e-13  3.84453335e+01  1.08650469e-12  3.84455029e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.52926313e-15  3.55160490e+03  5.30224070e-14  2.39339156e+02  2.71607093e-13  3.67066797e+01  1.08643362e-12  3.67068481e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.52941772e-15  3.39290370e+03  5.30224718e-14  2.28517064e+02  2.71587715e-13  3.50466507e+01  1.08635564e-12  3.50468232e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.52955865e-15  3.23925464e+03  5.30225143e-14  2.18180064e+02  2.71566432e-13  3.34616931e+01  1.08627009e-12  3.34618093e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.52968710e-15  3.09209886e+03  5.30225348e-14  2.08314883e+02  2.71543063e-13  3.19484050e+01  1.08617623e-12  3.19485003e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.52980419e-15  2.95295251e+03  5.30225335e-14  1.98893361e+02  2.71517408e-13  3.05035443e+01  1.08607326e-12  3.05036495e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.52991092e-15  2.81884406e+03  5.30225103e-14  1.89899858e+02  2.71489250e-13  2.91240340e+01  1.08596030e-12  2.91241166e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.53000821e-15  2.69106705e+03  5.30224651e-14  1.81311940e+02  2.71458347e-13  2.78069029e+01  1.08583640e-12  2.78069865e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.53009687e-15  2.56999957e+03  5.30223974e-14  1.73112439e+02  2.71424438e-13  2.65493554e+01  1.08570050e-12  2.65494158e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.53017769e-15  2.45344630e+03  5.30223067e-14  1.65283457e+02  2.71387233e-13  2.53486719e+01  1.08555144e-12  2.53487303e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.53025135e-15  2.34293352e+03  5.30221923e-14  1.57808938e+02  2.71346418e-13  2.42022823e+01  1.08538795e-12  2.42023315e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.53031848e-15  2.23674029e+03  5.30220530e-14  1.50672390e+02  2.71301644e-13  2.31077345e+01  1.08520866e-12  2.31077751e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.53037965e-15  2.13584310e+03  5.30218878e-14  1.43857864e+02  2.71252534e-13  2.20626947e+01  1.08501203e-12  2.20627300e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.53043540e-15  2.03917396e+03  5.30216953e-14  1.37352203e+02  2.71198669e-13  2.10649135e+01  1.08479641e-12  2.10649448e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.53048620e-15  1.94692030e+03  5.30214736e-14  1.31140940e+02  2.71139596e-13  2.01122532e+01  1.08455996e-12  2.01122849e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  5.53053248e-15  1.85892582e+03  5.30212211e-14  1.25209901e+02  2.71074813e-13  1.92026825e+01  1.08430069e-12  1.92027096e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  5.53057465e-15  1.77495498e+03  5.30209355e-14  1.19547492e+02  2.71003775e-13  1.83342473e+01  1.08401641e-12  1.83342702e+01  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  5.53061306e-15  1.69452766e+03  5.30206143e-14  1.14141183e+02  2.70925884e-13  1.75050803e+01  1.08370473e-12  1.75051018e+01  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  5.53064804e-15  1.61787530e+03  5.30202548e-14  1.08979127e+02  2.70840482e-13  1.67134145e+01  1.08336302e-12  1.67134324e+01  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  5.53067990e-15  1.54483725e+03  5.30198540e-14  1.04050608e+02  2.70746854e-13  1.59575527e+01  1.08298841e-12  1.59575658e+01  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  5.53070890e-15  1.47496711e+03  5.30194084e-14  9.93449994e+01  2.70644215e-13  1.52358771e+01  1.08257777e-12  1.52358885e+01  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  5.53073529e-15  1.40821789e+03  5.30189141e-14  9.48521803e+01  2.70531706e-13  1.45468341e+01  1.08212765e-12  1.45468448e+01  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  5.53075931e-15  1.34459135e+03  5.30183669e-14  9.05623251e+01  2.70408389e-13  1.38889550e+01  1.08163431e-12  1.38889643e+01  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  5.53078115e-15  1.28374699e+03  5.30177623e-14  8.64668877e+01  2.70273238e-13  1.32608281e+01  1.08109364e-12  1.32608367e+01  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  5.53080101e-15  1.22571810e+03  5.30170949e-14  8.25565126e+01  2.70125131e-13  1.26611059e+01  1.08050115e-12  1.26611131e+01  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  5.53081905e-15  1.17024561e+03  5.30163590e-14  7.88229433e+01  2.69962844e-13  1.20885093e+01  1.07985195e-12  1.20885143e+01  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  5.53083543e-15  1.11733595e+03  5.30155484e-14  7.52582145e+01  2.69785040e-13  1.15418070e+01  1.07914068e-12  1.15418122e+01  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  5.53085029e-15  1.06685002e+03  5.30146561e-14  7.18546213e+01  2.69590258e-13  1.10198305e+01  1.07836151e-12  1.10198350e+01  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  5.53086375e-15  1.01859474e+03  5.30136745e-14  6.86050404e+01  2.69376908e-13  1.05214586e+01  1.07750806e-12  1.05214628e+01  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  5.53087594e-15  9.72510305e+02  5.30125951e-14  6.55023658e+01  2.69143252e-13  1.00456258e+01  1.07657340e-12  1.00456293e+01  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  5.53088696e-15  9.28537945e+02  5.30114088e-14  6.25400514e+01  2.68887401e-13  9.59131280e+00  1.07554996e-12  9.59131589e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  5.53089689e-15  8.86530073e+02  5.30101053e-14  5.97116755e+01  2.68607295e-13  9.15754569e+00  1.07442950e-12  9.15754861e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  5.53090583e-15  8.46438556e+02  5.30086735e-14  5.70111993e+01  2.68300692e-13  8.74339561e+00  1.07320307e-12  8.74339828e+00  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  5.53091386e-15  8.08164604e+02  5.30071012e-14  5.44328892e+01  2.67965159e-13  8.34797617e+00  1.07186091e-12  8.34797839e+00  1.00070521e-09  1.65981022e+00 
 5.54193938e+08  5.53092104e-15  7.71612805e+02  5.30053749e-14  5.19711806e+01  2.67598048e-13  7.97043884e+00  1.07039244e-12  7.97044099e+00  1.00081252e-09  1.73824415e+00 
 5.80444550e+08  5.53092743e-15  7.36721540e+02  5.30034799e-14  4.96207915e+01  2.67196490e-13  7.60997615e+00  1.06878619e-12  7.60997778e+00  1.00093026e-09  1.82036548e+00 
 6.07938580e+08  5.53093308e-15  7.03411999e+02  5.30013998e-14  4.73767023e+01  2.66757372e-13  7.26581504e+00  1.06702969e-12  7.26581637e+00  1.00105946e-09  1.90634473e+00 
 6.36734925e+08  5.53093806e-15  6.71597832e+02  5.29991170e-14  4.52341091e+01  2.66277325e-13  6.93721870e+00  1.06510949e-12  6.93721996e+00  1.00120122e-09  1.99635988e+00 
 6.66895272e+08  5.53094239e-15  6.41222282e+02  5.29966119e-14  4.31883815e+01  2.65752706e-13  6.62348312e+00  1.06301099e-12  6.62348413e+00  1.00135677e-09  2.09059664e+00 
 6.98484230e+08  5.53094612e-15  6.12230885e+02  5.29938632e-14  4.12351936e+01  2.65179582e-13  6.32393595e+00  1.06071848e-12  6.32393678e+00  1.00152747e-09  2.18924870e+00 
 7.31569468e+08  5.53094928e-15  5.84536653e+02  5.29908472e-14  3.93703409e+01  2.64553713e-13  6.03793611e+00  1.05821499e-12  6.03793691e+00  1.00171479e-09  2.29251798e+00 
 7.66221861e+08  5.53095190e-15  5.58105339e+02  5.29875383e-14  3.75898104e+01  2.63870537e-13  5.76487040e+00  1.05548228e-12  5.76487104e+00  1.00192035e-09  2.40061489e+00 
