 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  2.36377186e-15  1.35612647e+01  2.20453847e-13  1.32399876e+01  2.07417645e-15  2.07323621e+01  1.88303258e-13  1.98472792e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  2.36271630e-15  1.29500358e+01  2.20332438e-13  1.26412590e+01  2.07392357e-15  1.97971203e+01  1.88257135e-13  1.89497273e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  2.36151854e-15  1.23662354e+01  2.20199369e-13  1.20696071e+01  2.07360492e-15  1.89038954e+01  1.88206525e-13  1.80927651e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  2.36016880e-15  1.18086533e+01  2.20053544e-13  1.15238076e+01  2.07321785e-15  1.80508248e+01  1.88151000e-13  1.72745573e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  2.35865609e-15  1.12761304e+01  2.19893766e-13  1.10026918e+01  2.07275912e-15  1.72361253e+01  1.88090095e-13  1.64933516e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  2.35696813e-15  1.07675566e+01  2.19718731e-13  1.05051435e+01  2.07222492e-15  1.64580902e+01  1.88023297e-13  1.57474749e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  2.35509131e-15  1.02818691e+01  2.19527015e-13  1.00300973e+01  2.07161081e-15  1.57150862e+01  1.87950048e-13  1.50353298e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  2.35301053e-15  9.81805086e+00  2.19317067e-13  9.57653583e+00  2.07091167e-15  1.50055510e+01  1.87869735e-13  1.43553911e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  2.35070916e-15  9.37512850e+00  2.19087201e-13  9.14348758e+00  2.07012172e-15  1.43279898e+01  1.87781690e-13  1.37062024e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  2.34816892e-15  8.95217083e+00  2.18835577e-13  8.73002511e+00  2.06923440e-15  1.36809734e+01  1.87685180e-13  1.30863733e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  2.34536976e-15  8.54828714e+00  2.18560200e-13  8.33526286e+00  2.06824239e-15  1.30631349e+01  1.87579406e-13  1.24945763e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  2.34228977e-15  8.16262558e+00  2.18258901e-13  7.95835531e+00  2.06713753e-15  1.24731675e+01  1.87463494e-13  1.19295437e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  2.33890501e-15  7.79437160e+00  2.17929326e-13  7.59849519e+00  2.06591074e-15  1.19098220e+01  1.87336491e-13  1.13900653e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  2.33518943e-15  7.44274646e+00  2.17568924e-13  7.25491172e+00  2.06455199e-15  1.13719042e+01  1.87197355e-13  1.08749856e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  2.33111474e-15  7.10700570e+00  2.17174935e-13  6.92686895e+00  2.06305021e-15  1.08582728e+01  1.87044952e-13  1.03832013e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  2.32665024e-15  6.78643774e+00  2.16744373e-13  6.61366425e+00  2.06139322e-15  1.03678372e+01  1.86878044e-13  9.91365904e+00  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  2.32176272e-15  6.48036253e+00  2.16274015e-13  6.31462674e+00  2.05956766e-15  9.89955505e+00  1.86695283e-13  9.46535301e+00  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  2.31641631e-15  6.18813018e+00  2.15760389e-13  6.02911589e+00  2.05755886e-15  9.45243045e+00  1.86495201e-13  9.03732295e+00  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  2.31057239e-15  5.90911969e+00  2.15199758e-13  5.75652012e+00  2.05535082e-15  9.02551189e+00  1.86276201e-13  8.62865201e+00  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  2.30418942e-15  5.64273775e+00  2.14588111e-13  5.49625554e+00  2.05292603e-15  8.61789030e+00  1.86036550e-13  8.23846480e+00  9.99828928e-10  7.56409403e-01 
