 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  7.52393208e-15  3.13785681e+03  7.66645432e-14  1.99196281e+02  4.11540280e-13  2.91424067e+01  1.64616872e-12  2.91425487e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  7.52415594e-15  2.99627397e+03  7.66645798e-14  1.90188342e+02  4.11493571e-13  2.78244563e+01  1.64598121e-12  2.78245643e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  7.52435999e-15  2.85988958e+03  7.66645784e-14  1.81587602e+02  4.11442304e-13  2.65661067e+01  1.64577553e-12  2.65662030e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  7.52454599e-15  2.73091456e+03  7.66645390e-14  1.73374922e+02  4.11386042e-13  2.53646675e+01  1.64554992e-12  2.53647522e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  7.52471553e-15  2.60729484e+03  7.66644613e-14  1.65535611e+02  4.11324307e-13  2.42175578e+01  1.64530248e-12  2.42176317e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  7.52487006e-15  2.48959614e+03  7.66643446e-14  1.58049039e+02  4.11256575e-13  2.31223204e+01  1.64503108e-12  2.31223981e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  7.52501091e-15  2.37712845e+03  7.66641880e-14  1.50901291e+02  4.11182272e-13  2.20766240e+01  1.64473345e-12  2.20766799e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  7.52513929e-15  2.26972492e+03  7.66639900e-14  1.44076985e+02  4.11100767e-13  2.10782167e+01  1.64440705e-12  2.10782660e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  7.52525630e-15  2.16717591e+03  7.66637490e-14  1.37561574e+02  4.11011372e-13  2.01249591e+01  1.64404911e-12  2.01250035e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  7.52536293e-15  2.06926389e+03  7.66634630e-14  1.31340221e+02  4.10913331e-13  1.92148171e+01  1.64365663e-12  1.92148535e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  7.52546011e-15  1.97566430e+03  7.66631294e-14  1.25400821e+02  4.10805816e-13  1.83458259e+01  1.64322628e-12  1.83458621e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  7.52554867e-15  1.88644209e+03  7.66627454e-14  1.19729655e+02  4.10687922e-13  1.75161376e+01  1.64275443e-12  1.75161675e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  7.52562936e-15  1.80102836e+03  7.66623077e-14  1.14314996e+02  4.10558655e-13  1.67239767e+01  1.64223712e-12  1.67240002e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  7.52570288e-15  1.71957767e+03  7.66618126e-14  1.09145301e+02  4.10416931e-13  1.59676377e+01  1.64167001e-12  1.59676591e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  7.52576986e-15  1.64189541e+03  7.66612558e-14  1.04209067e+02  4.10261562e-13  1.52455046e+01  1.64104833e-12  1.52455217e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  7.52583088e-15  1.56753725e+03  7.66606325e-14  9.94964392e+01  4.10091249e-13  1.45560245e+01  1.64036689e-12  1.45560425e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  7.52588644e-15  1.49672990e+03  7.66599375e-14  9.49968327e+01  4.09904570e-13  1.38977345e+01  1.63962001e-12  1.38977497e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  7.52593705e-15  1.42907674e+03  7.66591647e-14  9.07005281e+01  4.09699973e-13  1.32692097e+01  1.63880147e-12  1.32692219e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  7.52598311e-15  1.36439918e+03  7.66583076e-14  8.65986801e+01  4.09475760e-13  1.26691098e+01  1.63790447e-12  1.26691198e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  7.52602504e-15  1.30269444e+03  7.66573587e-14  8.26822422e+01  4.09230076e-13  1.20961511e+01  1.63692161e-12  1.20961612e+01  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  7.52606319e-15  1.24378833e+03  7.66563101e-14  7.89429728e+01  4.08960898e-13  1.15491037e+01  1.63584478e-12  1.15491122e+01  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  7.52609789e-15  1.18756384e+03  7.66551526e-14  7.53729497e+01  4.08666015e-13  1.10267970e+01  1.63466515e-12  1.10268046e+01  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  7.52612943e-15  1.13381705e+03  7.66538764e-14  7.19641777e+01  4.08343018e-13  1.05281102e+01  1.63337306e-12  1.05281170e+01  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  7.52615809e-15  1.08257366e+03  7.66524705e-14  6.87096389e+01  4.07989277e-13  1.00519770e+01  1.63195801e-12  1.00519827e+01  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  7.52618411e-15  1.03362435e+03  7.66509229e-14  6.56022311e+01  4.07601931e-13  9.59737708e+00  1.63040855e-12  9.59738172e+00  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  7.52620771e-15  9.86884192e+02  7.66492204e-14  6.26354073e+01  4.07177861e-13  9.16333579e+00  1.62871219e-12  9.16334054e+00  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  7.52622910e-15  9.42207081e+02  7.66473484e-14  5.98027087e+01  4.06713674e-13  8.74892445e+00  1.62685538e-12  8.74892883e+00  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  7.52624846e-15  8.99625460e+02  7.66452908e-14  5.70981688e+01  4.06205684e-13  8.35325455e+00  1.62482336e-12  8.35325744e+00  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  7.52626596e-15  8.58958537e+02  7.66430301e-14  5.45159227e+01  4.05649883e-13  7.97547887e+00  1.62260010e-12  7.97548173e+00  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  7.52628174e-15  8.20089203e+02  7.66405468e-14  5.20504223e+01  4.05041926e-13  7.61478804e+00  1.62016822e-12  7.61479083e+00  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  7.52629594e-15  7.83016449e+02  7.66378199e-14  4.96964735e+01  4.04377099e-13  7.27040938e+00  1.61750887e-12  7.27041160e+00  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  7.52630869e-15  7.47609358e+02  7.66348258e-14  4.74489431e+01  4.03650302e-13  6.94160523e+00  1.61460164e-12  6.94160719e+00  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  7.52632009e-15  7.13795939e+02  7.66315392e-14  4.53030778e+01  4.02856019e-13  6.62767156e+00  1.61142447e-12  6.62767317e+00  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  7.52633024e-15  6.81521625e+02  7.66279317e-14  4.32542491e+01  4.01988292e-13  6.32793486e+00  1.60795353e-12  6.32793631e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  7.52633922e-15  6.50694605e+02  7.66239726e-14  4.12981001e+01  4.01040702e-13  6.04175425e+00  1.60416314e-12  6.04175548e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  7.52634712e-15  6.21262047e+02  7.66196281e-14  3.94303781e+01  4.00006340e-13  5.76851593e+00  1.60002566e-12  5.76851704e+00  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  7.52635401e-15  5.93172735e+02  7.66148611e-14  3.76471484e+01  3.98877786e-13  5.50763483e+00  1.59551141e-12  5.50763570e+00  1.00070521e-09  1.65981022e+00 
 5.54193938e+08  7.52635993e-15  5.66339970e+02  7.66096309e-14  3.59445679e+01  3.97647086e-13  5.25855218e+00  1.59058859e-12  5.25855298e+00  1.00081252e-09  1.73824415e+00 
 5.80444550e+08  7.52636495e-15  5.40721707e+02  7.66038927e-14  3.43189625e+01  3.96305740e-13  5.02073419e+00  1.58522319e-12  5.02073490e+00  1.00093026e-09  1.82036548e+00 
 6.07938580e+08  7.52636910e-15  5.16271778e+02  7.65975978e-14  3.27668911e+01  3.94844682e-13  4.79367146e+00  1.57937893e-12  4.79367214e+00  1.00105946e-09  1.90634473e+00 
 6.36734925e+08  7.52637242e-15  4.92926152e+02  7.65906923e-14  3.12850190e+01  3.93254272e-13  4.57687766e+00  1.57301728e-12  4.57687821e+00  1.00120122e-09  1.99635988e+00 
 6.66895272e+08  7.52637494e-15  4.70636228e+02  7.65831174e-14  2.98701545e+01  3.91524298e-13  4.36988835e+00  1.56609736e-12  4.36988883e+00  1.00135677e-09  2.09059664e+00 
 6.98484230e+08  7.52637667e-15  4.49348455e+02  7.65748087e-14  2.85192747e+01  3.89643976e-13  4.17226016e+00  1.55857606e-12  4.17226060e+00  1.00152747e-09  2.18924870e+00 
 7.31569468e+08  7.52637765e-15  4.29029160e+02  7.65656953e-14  2.72294950e+01  3.87601968e-13  3.98356973e+00  1.55040801e-12  3.98357010e+00  1.00171479e-09  2.29251798e+00 
 7.66221861e+08  7.52637787e-15  4.09628771e+02  7.65556998e-14  2.59980424e+01  3.85386405e-13  3.80341275e+00  1.54154575e-12  3.80341308e+00  1.00192035e-09  2.40061489e+00 
 8.02515641e+08  7.52637733e-15  3.91100480e+02  7.65447371e-14  2.48222843e+01  3.82984931e-13  3.63140345e+00  1.53193984e-12  3.63140371e+00  1.00214595e-09  2.51375859e+00 
 8.40528555e+08  7.52637604e-15  3.73414908e+02  7.65327143e-14  2.36996945e+01  3.80384756e-13  3.46717320e+00  1.52153913e-12  3.46717346e+00  1.00239354e-09  2.63217719e+00 
 8.80342035e+08  7.52637397e-15  3.56526363e+02  7.65195292e-14  2.26278767e+01  3.77572728e-13  3.31037025e+00  1.51029101e-12  3.31037050e+00  1.00266528e-09  2.75610798e+00 
 9.22041367e+08  7.52637112e-15  3.40403450e+02  7.65050700e-14  2.16045319e+01  3.74535431e-13  3.16065878e+00  1.49814181e-12  3.16065897e+00  1.00296355e-09  2.88579760e+00 
 9.65715880e+08  7.52636745e-15  3.25007498e+02  7.64892144e-14  2.06274652e+01  3.71259294e-13  3.01771795e+00  1.48503726e-12  3.01771811e+00  1.00329094e-09  3.02150224e+00 
 1.01145913e+09  7.52636294e-15  3.10309718e+02  7.64718282e-14  1.96945908e+01  3.67730737e-13  2.88124166e+00  1.47092302e-12  2.88124180e+00  1.00365033e-09  3.16348776e+00 
 1.05936911e+09  7.52635755e-15  2.96276046e+02  7.64527646e-14  1.88039033e+01  3.63936337e-13  2.75093747e+00  1.45574542e-12  2.75093759e+00  1.00404487e-09  3.31202975e+00 
 1.10954846e+09  7.52635123e-15  2.82877010e+02  7.64318627e-14  1.79534956e+01  3.59863018e-13  2.62652632e+00  1.43945214e-12  2.62652642e+00  1.00447803e-09  3.46741361e+00 
 1.16210465e+09  7.52634393e-15  2.70084597e+02  7.64089466e-14  1.71415491e+01  3.55498278e-13  2.50774164e+00  1.42199317e-12  2.50774175e+00  1.00495362e-09  3.62993450e+00 
 1.21715029e+09  7.52633558e-15  2.57869621e+02  7.63838236e-14  1.63663238e+01  3.50830433e-13  2.39432901e+00  1.40332178e-12  2.39432910e+00  1.00547586e-09  3.79989726e+00 
 1.27480328e+09  7.52632611e-15  2.46207914e+02  7.63562829e-14  1.56261559e+01  3.45848897e-13  2.28604547e+00  1.38339564e-12  2.28604555e+00  1.00604936e-09  3.97761623e+00 
 1.33518714e+09  7.52631545e-15  2.35072604e+02  7.63260940e-14  1.49194632e+01  3.40544479e-13  2.18265905e+00  1.36217796e-12  2.18265913e+00  1.00667923e-09  4.16341492e+00 
 1.39843121e+09  7.52630350e-15  2.24441552e+02  7.62930045e-14  1.42447310e+01  3.34909697e-13  2.08394829e+00  1.33963883e-12  2.08394834e+00  1.00737110e-09  4.35762568e+00 
 1.46467097e+09  7.52629015e-15  2.14291373e+02  7.62567389e-14  1.36005130e+01  3.28939115e-13  1.98970171e+00  1.31575650e-12  1.98970176e+00  1.00813115e-09  4.56058905e+00 
