 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  3.14098444e-15  9.88199230e+00  2.41627386e-13  1.20550925e+01  2.26503037e-15  1.88798815e+01  2.06658928e-13  1.80638842e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  3.13806046e-15  9.43977293e+00  2.41467047e-13  1.15100163e+01  2.26462561e-15  1.80280696e+01  2.06597773e-13  1.72469851e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  3.13481898e-15  9.01700972e+00  2.41291363e-13  1.09895820e+01  2.26414050e-15  1.72145514e+01  2.06530689e-13  1.64670287e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  3.13123436e-15  8.61289556e+00  2.41098900e-13  1.04926767e+01  2.26357102e-15  1.64376264e+01  2.06457112e-13  1.57223448e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  3.12727849e-15  8.22665065e+00  2.40888094e-13  1.00182376e+01  2.26291242e-15  1.56956670e+01  2.06376426e-13  1.50113383e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  3.12292057e-15  7.85752245e+00  2.40657238e-13  9.56524973e+00  2.26215925e-15  1.49871158e+01  2.06287958e-13  1.43324867e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  3.11812697e-15  7.50478548e+00  2.40404478e-13  9.13274401e+00  2.26130525e-15  1.43104828e+01  2.06190969e-13  1.36843359e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  3.11286105e-15  7.16774100e+00  2.40127794e-13  8.71979500e+00  2.26034337e-15  1.36643427e+01  2.06084653e-13  1.30654976e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  3.10708299e-15  6.84571652e+00  2.39824990e-13  8.32551903e+00  2.25926565e-15  1.30473324e+01  2.05968131e-13  1.24746466e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  3.10074963e-15  6.53806541e+00  2.39493681e-13  7.94907231e+00  2.25806325e-15  1.24581485e+01  2.05840440e-13  1.19105173e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  3.09381425e-15  6.24416621e+00  2.39131280e-13  7.58964914e+00  2.25672628e-15  1.18955449e+01  2.05700529e-13  1.13719013e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  3.08622647e-15  5.96342211e+00  2.38734982e-13  7.24648019e+00  2.25524383e-15  1.13583302e+01  2.05547252e-13  1.08576450e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  3.07793202e-15  5.69526024e+00  2.38301753e-13  6.91883087e+00  2.25360382e-15  1.08453657e+01  2.05379359e-13  1.03666468e+01  9.99719747e-10  5.47156592e-01 
