 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  2.60249788e-15  1.22079122e+01  2.46632616e-13  1.18058037e+01  2.32430253e-15  1.83901146e+01  2.12130130e-13  1.75943610e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  2.60098646e-15  1.16572677e+01  2.46461992e-13  1.12719309e+01  2.32384652e-15  1.75603629e+01  2.12063954e-13  1.67986956e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  2.59928975e-15  1.11313951e+01  2.46275054e-13  1.07622027e+01  2.32330526e-15  1.67679198e+01  2.11991368e-13  1.60390129e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  2.59739401e-15  1.06291938e+01  2.46070277e-13  1.02755272e+01  2.32267424e-15  1.60111278e+01  2.11911763e-13  1.53136859e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  2.59528395e-15  1.01496104e+01  2.45846000e-13  9.81086231e+00  2.32194823e-15  1.52884005e+01  2.11824472e-13  1.46211611e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  2.59294265e-15  9.69163734e+00  2.45600415e-13  9.36721269e+00  2.32112120e-15  1.45982201e+01  2.11728768e-13  1.39599554e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  2.59035143e-15  9.25431060e+00  2.45331553e-13  8.94362817e+00  2.32018631e-15  1.39391345e+01  2.11623855e-13  1.33286526e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  2.58748973e-15  8.83670823e+00  2.45037271e-13  8.53920150e+00  2.31913584e-15  1.33097547e+01  2.11508862e-13  1.27259005e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  2.58433503e-15  8.43794862e+00  2.44715243e-13  8.15306647e+00  2.31796113e-15  1.27087524e+01  2.11382838e-13  1.21504082e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  2.58086267e-15  8.05718880e+00  2.44362941e-13  7.78439602e+00  2.31665253e-15  1.21348577e+01  2.11244745e-13  1.16009431e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  2.57704574e-15  7.69362293e+00  2.43977625e-13  7.43240048e+00  2.31519934e-15  1.15868562e+01  2.11093450e-13  1.10763282e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  2.57285495e-15  7.34648072e+00  2.43556327e-13  7.09632590e+00  2.31358969e-15  1.10635872e+01  2.10927714e-13  1.05754399e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  2.56825845e-15  7.01502593e+00  2.43095836e-13  6.77545242e+00  2.31181052e-15  1.05639413e+01  2.10746191e-13  1.00972053e+01  9.99719747e-10  5.47156592e-01 
