 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  6.24288935e-15  3.77699811e+03  6.14517036e-14  2.48394706e+02  3.21438210e-13  3.73201679e+01  1.28576044e-12  3.73204261e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.24311324e-15  3.60627465e+03  6.14518309e-14  2.37161749e+02  3.21416070e-13  3.56324058e+01  1.28567121e-12  3.56325787e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.24331733e-15  3.44323605e+03  6.14519291e-14  2.26434293e+02  3.21391746e-13  3.40209278e+01  1.28557330e-12  3.40211306e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.24350336e-15  3.28872620e+03  6.14519990e-14  2.16196895e+02  3.21365029e-13  3.24823766e+01  1.28546587e-12  3.24825200e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.24367295e-15  3.14033296e+03  6.14520411e-14  2.06418243e+02  3.21335692e-13  3.10133600e+01  1.28534801e-12  3.10134650e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.24382753e-15  2.99742276e+03  6.14520559e-14  1.97083701e+02  3.21303484e-13  2.96107895e+01  1.28521872e-12  2.96108997e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.24396843e-15  2.86213590e+03  6.14520434e-14  1.88171786e+02  3.21268132e-13  2.82716586e+01  1.28507689e-12  2.82717586e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.24409686e-15  2.73251760e+03  6.14520036e-14  1.79661926e+02  3.21229335e-13  2.69930978e+01  1.28492131e-12  2.69931718e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.24421393e-15  2.60930626e+03  6.14519362e-14  1.71536510e+02  3.21186761e-13  2.57723369e+01  1.28475067e-12  2.57724106e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.24432063e-15  2.49126270e+03  6.14518404e-14  1.63779149e+02  3.21140051e-13  2.46067957e+01  1.28456351e-12  2.46068446e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.24441788e-15  2.37837526e+03  6.14517156e-14  1.56371699e+02  3.21088807e-13  2.34939586e+01  1.28435824e-12  2.34940098e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.24450652e-15  2.27114579e+03  6.14515607e-14  1.49300462e+02  3.21032594e-13  2.24314426e+01  1.28413312e-12  2.24314933e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.24458730e-15  2.16821097e+03  6.14513742e-14  1.42548313e+02  3.20970935e-13  2.14169925e+01  1.28388624e-12  2.14170312e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.24466092e-15  2.07016984e+03  6.14511547e-14  1.36101929e+02  3.20903310e-13  2.04484119e+01  1.28361552e-12  2.04484461e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.24472800e-15  1.97655286e+03  6.14509002e-14  1.29946686e+02  3.20829145e-13  1.95236358e+01  1.28331866e-12  1.95236643e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.24478913e-15  1.88717825e+03  6.14506086e-14  1.24070109e+02  3.20747815e-13  1.86406815e+01  1.28299316e-12  1.86407094e+01  9.99758080e-10  6.28625312e-01 
