 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.53202570e-15  4.27191747e+03  5.30097823e-14  2.88071057e+02  2.71390802e-13  4.42166061e+01  1.08557081e-12  4.42169365e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.53224960e-15  4.07892235e+03  5.30099443e-14  2.75043838e+02  2.71377572e-13  4.22169317e+01  1.08551722e-12  4.22171921e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.53245371e-15  3.89250618e+03  5.30100805e-14  2.62604918e+02  2.71363019e-13  4.03076832e+01  1.08545839e-12  4.03079493e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.53263976e-15  3.71724523e+03  5.30101921e-14  2.50733097e+02  2.71347019e-13  3.84847674e+01  1.08539383e-12  3.84850094e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.53280936e-15  3.54976866e+03  5.30102799e-14  2.39394252e+02  2.71329434e-13  3.67443358e+01  1.08532298e-12  3.67445045e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.53296396e-15  3.38970491e+03  5.30103449e-14  2.28568318e+02  2.71310116e-13  3.50825800e+01  1.08524525e-12  3.50827503e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.53310488e-15  3.23613511e+03  5.30103874e-14  2.18229616e+02  2.71288899e-13  3.34959980e+01  1.08515996e-12  3.34961009e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.53323334e-15  3.09001158e+03  5.30104080e-14  2.08363230e+02  2.71265601e-13  3.19811467e+01  1.08506638e-12  3.19812758e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.53335043e-15  2.95110491e+03  5.30104067e-14  1.98940744e+02  2.71240026e-13  3.05348321e+01  1.08496373e-12  3.05349306e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.53345715e-15  2.81705418e+03  5.30103837e-14  1.89942778e+02  2.71211954e-13  2.91539068e+01  1.08485112e-12  2.91539941e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.53355444e-15  2.68966195e+03  5.30103385e-14  1.81352411e+02  2.71181146e-13  2.78354142e+01  1.08472760e-12  2.78355058e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.53364311e-15  2.56827275e+03  5.30102710e-14  1.73152281e+02  2.71147341e-13  2.65765728e+01  1.08459211e-12  2.65766367e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.53372392e-15  2.45208268e+03  5.30101804e-14  1.65322713e+02  2.71110251e-13  2.53746545e+01  1.08444351e-12  2.53747170e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.53379758e-15  2.34128914e+03  5.30100661e-14  1.57845131e+02  2.71069560e-13  2.42270907e+01  1.08428052e-12  2.42271357e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.53386471e-15  2.23535053e+03  5.30099270e-14  1.50707007e+02  2.71024924e-13  2.31314320e+01  1.08410178e-12  2.31314711e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.53392588e-15  2.13445621e+03  5.30097619e-14  1.43891578e+02  2.70975964e-13  2.20853101e+01  1.08390575e-12  2.20853468e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.53398163e-15  2.03801756e+03  5.30095695e-14  1.37384052e+02  2.70922265e-13  2.10865115e+01  1.08369079e-12  2.10865400e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.53403243e-15  1.94557309e+03  5.30093481e-14  1.31170607e+02  2.70863372e-13  2.01328785e+01  1.08345506e-12  2.01329093e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  5.53407871e-15  1.85766205e+03  5.30090958e-14  1.25238682e+02  2.70798788e-13  1.92223758e+01  1.08319659e-12  1.92223987e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  5.53412088e-15  1.77369903e+03  5.30088104e-14  1.19574985e+02  2.70727968e-13  1.83530459e+01  1.08291318e-12  1.83530647e+01  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  5.53415929e-15  1.69345631e+03  5.30084894e-14  1.14167176e+02  2.70650314e-13  1.75230315e+01  1.08260245e-12  1.75230472e+01  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  5.53419427e-15  1.61696967e+03  5.30081302e-14  1.09004088e+02  2.70565174e-13  1.67305544e+01  1.08226178e-12  1.67305718e+01  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  5.53422612e-15  1.54379833e+03  5.30077297e-14  1.04074450e+02  2.70471832e-13  1.59739148e+01  1.08188832e-12  1.59739284e+01  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  5.53425512e-15  1.47392576e+03  5.30072844e-14  9.93678330e+01  2.70369506e-13  1.52514971e+01  1.08147893e-12  1.52515105e+01  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  5.53428152e-15  1.40734858e+03  5.30067905e-14  9.48741020e+01  2.70257341e-13  1.45617514e+01  1.08103019e-12  1.45617632e+01  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  5.53430553e-15  1.34372504e+03  5.30062437e-14  9.05832019e+01  2.70134400e-13  1.39031965e+01  1.08053835e-12  1.39032046e+01  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  5.53432738e-15  1.28295255e+03  5.30056395e-14  8.64866518e+01  2.69999660e-13  1.32744264e+01  1.07999933e-12  1.32744355e+01  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  5.53434723e-15  1.22487092e+03  5.30049725e-14  8.25753278e+01  2.69852005e-13  1.26740898e+01  1.07940864e-12  1.26740974e+01  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  5.53436527e-15  1.16946435e+03  5.30042372e-14  7.88409777e+01  2.69690211e-13  1.21009052e+01  1.07876142e-12  1.21009119e+01  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  5.53438165e-15  1.11661260e+03  5.30034272e-14  7.52753816e+01  2.69512948e-13  1.15536425e+01  1.07805231e-12  1.15536485e+01  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  5.53439651e-15  1.06612307e+03  5.30025355e-14  7.18711194e+01  2.69318758e-13  1.10311316e+01  1.07727550e-12  1.10311367e+01  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  5.53440998e-15  1.01790666e+03  5.30015545e-14  6.86206934e+01  2.69106055e-13  1.05322472e+01  1.07642465e-12  1.05322514e+01  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  5.53442216e-15  9.71854065e+02  5.30004759e-14  6.55173719e+01  2.68873108e-13  1.00559264e+01  1.07549282e-12  1.00559305e+01  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  5.53443318e-15  9.27915339e+02  5.29992904e-14  6.25543779e+01  2.68618031e-13  9.60114780e+00  1.07447248e-12  9.60115084e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  5.53444311e-15  8.85953203e+02  5.29979878e-14  5.97253318e+01  2.68338771e-13  9.16693675e+00  1.07335541e-12  9.16693940e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  5.53445205e-15  8.45887079e+02  5.29965571e-14  5.70242540e+01  2.68033095e-13  8.75236144e+00  1.07213268e-12  8.75236404e+00  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  5.53446008e-15  8.07637600e+02  5.29949859e-14  5.44453709e+01  2.67698573e-13  8.35653616e+00  1.07079456e-12  8.35653821e+00  1.00070521e-09  1.65981022e+00 
 5.54193938e+08  5.53446725e-15  7.71106543e+02  5.29932607e-14  5.19830791e+01  2.67332567e-13  7.97861216e+00  1.06933051e-12  7.97861379e+00  1.00081252e-09  1.73824415e+00 
 5.80444550e+08  5.53447364e-15  7.36240115e+02  5.29913670e-14  4.96321511e+01  2.66932214e-13  7.61777969e+00  1.06772908e-12  7.61778116e+00  1.00093026e-09  1.82036548e+00 
 6.07938580e+08  5.53447929e-15  7.02950355e+02  5.29892884e-14  4.73875350e+01  2.66494412e-13  7.27326557e+00  1.06597785e-12  7.27326693e+00  1.00105946e-09  1.90634473e+00 
 6.36734925e+08  5.53448427e-15  6.71159994e+02  5.29870071e-14  4.52444514e+01  2.66015800e-13  6.94433217e+00  1.06406339e-12  6.94433364e+00  1.00120122e-09  1.99635988e+00 
 6.66895272e+08  5.53448860e-15  6.40798949e+02  5.29845038e-14  4.31982699e+01  2.65492746e-13  6.63027476e+00  1.06197115e-12  6.63027576e+00  1.00135677e-09  2.09059664e+00 
 6.98484230e+08  5.53449233e-15  6.11826943e+02  5.29817569e-14  4.12446386e+01  2.64921326e-13  6.33042063e+00  1.05968546e-12  6.33042150e+00  1.00152747e-09  2.18924870e+00 
 7.31569468e+08  5.53449548e-15  5.84158658e+02  5.29787430e-14  3.93793661e+01  2.64297313e-13  6.04412748e+00  1.05718940e-12  6.04412826e+00  1.00171479e-09  2.29251798e+00 
 7.66221861e+08  5.53449809e-15  5.57736215e+02  5.29754364e-14  3.75984178e+01  2.63616157e-13  5.77078177e+00  1.05446476e-12  5.77078258e+00  1.00192035e-09  2.40061489e+00 
 8.02515641e+08  5.53450018e-15  5.32511427e+02  5.29718088e-14  3.58980442e+01  2.62872969e-13  5.50979822e+00  1.05149199e-12  5.50979877e+00  1.00214595e-09  2.51375859e+00 
 8.40528555e+08  5.53450177e-15  5.08431719e+02  5.29678293e-14  3.42745534e+01  2.62062512e-13  5.26061767e+00  1.04825015e-12  5.26061823e+00  1.00239354e-09  2.63217719e+00 
 8.80342035e+08  5.53450286e-15  4.85439719e+02  5.29634639e-14  3.27244813e+01  2.61179186e-13  5.02270623e+00  1.04471684e-12  5.02270666e+00  1.00266528e-09  2.75610798e+00 
 9.22041367e+08  5.53450347e-15  4.63481560e+02  5.29586754e-14  3.12445222e+01  2.60217021e-13  4.79555435e+00  1.04086817e-12  4.79555481e+00  1.00296355e-09  2.88579760e+00 
 9.65715880e+08  5.53450361e-15  4.42525194e+02  5.29534230e-14  2.98314938e+01  2.59169667e-13  4.57867538e+00  1.03667875e-12  4.57867574e+00  1.00329094e-09  3.02150224e+00 
 1.01145913e+09  5.53450327e-15  4.22508558e+02  5.29476620e-14  2.84823642e+01  2.58030397e-13  4.37160476e+00  1.03212166e-12  4.37160506e+00  1.00365033e-09  3.16348776e+00 
 1.05936911e+09  5.53450245e-15  4.03401277e+02  5.29413432e-14  2.71942511e+01  2.56792107e-13  4.17389898e+00  1.02716850e-12  4.17389925e+00  1.00404487e-09  3.31202975e+00 
 1.10954846e+09  5.53450114e-15  3.85159530e+02  5.29344130e-14  2.59643872e+01  2.55447328e-13  3.98513438e+00  1.02178938e-12  3.98513461e+00  1.00447803e-09  3.46741361e+00 
 1.16210465e+09  5.53449935e-15  3.67739796e+02  5.29268124e-14  2.47901505e+01  2.53988243e-13  3.80490664e+00  1.01595303e-12  3.80490682e+00  1.00495362e-09  3.62993450e+00 
 1.21715029e+09  5.53449703e-15  3.51109352e+02  5.29184769e-14  2.36690204e+01  2.52406709e-13  3.63282973e+00  1.00962689e-12  3.63282989e+00  1.00547586e-09  3.79989726e+00 
 1.27480328e+09  5.53449419e-15  3.35231339e+02  5.29093357e-14  2.25985857e+01  2.50694302e-13  3.46853500e+00  1.00277725e-12  3.46853514e+00  1.00604936e-09  3.97761623e+00 
 1.33518714e+09  5.53449079e-15  3.20069981e+02  5.28993115e-14  2.15765681e+01  2.48842354e-13  3.31167049e+00  9.95369461e-13  3.31167061e+00  1.00667923e-09  4.16341492e+00 
 1.39843121e+09  5.53448681e-15  3.05594861e+02  5.28883192e-14  2.06007650e+01  2.46842027e-13  3.16190017e+00  9.87368145e-13  3.16190030e+00  1.00737110e-09  4.35762568e+00 
 1.46467097e+09  5.53448221e-15  2.91773972e+02  5.28762659e-14  1.96690962e+01  2.44684376e-13  3.01890322e+00  9.78737539e-13  3.01890332e+00  1.00813115e-09  4.56058905e+00 
 1.53404832e+09  5.53447694e-15  2.78579132e+02  5.28630498e-14  1.87795616e+01  2.42360453e-13  2.88237330e+00  9.69441844e-13  2.88237340e+00  1.00896624e-09  4.77265312e+00 
 1.60671189e+09  5.53447098e-15  2.65979901e+02  5.28485594e-14  1.79302562e+01  2.39861409e-13  2.75201794e+00  9.59445667e-13  2.75201803e+00  1.00988390e-09  4.99417253e+00 
 1.68281732e+09  5.53446426e-15  2.53950996e+02  5.28326728e-14  1.71193620e+01  2.37178626e-13  2.62755792e+00  9.48714532e-13  2.62755799e+00  1.01089247e-09  5.22550735e+00 
 1.76252766e+09  5.53445673e-15  2.42466360e+02  5.28152563e-14  1.63451382e+01  2.34303860e-13  2.50872661e+00  9.37215464e-13  2.50872668e+00  1.01200117e-09  5.46702164e+00 
 1.84601365e+09  5.53444832e-15  2.31500530e+02  5.27961639e-14  1.56059287e+01  2.31229406e-13  2.39526944e+00  9.24917644e-13  2.39526949e+00  1.01322020e-09  5.71908164e+00 
 1.93345414e+09  5.53443896e-15  2.21030764e+02  5.27752356e-14  1.49001511e+01  2.27948280e-13  2.28694337e+00  9.11793140e-13  2.28694342e+00  1.01456082e-09  5.98205372e+00 
 2.02503643e+09  5.53442857e-15  2.11034995e+02  5.27522967e-14  1.42262916e+01  2.24454417e-13  2.18351634e+00  8.97817686e-13  2.18351639e+00  1.01603553e-09  6.25630175e+00 
 2.12095673e+09  5.53441706e-15  2.01490947e+02  5.27271561e-14  1.35829078e+01  2.20742876e-13  2.08476681e+00  8.82971522e-13  2.08476685e+00  1.01765820e-09  6.54218403e+00 
 2.22142050e+09  5.53440434e-15  1.92378507e+02  5.26996048e-14  1.29686204e+01  2.16810062e-13  1.99048323e+00  8.67240265e-13  1.99048326e+00  1.01944420e-09  6.84004968e+00 
 2.32664295e+09  5.53439029e-15  1.83678089e+02  5.26694147e-14  1.23821147e+01  2.12653942e-13  1.90046362e+00  8.50615783e-13  1.90046365e+00  1.02141063e-09  7.15023426e+00 
 2.43684950e+09  5.53437479e-15  1.75371295e+02  5.26363365e-14  1.18221340e+01  2.08274264e-13  1.81451515e+00  8.33097070e-13  1.81451518e+00  1.02357649e-09  7.47305466e+00 
 2.55227623e+09  5.53435772e-15  1.67440048e+02  5.26000981e-14  1.12874776e+01  2.03672762e-13  1.73245370e+00  8.14691060e-13  1.73245373e+00  1.02596298e-09  7.80880307e+00 
 2.67317039e+09  5.53433891e-15  1.59867650e+02  5.25604026e-14  1.07770014e+01  1.98853341e-13  1.65410349e+00  7.95413376e-13  1.65410351e+00  1.02859374e-09  8.15773991e+00 
 2.79979097e+09  5.53431823e-15  1.52637695e+02  5.25169263e-14  1.02896116e+01  1.93822236e-13  1.57929666e+00  7.75288953e-13  1.57929668e+00  1.03149517e-09  8.52008549e+00 
