 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.54203986e-15  4.26415969e+03  5.32014878e-14  2.87034477e+02  2.72803943e-13  4.39871201e+01  1.09122337e-12  4.39874469e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.54226376e-15  4.07281791e+03  5.32016491e-14  2.74052701e+02  2.72790502e-13  4.19978136e+01  1.09116893e-12  4.19981115e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.54246786e-15  3.88602276e+03  5.32017846e-14  2.61656900e+02  2.72775717e-13  4.00985390e+01  1.09110918e-12  4.00987399e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.54265392e-15  3.71062451e+03  5.32018953e-14  2.49823613e+02  2.72759462e-13  3.82851014e+01  1.09104361e-12  3.82853068e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.54282351e-15  3.54354540e+03  5.32019823e-14  2.38528866e+02  2.72741599e-13  3.65536866e+01  1.09097164e-12  3.65538654e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.54297811e-15  3.38423178e+03  5.32020462e-14  2.27741569e+02  2.72721975e-13  3.49005500e+01  1.09089268e-12  3.49006954e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.54311904e-15  3.23111290e+03  5.32020877e-14  2.17442386e+02  2.72700422e-13  3.33221982e+01  1.09080605e-12  3.33223337e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.54324749e-15  3.08568142e+03  5.32021071e-14  2.07609654e+02  2.72676757e-13  3.18152053e+01  1.09071100e-12  3.18153251e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.54336458e-15  2.94564937e+03  5.32021046e-14  1.98220548e+02  2.72650778e-13  3.03763908e+01  1.09060673e-12  3.03764918e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.54347131e-15  2.81139510e+03  5.32020801e-14  1.89257566e+02  2.72622263e-13  2.90026176e+01  1.09049236e-12  2.90027054e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.54356859e-15  2.68486739e+03  5.32020334e-14  1.80698517e+02  2.72590970e-13  2.76909836e+01  1.09036689e-12  2.76910639e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.54365726e-15  2.56373290e+03  5.32019641e-14  1.72527193e+02  2.72556633e-13  2.64386726e+01  1.09022928e-12  2.64387381e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.54373808e-15  2.44773556e+03  5.32018717e-14  1.64723539e+02  2.72518960e-13  2.52429873e+01  1.09007834e-12  2.52430462e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.54381173e-15  2.33699791e+03  5.32017553e-14  1.57274172e+02  2.72477630e-13  2.41013895e+01  1.08991280e-12  2.41014416e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.54387886e-15  2.23120586e+03  5.32016140e-14  1.50162053e+02  2.72432292e-13  2.30114028e+01  1.08973125e-12  2.30114460e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.54394004e-15  2.13037288e+03  5.32014464e-14  1.43370549e+02  2.72382563e-13  2.19707158e+01  1.08953215e-12  2.19707547e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.54399578e-15  2.03407828e+03  5.32012513e-14  1.36887044e+02  2.72328021e-13  2.09770972e+01  1.08931381e-12  2.09771338e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.54404658e-15  1.94195047e+03  5.32010269e-14  1.30696712e+02  2.72268204e-13  2.00284125e+01  1.08907439e-12  2.00284430e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  5.54409286e-15  1.85421829e+03  5.32007713e-14  1.24786097e+02  2.72202607e-13  1.91226361e+01  1.08881186e-12  1.91226541e+01  9.99808685e-10  7.22215418e-01 
