 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  2.74311836e-15  1.15150245e+01  2.53922693e-13  1.14589972e+01  2.40025892e-15  1.77864022e+01  2.19273178e-13  1.70152959e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  2.74129236e-15  1.09962390e+01  2.53736311e-13  1.09408154e+01  2.39973212e-15  1.69838491e+01  2.19200032e-13  1.62458185e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  2.73925146e-15  1.05007183e+01  2.53532130e-13  1.04460676e+01  2.39911329e-15  1.62173896e+01  2.19119807e-13  1.55111396e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  2.73697923e-15  1.00274386e+01  2.53308489e-13  9.97369454e+00  2.39839729e-15  1.54854193e+01  2.19031833e-13  1.48096857e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  2.73445746e-15  9.57541891e+00  2.53063583e-13  9.52268455e+00  2.39757818e-15  1.47864027e+01  2.18935375e-13  1.41399546e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  2.73166607e-15  9.14371939e+00  2.52795443e-13  9.09207183e+00  2.39664917e-15  1.41188708e+01  2.18829629e-13  1.35005118e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  2.72858295e-15  8.73144016e+00  2.52501926e-13  8.68093417e+00  2.39560260e-15  1.34814182e+01  2.18713719e-13  1.28899879e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  2.72518388e-15  8.33771969e+00  2.52180707e-13  8.28839109e+00  2.39442983e-15  1.28727009e+01  2.18586684e-13  1.23070751e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  2.72144235e-15  7.96173338e+00  2.51829257e-13  7.91360189e+00  2.39312123e-15  1.22914336e+01  2.18447476e-13  1.17505250e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  2.71732942e-15  7.60269222e+00  2.51444834e-13  7.55576387e+00  2.39166607e-15  1.17363873e+01  2.18294952e-13  1.12191455e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  2.71281361e-15  7.25984134e+00  2.51024466e-13  7.21411064e+00  2.39005247e-15  1.12063873e+01  2.18127863e-13  1.07117984e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  2.70786069e-15  6.93245870e+00  2.50564936e-13  6.88791043e+00  2.38826733e-15  1.07003105e+01  2.17944849e-13  1.02273971e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  2.70243357e-15  6.61985381e+00  2.50062767e-13  6.57646460e+00  2.38629618e-15  1.02170834e+01  2.17744425e-13  9.76490400e+00  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  2.69649214e-15  6.32136641e+00  2.49514206e-13  6.27910606e+00  2.38412317e-15  9.75568025e+00  2.17524976e-13  9.32332840e+00  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  2.68999311e-15  6.03636527e+00  2.48915210e-13  5.99519790e+00  2.38173090e-15  9.31512074e+00  2.17284743e-13  8.90172446e+00  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  2.68288988e-15  5.76424696e+00  2.48261429e-13  5.72413202e+00  2.37910033e-15  8.89446815e+00  2.17021814e-13  8.49918912e+00  9.99758080e-10  6.28625312e-01 
