 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  7.46217050e-15  3.15109549e+03  7.59311084e-14  2.00913535e+02  4.07198907e-13  2.94432343e+01  1.62880323e-12  2.94433671e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  7.46239436e-15  3.00872950e+03  7.59311499e-14  1.91827656e+02  4.07153636e-13  2.81116855e+01  1.62862147e-12  2.81117877e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  7.46259842e-15  2.87297787e+03  7.59311539e-14  1.83152218e+02  4.07103946e-13  2.68403357e+01  1.62842210e-12  2.68404538e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  7.46278442e-15  2.74203805e+03  7.59311205e-14  1.74870117e+02  4.07049413e-13  2.56265008e+01  1.62820341e-12  2.56265842e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  7.46295396e-15  2.61877598e+03  7.59310493e-14  1.66962197e+02  4.06989573e-13  2.44675575e+01  1.62796354e-12  2.44676426e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  7.46310849e-15  2.50003582e+03  7.59309398e-14  1.59410860e+02  4.06923920e-13  2.33610191e+01  1.62770046e-12  2.33610931e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  7.46324935e-15  2.38686618e+03  7.59307911e-14  1.52201245e+02  4.06851896e-13  2.23045227e+01  1.62741194e-12  2.23045791e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  7.46337773e-15  2.27934763e+03  7.59306017e-14  1.45318782e+02  4.06772890e-13  2.12958030e+01  1.62709553e-12  2.12958544e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  7.46349474e-15  2.17624990e+03  7.59303702e-14  1.38746951e+02  4.06686233e-13  2.03327082e+01  1.62674856e-12  2.03327550e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  7.46360137e-15  2.07791085e+03  7.59300945e-14  1.32471517e+02  4.06591194e-13  1.94131684e+01  1.62636808e-12  1.94132051e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  7.46369855e-15  1.98371177e+03  7.59297723e-14  1.26481271e+02  4.06486970e-13  1.85352110e+01  1.62595089e-12  1.85352453e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  7.46378711e-15  1.89419747e+03  7.59294007e-14  1.20761127e+02  4.06372681e-13  1.76969591e+01  1.62549347e-12  1.76969893e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  7.46386781e-15  1.80849315e+03  7.59289768e-14  1.15299920e+02  4.06247367e-13  1.68966168e+01  1.62499197e-12  1.68966420e+01  9.99719747e-10  5.47156592e-01 
