 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  6.61576143e-15  3.56127865e+03  6.59548135e-14  2.31386795e+02  3.48406245e-13  3.44254094e+01  1.39363258e-12  3.44256094e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.61598531e-15  3.40053820e+03  6.59549180e-14  2.20923511e+02  3.48377985e-13  3.28685330e+01  1.39351887e-12  3.28687114e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.61618939e-15  3.24636722e+03  6.59549911e-14  2.10934000e+02  3.48346949e-13  3.13820634e+01  1.39339411e-12  3.13822168e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.61637542e-15  3.09969698e+03  6.59550334e-14  2.01393559e+02  3.48312871e-13  2.99628326e+01  1.39325724e-12  2.99629515e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.61654499e-15  2.95947760e+03  6.59550454e-14  1.92286789e+02  3.48275461e-13  2.86077656e+01  1.39310709e-12  2.86078847e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.61669956e-15  2.82569539e+03  6.59550270e-14  1.83592231e+02  3.48234402e-13  2.73140029e+01  1.39294239e-12  2.73140930e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.61684045e-15  2.69838432e+03  6.59549782e-14  1.75288797e+02  3.48189344e-13  2.60787363e+01  1.39276174e-12  2.60788105e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.61696887e-15  2.57586659e+03  6.59548986e-14  1.67361692e+02  3.48139903e-13  2.48993363e+01  1.39256359e-12  2.48994140e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.61708592e-15  2.45971143e+03  6.59547874e-14  1.59793146e+02  3.48085659e-13  2.37732750e+01  1.39234626e-12  2.37733303e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.61719260e-15  2.34850257e+03  6.59546437e-14  1.52566197e+02  3.48026154e-13  2.26981247e+01  1.39210792e-12  2.26981757e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.61728984e-15  2.24218836e+03  6.59544663e-14  1.45666563e+02  3.47960881e-13  2.16716121e+01  1.39184653e-12  2.16716571e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.61737845e-15  2.14094216e+03  6.59542536e-14  1.39078901e+02  3.47889288e-13  2.06915224e+01  1.39155990e-12  2.06915637e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.61745921e-15  2.04409137e+03  6.59540039e-14  1.32789670e+02  3.47810770e-13  1.97557489e+01  1.39124558e-12  1.97557849e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.61753280e-15  1.95147395e+03  6.59537149e-14  1.26784136e+02  3.47724663e-13  1.88623024e+01  1.39090093e-12  1.88623313e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.61759986e-15  1.86344269e+03  6.59533842e-14  1.21050444e+02  3.47630241e-13  1.80092559e+01  1.39052304e-12  1.80092818e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.61766096e-15  1.77924638e+03  6.59530091e-14  1.15576307e+02  3.47526709e-13  1.71947883e+01  1.39010873e-12  1.71948093e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  6.61771662e-15  1.69853581e+03  6.59525862e-14  1.10349059e+02  3.47413196e-13  1.64171581e+01  1.38965451e-12  1.64171783e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  6.61776733e-15  1.62182523e+03  6.59521119e-14  1.05358738e+02  3.47288750e-13  1.56746935e+01  1.38915657e-12  1.56747113e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  6.61781351e-15  1.54849539e+03  6.59515822e-14  1.00594019e+02  3.47152328e-13  1.49658094e+01  1.38861075e-12  1.49658265e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  6.61785556e-15  1.47854875e+03  6.59509925e-14  9.60448576e+01  3.47002791e-13  1.42889802e+01  1.38801247e-12  1.42889943e+01  9.99828928e-10  7.56409403e-01 
