 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  3.82619646e-15  8.00049277e+00  3.52900981e-13  8.16522576e+00  3.38136380e-15  1.23885303e+01  3.13035287e-13  1.18536900e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  3.82058003e-15  7.64005898e+00  3.52394780e-13  7.79600269e+00  3.37940747e-15  1.18293758e+01  3.12820481e-13  1.13176492e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  3.81439864e-15  7.29581346e+00  3.51841122e-13  7.44347806e+00  3.37722334e-15  1.12954209e+01  3.12585143e-13  1.08058514e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  3.80760536e-15  6.96704184e+00  3.51235741e-13  7.10689697e+00  3.37479366e-15  1.07855401e+01  3.12327356e-13  1.03172005e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  3.80014919e-15  6.65305989e+00  3.50574019e-13  6.78553862e+00  3.37209879e-15  1.02986570e+01  3.12045027e-13  9.85064971e+00  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  3.79197485e-15  6.35321247e+00  3.49850968e-13  6.47871480e+00  3.36911705e-15  9.83374253e+00  3.11735877e-13  9.40519987e+00  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  3.78302257e-15  6.06687245e+00  3.49061205e-13  6.18576841e+00  3.36582459e-15  9.38981266e+00  3.11397427e-13  8.97989682e+00  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  3.77322790e-15  5.79343968e+00  3.48198936e-13  5.90607206e+00  3.36219522e-15  8.96592690e+00  3.11026978e-13  8.57382960e+00  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  3.76252148e-15  5.53233994e+00  3.47257928e-13  5.63902671e+00  3.35820028e-15  8.56118630e+00  3.10621600e-13  8.18612843e+00  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  3.75082894e-15  5.28302392e+00  3.46231499e-13  5.38406041e+00  3.35380845e-15  8.17473175e+00  3.10178110e-13  7.81596286e+00  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  3.73807073e-15  5.04496626e+00  3.45112495e-13  5.14062709e+00  3.34898558e-15  7.80574227e+00  3.09693054e-13  7.46254000e+00  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  3.72416202e-15  4.81766460e+00  3.43893278e-13  4.90820533e+00  3.34369454e-15  7.45343337e+00  3.09162695e-13  7.12510281e+00  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  3.70901268e-15  4.60063862e+00  3.42565719e-13  4.68629733e+00  3.33789497e-15  7.11705555e+00  3.08582984e-13  6.80292849e+00  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  3.69252729e-15  4.39342914e+00  3.41121187e-13  4.47442778e+00  3.33154315e-15  6.79589271e+00  3.07949552e-13  6.49532692e+00  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  3.67460525e-15  4.19559728e+00  3.39550560e-13  4.27214288e+00  3.32459178e-15  6.48926077e+00  3.07257680e-13  6.20163920e+00  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  3.65514099e-15  4.00672358e+00  3.37844223e-13  4.07900934e+00  3.31698981e-15  6.19650624e+00  3.06502289e-13  5.92123623e+00  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  3.63402424e-15  3.82640721e+00  3.35992095e-13  3.89461346e+00  3.30868224e-15  5.91700490e+00  3.05677919e-13  5.65351735e+00  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  3.61114055e-15  3.65426516e+00  3.33983654e-13  3.71856029e+00  3.29960997e-15  5.65016054e+00  3.04778710e-13  5.39790908e+00  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  3.58637183e-15  3.48993153e+00  3.31807980e-13  3.55047270e+00  3.28970965e-15  5.39540367e+00  3.03798392e-13  5.15386387e+00  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  3.55959718e-15  3.33305671e+00  3.29453810e-13  3.38999064e+00  3.27891352e-15  5.15219042e+00  3.02730270e-13  4.92085895e+00  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  3.53069380e-15  3.18330680e+00  3.26909614e-13  3.23677037e+00  3.26714940e-15  4.92000136e+00  3.01567217e-13  4.69839517e+00  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  3.49953823e-15  3.04036282e+00  3.24163682e-13  3.09048365e+00  3.25434053e-15  4.69834043e+00  3.00301666e-13  4.48599598e+00  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  3.46600777e-15  2.90392014e+00  3.21204242e-13  2.95081714e+00  3.24040567e-15  4.48673389e+00  2.98925616e-13  4.28320638e+00  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  3.42998209e-15  2.77368782e+00  3.18019591e-13  2.81747166e+00  3.22525911e-15  4.28472936e+00  2.97430637e-13  4.08959194e+00  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  3.39134521e-15  2.64938803e+00  3.14598249e-13  2.69016155e+00  3.20881086e-15  4.09189484e+00  2.95807886e-13  3.90473790e+00  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  3.34998765e-15  2.53075547e+00  3.10929149e-13  2.56861410e+00  3.19096684e-15  3.90781783e+00  2.94048132e-13  3.72824825e+00  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  3.30580881e-15  2.41753683e+00  3.07001834e-13  2.45256893e+00  3.17162929e-15  3.73210440e+00  2.92141795e-13  3.55974488e+00  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  3.25871963e-15  2.30949024e+00  3.02806693e-13  2.34177745e+00  3.15069720e-15  3.56437842e+00  2.90078989e-13  3.39886681e+00  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  3.20864544e-15  2.20638478e+00  2.98335206e-13  2.23600232e+00  3.12806699e-15  3.40428073e+00  2.87849592e-13  3.24526937e+00  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  3.15552886e-15  2.10800000e+00  2.93580214e-13  2.13501693e+00  3.10363322e-15  3.25146837e+00  2.85443323e-13  3.09862348e+00  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  3.09933286e-15  2.01412546e+00  2.88536201e-13  2.03860495e+00  3.07728963e-15  3.10561385e+00  2.82849841e-13  2.95861496e+00  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  3.04004376e-15  1.92456028e+00  2.83199583e-13  1.94655983e+00  3.04893026e-15  2.96640446e+00  2.80058859e-13  2.82494382e+00  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  2.97767416e-15  1.83911268e+00  2.77568994e-13  1.85868437e+00  3.01845079e-15  2.83354159e+00  2.77060285e-13  2.69732366e+00  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  2.91226558e-15  1.75759964e+00  2.71645565e-13  1.77479030e+00  2.98575016e-15  2.70674008e+00  2.73844380e-13  2.57548101e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  2.84389082e-15  1.67984645e+00  2.65433179e-13  1.69469787e+00  2.95073233e-15  2.58572760e+00  2.70401935e-13  2.45915478e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  2.77265574e-15  1.60568637e+00  2.58938696e-13  1.61823548e+00  2.91330823e-15  2.47024408e+00  2.66724476e-13  2.34809567e+00  1.00060740e-09  1.58490037e+00 
