 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  2.79669941e-15  1.12834293e+01  2.66444860e-13  1.09076932e+01  2.51510481e-15  1.69225609e+01  2.30336095e-13  1.61870070e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  2.79474487e-15  1.07743972e+01  2.66229180e-13  1.04144365e+01  2.51445932e-15  1.61589373e+01  2.30251185e-13  1.54549889e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  2.79256336e-15  1.02882827e+01  2.65992947e-13  9.94348769e+00  2.51371046e-15  1.54296673e+01  2.30158073e-13  1.47560754e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  2.79013736e-15  9.82406556e+00  2.65734252e-13  9.49383822e+00  2.51285201e-15  1.47332226e+01  2.30055979e-13  1.40887698e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  2.78744747e-15  9.38076964e+00  2.65451016e-13  9.06452503e+00  2.51187687e-15  1.40681407e+01  2.29944056e-13  1.34516428e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  2.78447234e-15  8.95746140e+00  2.65140979e-13  8.65462860e+00  2.51077698e-15  1.34330227e+01  2.29821373e-13  1.28433299e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  2.78118848e-15  8.55324797e+00  2.64801683e-13  8.26327101e+00  2.50954329e-15  1.28265303e+01  2.29686917e-13  1.22625281e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  2.77757018e-15  8.16727558e+00  2.64430460e-13  7.88961401e+00  2.50816565e-15  1.22473839e+01  2.29539576e-13  1.17079935e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  2.77358931e-15  7.79872796e+00  2.64024415e-13  7.53285729e+00  2.50663279e-15  1.16943597e+01  2.29378143e-13  1.11785384e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  2.76921524e-15  7.44682481e+00  2.63580410e-13  7.19223668e+00  2.50493220e-15  1.11662878e+01  2.29201295e-13  1.06730287e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  2.76441462e-15  7.11082026e+00  2.63095051e-13  6.86702260e+00  2.50305007e-15  1.06620497e+01  2.29007593e-13  1.01903817e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  2.75915125e-15  6.79000150e+00  2.62564667e-13  6.55651845e+00  2.50097117e-15  1.01805765e+01  2.28795466e-13  9.72956349e+00  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  2.75338596e-15  6.48368731e+00  2.61985298e-13  6.26005913e+00  2.49867878e-15  9.72084642e+00  2.28563206e-13  9.28958710e+00  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  2.74707640e-15  6.19122678e+00  2.61352678e-13  5.97700962e+00  2.49615457e-15  9.28188311e+00  2.28308953e-13  8.86951008e+00  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  2.74017691e-15  5.91199797e+00  2.60662216e-13  5.70676363e+00  2.49337847e-15  8.86275357e+00  2.28030684e-13  8.46843262e+00  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  2.73263839e-15  5.64540669e+00  2.59908988e-13  5.44874228e+00  2.49032856e-15  8.46256631e+00  2.27726200e-13  8.08549561e+00  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  2.72440817e-15  5.39088531e+00  2.59087718e-13  5.20239288e+00  2.48698097e-15  8.08046960e+00  2.27393116e-13  7.71987878e+00  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  2.71542992e-15  5.14789159e+00  2.58192773e-13  4.96718771e+00  2.48330969e-15  7.71564973e+00  2.27028847e-13  7.37079897e+00  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  2.70564354e-15  4.91590760e+00  2.57218149e-13  4.74262297e+00  2.47928650e-15  7.36732936e+00  2.26630591e-13  7.03750840e+00  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  2.69498515e-15  4.69443863e+00  2.56157471e-13  4.52821760e+00  2.47488076e-15  7.03476594e+00  2.26195318e-13  6.71929315e+00  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  2.68338709e-15  4.48301220e+00  2.55003989e-13  4.32351232e+00  2.47005933e-15  6.71725019e+00  2.25719758e-13  6.41547158e+00  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  2.67077794e-15  4.28117708e+00  2.53750589e-13  4.12806865e+00  2.46478638e-15  6.41410464e+00  2.25200380e-13  6.12539285e+00  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  2.65708271e-15  4.08850235e+00  2.52389798e-13  3.94146790e+00  2.45902329e-15  6.12468223e+00  2.24633387e-13  5.84843559e+00  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  2.64222298e-15  3.90457650e+00  2.50913809e-13  3.76331035e+00  2.45272849e-15  5.84836497e+00  2.24014698e-13  5.58400651e+00  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  2.62611722e-15  3.72900659e+00  2.49314506e-13  3.59321437e+00  2.44585734e-15  5.58456263e+00  2.23339937e-13  5.33153917e+00  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  2.60868122e-15  3.56141742e+00  2.47583509e-13  3.43081557e+00  2.43836204e-15  5.33271158e+00  2.22604424e-13  5.09049273e+00  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  2.58982856e-15  3.40145072e+00  2.45712218e-13  3.27576607e+00  2.43019151e-15  5.09227352e+00  2.21803164e-13  4.86035083e+00  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  2.56947130e-15  3.24876446e+00  2.43691885e-13  3.12773372e+00  2.42129137e-15  4.86273442e+00  2.20930846e-13  4.64062046e+00  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  2.54752078e-15  3.10303204e+00  2.41513691e-13  2.98640140e+00  2.41160387e-15  4.64360340e+00  2.19981835e-13  4.43083091e+00  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  2.52388862e-15  2.96394169e+00  2.39168841e-13  2.85146634e+00  2.40106790e-15  4.43441172e+00  2.18950180e-13  4.23053276e+00  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  2.49848783e-15  2.83119575e+00  2.36648683e-13  2.72263949e+00  2.38961908e-15  4.23471177e+00  2.17829616e-13  4.03929690e+00  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  2.47123414e-15  2.70451005e+00  2.33944832e-13  2.59964484e+00  2.37718989e-15  4.04407612e+00  2.16613580e-13  3.85671366e+00  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  2.44204755e-15  2.58361334e+00  2.31049328e-13  2.48221892e+00  2.36370980e-15  3.86209665e+00  2.15295231e-13  3.68239188e+00  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  2.41085394e-15  2.46824666e+00  2.27954797e-13  2.37011014e+00  2.34910563e-15  3.68838364e+00  2.13867479e-13  3.51595810e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  2.37758700e-15  2.35816281e+00  2.24654637e-13  2.26307832e+00  2.33330186e-15  3.52256493e+00  2.12323023e-13  3.35705575e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  2.34219014e-15  2.25312584e+00  2.21143217e-13  2.16089416e+00  2.31622115e-15  3.36428518e+00  2.10654402e-13  3.20534437e+00  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  2.30461864e-15  2.15291051e+00  2.17416085e-13  2.06333872e+00  2.29778494e-15  3.21320507e+00  2.08854055e-13  3.06049892e+00  1.00070521e-09  1.65981022e+00 
