 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  6.19272333e-15  3.80877173e+03  6.09005353e-14  2.50645582e+02  3.18340760e-13  3.76840484e+01  1.27337064e-12  3.76842571e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.19294722e-15  3.63570897e+03  6.09006652e-14  2.39312581e+02  3.18319261e-13  3.59798224e+01  1.27328397e-12  3.59800041e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.19315131e-15  3.47274799e+03  6.09007662e-14  2.28493443e+02  3.18295639e-13  3.43526589e+01  1.27318887e-12  3.43528244e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.19333734e-15  3.31482176e+03  6.09008392e-14  2.18158066e+02  3.18269693e-13  3.27990583e+01  1.27308453e-12  3.27992130e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.19350693e-15  3.16537193e+03  6.09008848e-14  2.08291846e+02  3.18241201e-13  3.13157446e+01  1.27297005e-12  3.13158737e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.19366151e-15  3.02207643e+03  6.09009033e-14  1.98872062e+02  3.18209921e-13  2.98994976e+01  1.27284447e-12  2.98995938e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.19380241e-15  2.88555311e+03  6.09008949e-14  1.89878483e+02  3.18175585e-13  2.85473092e+01  1.27270670e-12  2.85474028e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.19393085e-15  2.75505912e+03  6.09008596e-14  1.81292130e+02  3.18137902e-13  2.72562669e+01  1.27255558e-12  2.72563557e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.19404791e-15  2.63064885e+03  6.09007971e-14  1.73092508e+02  3.18096551e-13  2.60236161e+01  1.27238983e-12  2.60236806e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.19415462e-15  2.51177618e+03  6.09007068e-14  1.65265515e+02  3.18051181e-13  2.48466907e+01  1.27220803e-12  2.48467617e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.19425187e-15  2.39796842e+03  6.09005879e-14  1.57790939e+02  3.18001406e-13  2.37230194e+01  1.27200863e-12  2.37230683e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.19434051e-15  2.28966974e+03  6.09004394e-14  1.50655265e+02  3.17946803e-13  2.26501539e+01  1.27178996e-12  2.26502014e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.19442130e-15  2.18626213e+03  6.09002601e-14  1.43841911e+02  3.17886911e-13  2.16258031e+01  1.27155015e-12  2.16258445e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.19449492e-15  2.08729046e+03  6.09000485e-14  1.37337448e+02  3.17821222e-13  2.06477789e+01  1.27128717e-12  2.06478111e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.19456200e-15  1.99297728e+03  6.08998026e-14  1.31126386e+02  3.17749179e-13  1.97139887e+01  1.27099880e-12  1.97140196e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.19462314e-15  1.90267707e+03  6.08995204e-14  1.25196099e+02  3.17670176e-13  1.88224292e+01  1.27068260e-12  1.88224533e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  6.19467884e-15  1.81681187e+03  6.08991995e-14  1.19534287e+02  3.17583544e-13  1.79711905e+01  1.27033591e-12  1.79712153e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  6.19472958e-15  1.73446417e+03  6.08988371e-14  1.14128240e+02  3.17488556e-13  1.71584426e+01  1.26995580e-12  1.71584623e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  6.19477581e-15  1.65625101e+03  6.08984302e-14  1.08967199e+02  3.17384411e-13  1.63824527e+01  1.26953908e-12  1.63824736e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  6.19481791e-15  1.58139737e+03  6.08979752e-14  1.04039083e+02  3.17270237e-13  1.56415609e+01  1.26908226e-12  1.56415754e+01  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  6.19485625e-15  1.50981873e+03  6.08974682e-14  9.93340612e+01  3.17145077e-13  1.49341730e+01  1.26858150e-12  1.49341864e+01  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  6.19489115e-15  1.44154942e+03  6.08969049e-14  9.48416451e+01  3.17007886e-13  1.42587773e+01  1.26803263e-12  1.42587897e+01  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  6.19492292e-15  1.37630865e+03  6.08962805e-14  9.05525146e+01  3.16857520e-13  1.36139225e+01  1.26743107e-12  1.36139335e+01  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  6.19495183e-15  1.31410440e+03  6.08955896e-14  8.64572483e+01  3.16692730e-13  1.29982339e+01  1.26677182e-12  1.29982429e+01  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  6.19497813e-15  1.25471467e+03  6.08948263e-14  8.25472085e+01  3.16512151e-13  1.24103905e+01  1.26604943e-12  1.24103994e+01  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  6.19500203e-15  1.19791554e+03  6.08939841e-14  7.88140941e+01  3.16314291e-13  1.18491315e+01  1.26525792e-12  1.18491375e+01  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  6.19502375e-15  1.14374618e+03  6.08930557e-14  7.52497807e+01  3.16097523e-13  1.13132561e+01  1.26439078e-12  1.13132622e+01  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  6.19504347e-15  1.09204437e+03  6.08920332e-14  7.18465608e+01  3.15860071e-13  1.08016134e+01  1.26344091e-12  1.08016181e+01  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  6.19506137e-15  1.04265664e+03  6.08909078e-14  6.85974341e+01  3.15599998e-13  1.03131116e+01  1.26240056e-12  1.03131157e+01  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  6.19507759e-15  9.95508070e+02  6.08896700e-14  6.54951154e+01  3.15315192e-13  9.84670136e+00  1.26126129e-12  9.84670477e+00  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  6.19509227e-15  9.50487349e+02  6.08883091e-14  6.25330785e+01  3.15003354e-13  9.40138450e+00  1.26001389e-12  9.40138793e+00  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  6.19510554e-15  9.07467718e+02  6.08868134e-14  5.97050192e+01  3.14661980e-13  8.97620718e+00  1.25864835e-12  8.97621043e+00  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  6.19511752e-15  8.66450703e+02  6.08851702e-14  5.70048820e+01  3.14288348e-13  8.57025824e+00  1.25715379e-12  8.57026089e+00  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  6.19512830e-15  8.27252201e+02  6.08833653e-14  5.44268743e+01  3.13879499e-13  8.18266874e+00  1.25551835e-12  8.18267118e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  6.19513798e-15  7.89867693e+02  6.08813834e-14  5.19653987e+01  3.13432220e-13  7.81260760e+00  1.25372921e-12  7.81260964e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  6.19514664e-15  7.54143819e+02  6.08792075e-14  4.96152695e+01  3.12943026e-13  7.45928248e+00  1.25177240e-12  7.45928449e+00  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  6.19515436e-15  7.20037299e+02  6.08768190e-14  4.73714077e+01  3.12408144e-13  7.12193676e+00  1.24963285e-12  7.12193827e+00  1.00070521e-09  1.65981022e+00 
 5.54193938e+08  6.19516120e-15  6.87468737e+02  6.08741975e-14  4.52290603e+01  3.11823487e-13  6.79984713e+00  1.24729419e-12  6.79984856e+00  1.00081252e-09  1.73824415e+00 
 5.80444550e+08  6.19516722e-15  6.56385740e+02  6.08713205e-14  4.31835697e+01  3.11184641e-13  6.49232403e+00  1.24473879e-12  6.49232521e+00  1.00093026e-09  1.82036548e+00 
 6.07938580e+08  6.19517247e-15  6.26700872e+02  6.08681634e-14  4.12306106e+01  3.10486844e-13  6.19870882e+00  1.24194758e-12  6.19870973e+00  1.00105946e-09  1.90634473e+00 
 6.36734925e+08  6.19517700e-15  5.98357742e+02  6.08646994e-14  3.93659521e+01  3.09724966e-13  5.91837224e+00  1.23890005e-12  5.91837314e+00  1.00120122e-09  1.99635988e+00 
 6.66895272e+08  6.19518084e-15  5.71296135e+02  6.08608987e-14  3.75856286e+01  3.08893490e-13  5.65071391e+00  1.23557413e-12  5.65071463e+00  1.00135677e-09  2.09059664e+00 
 6.98484230e+08  6.19518404e-15  5.45449417e+02  6.08567289e-14  3.58858161e+01  3.07986498e-13  5.39516040e+00  1.23194615e-12  5.39516103e+00  1.00152747e-09  2.18924870e+00 
 7.31569468e+08  6.19518661e-15  5.20783412e+02  6.08521546e-14  3.42628852e+01  3.06997653e-13  5.15116421e+00  1.22799075e-12  5.15116487e+00  1.00171479e-09  2.29251798e+00 
 7.66221861e+08  6.19518858e-15  4.97235858e+02  6.08471365e-14  3.27133535e+01  3.05920189e-13  4.91820292e+00  1.22368089e-12  4.91820347e+00  1.00192035e-09  2.40061489e+00 
 8.02515641e+08  6.19518996e-15  4.74750084e+02  6.08416320e-14  3.12338948e+01  3.04746899e-13  4.69577713e+00  1.21898771e-12  4.69577752e+00  1.00214595e-09  2.51375859e+00 
 8.40528555e+08  6.19519077e-15  4.53277318e+02  6.08355941e-14  2.98213427e+01  3.03470133e-13  4.48341064e+00  1.21388064e-12  4.48341106e+00  1.00239354e-09  2.63217719e+00 
 8.80342035e+08  6.19519102e-15  4.32777505e+02  6.08289714e-14  2.84726665e+01  3.02081797e-13  4.28064833e+00  1.20832729e-12  4.28064875e+00  1.00266528e-09  2.75610798e+00 
 9.22041367e+08  6.19519070e-15  4.13206009e+02  6.08217075e-14  2.71849961e+01  3.00573360e-13  4.08705600e+00  1.20229353e-12  4.08705631e+00  1.00296355e-09  2.88579760e+00 
 9.65715880e+08  6.19518981e-15  3.94518586e+02  6.08137406e-14  2.59555520e+01  2.98935869e-13  3.90221889e+00  1.19574356e-12  3.90221914e+00  1.00329094e-09  3.02150224e+00 
 1.01145913e+09  6.19518835e-15  3.76680172e+02  6.08050031e-14  2.47817126e+01  2.97159977e-13  3.72574102e+00  1.18863998e-12  3.72574127e+00  1.00365033e-09  3.16348776e+00 
 1.05936911e+09  6.19518631e-15  3.59641350e+02  6.07954206e-14  2.36609606e+01  2.95235973e-13  3.55724442e+00  1.18094396e-12  3.55724462e+00  1.00404487e-09  3.31202975e+00 
 1.10954846e+09  6.19518366e-15  3.43377403e+02  6.07849119e-14  2.25908960e+01  2.93153837e-13  3.39636800e+00  1.17261541e-12  3.39636819e+00  1.00447803e-09  3.46741361e+00 
 1.16210465e+09  6.19518038e-15  3.27849633e+02  6.07733879e-14  2.15692226e+01  2.90903298e-13  3.24276724e+00  1.16361325e-12  3.24276740e+00  1.00495362e-09  3.62993450e+00 
 1.21715029e+09  6.19517645e-15  3.13021394e+02  6.07607510e-14  2.05937559e+01  2.88473918e-13  3.09611308e+00  1.15389572e-12  3.09611321e+00  1.00547586e-09  3.79989726e+00 
 1.27480328e+09  6.19517183e-15  2.98864591e+02  6.07468944e-14  1.96624034e+01  2.85855187e-13  2.95609135e+00  1.14342079e-12  2.95609148e+00  1.00604936e-09  3.97761623e+00 
 1.33518714e+09  6.19516648e-15  2.85349655e+02  6.07317009e-14  1.87731711e+01  2.83036642e-13  2.82240210e+00  1.13214661e-12  2.82240221e+00  1.00667923e-09  4.16341492e+00 
 1.39843121e+09  6.19516035e-15  2.72444094e+02  6.07150426e-14  1.79241561e+01  2.80008004e-13  2.69475897e+00  1.12003206e-12  2.69475905e+00  1.00737110e-09  4.35762568e+00 
 1.46467097e+09  6.19515340e-15  2.60124028e+02  6.06967790e-14  1.71135359e+01  2.76759340e-13  2.57288848e+00  1.10703739e-12  2.57288856e+00  1.00813115e-09  4.56058905e+00 
 1.53404832e+09  6.19514557e-15  2.48359203e+02  6.06767566e-14  1.63395761e+01  2.73281239e-13  2.45652958e+00  1.09312499e-12  2.45652966e+00  1.00896624e-09  4.77265312e+00 
 1.60671189e+09  6.19513678e-15  2.37127452e+02  6.06548075e-14  1.56006187e+01  2.69565019e-13  2.34543304e+00  1.07826010e-12  2.34543310e+00  1.00988390e-09  4.99417253e+00 
 1.68281732e+09  6.19512696e-15  2.26403289e+02  6.06307479e-14  1.48950799e+01  2.65602947e-13  2.23936081e+00  1.06241181e-12  2.23936086e+00  1.01089247e-09  5.22550735e+00 
 1.76252766e+09  6.19511603e-15  2.16164153e+02  6.06043769e-14  1.42214506e+01  2.61388474e-13  2.13808572e+00  1.04555392e-12  2.13808576e+00  1.01200117e-09  5.46702164e+00 
 1.84601365e+09  6.19510389e-15  2.06388345e+02  6.05754746e-14  1.35782849e+01  2.56916490e-13  2.04139078e+00  1.02766598e-12  2.04139082e+00  1.01322020e-09  5.71908164e+00 
 1.93345414e+09  6.19509044e-15  1.97054279e+02  6.05438011e-14  1.29642072e+01  2.52183576e-13  1.94906888e+00  1.00873433e-12  1.94906892e+00  1.01456082e-09  5.98205372e+00 
