 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  6.18463849e-15  3.81611476e+03  6.08267623e-14  2.50998397e+02  3.17987918e-13  3.77285726e+01  1.27195927e-12  3.77287689e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.18486238e-15  3.64352647e+03  6.08268926e-14  2.39649356e+02  3.17966495e-13  3.60223194e+01  1.27187291e-12  3.60225100e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.18506647e-15  3.47818711e+03  6.08269940e-14  2.28812510e+02  3.17942956e-13  3.43932481e+01  1.27177814e-12  3.43934115e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.18525251e-15  3.32141289e+03  6.08270675e-14  2.18465158e+02  3.17917100e-13  3.28378104e+01  1.27167416e-12  3.28379676e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.18542209e-15  3.17172054e+03  6.08271135e-14  2.08584451e+02  3.17888707e-13  3.13527425e+01  1.27156008e-12  3.13528905e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.18557667e-15  3.02873939e+03  6.08271326e-14  1.99152124e+02  3.17857535e-13  2.99347997e+01  1.27143493e-12  2.99349188e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.18571758e-15  2.89138760e+03  6.08271248e-14  1.90145139e+02  3.17823319e-13  2.85810241e+01  1.27129764e-12  2.85811349e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.18584601e-15  2.76078399e+03  6.08270902e-14  1.81546680e+02  3.17785767e-13  2.72884603e+01  1.27114704e-12  2.72885408e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.18596308e-15  2.63588770e+03  6.08270283e-14  1.73335907e+02  3.17744560e-13  2.60543506e+01  1.27098186e-12  2.60544238e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.18606979e-15  2.51702133e+03  6.08269388e-14  1.65498249e+02  3.17699346e-13  2.48760562e+01  1.27080069e-12  2.48761181e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.18616704e-15  2.40289128e+03  6.08268208e-14  1.58012793e+02  3.17649744e-13  2.37510475e+01  1.27060199e-12  2.37510965e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.18625568e-15  2.29424390e+03  6.08266733e-14  1.50867138e+02  3.17595331e-13  2.26769054e+01  1.27038407e-12  2.26769530e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.18633647e-15  2.19063398e+03  6.08264951e-14  1.44044551e+02  3.17535646e-13  2.16513497e+01  1.27014509e-12  2.16513912e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.18641009e-15  2.09169341e+03  6.08262845e-14  1.37530234e+02  3.17470183e-13  2.06721698e+01  1.26988302e-12  2.06722070e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.18647718e-15  1.99706608e+03  6.08260399e-14  1.31310546e+02  3.17398390e-13  1.97372741e+01  1.26959564e-12  1.97373059e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.18653831e-15  1.90675698e+03  6.08257591e-14  1.25372053e+02  3.17319660e-13  1.88446611e+01  1.26928053e-12  1.88446888e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  6.18659401e-15  1.82047594e+03  6.08254397e-14  1.19702127e+02  3.17233328e-13  1.79924188e+01  1.26893504e-12  1.79924412e+01  9.99773413e-10  6.58391420e-01 
