 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  2.92579365e-15  1.07400247e+01  2.79456192e-13  1.03870343e+01  2.64126546e-15  1.60711139e+01  2.42385125e-13  1.53717930e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  2.92350583e-15  1.02554773e+01  2.79206952e-13  9.91732398e+00  2.64047682e-15  1.53458683e+01  2.42286047e-13  1.46766430e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  2.92095982e-15  9.79275307e+00  2.78934014e-13  9.46885691e+00  2.63957114e-15  1.46532601e+01  2.42177413e-13  1.40129306e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  2.91813528e-15  9.35087972e+00  2.78635186e-13  9.04067258e+00  2.63854091e-15  1.39918361e+01  2.42058320e-13  1.33792342e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  2.91500979e-15  8.92892710e+00  2.78308083e-13  8.63185388e+00  2.63737765e-15  1.33602061e+01  2.41927779e-13  1.27741968e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  2.91155869e-15  8.52600563e+00  2.77950115e-13  8.24152522e+00  2.63607176e-15  1.27570403e+01  2.41784710e-13  1.21965224e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  2.90775497e-15  8.14126465e+00  2.77558467e-13  7.86885055e+00  2.63461253e-15  1.21810667e+01  2.41627934e-13  1.16449737e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  2.90356909e-15  7.77389080e+00  2.77130086e-13  7.51303165e+00  2.63298803e-15  1.16310690e+01  2.41456163e-13  1.11183694e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  2.89896884e-15  7.42310654e+00  2.76661663e-13  7.17330638e+00  2.63118500e-15  1.11058844e+01  2.41267993e-13  1.06155817e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  2.89391918e-15  7.08816864e+00  2.76149620e-13  6.84894707e+00  2.62918881e-15  1.06044011e+01  2.41061893e-13  1.01355335e+01  9.99690711e-10  4.76241640e-01 
