 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.58711791e-15  4.23052392e+03  5.37379728e-14  2.84159077e+02  2.75989673e-13  4.34785250e+01  1.10396629e-12  4.34787995e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.58734181e-15  4.03575275e+03  5.37381322e-14  2.71308575e+02  2.75975747e-13  4.15122903e+01  1.10390992e-12  4.15125767e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.58754592e-15  3.85564927e+03  5.37382656e-14  2.59041100e+02  2.75960430e-13  3.96349068e+01  1.10384804e-12  3.96351335e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.58773197e-15  3.67989156e+03  5.37383740e-14  2.47324818e+02  2.75943593e-13  3.78424061e+01  1.10378013e-12  3.78426100e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.58790157e-15  3.51426025e+03  5.37384584e-14  2.36140579e+02  2.75925090e-13  3.61310043e+01  1.10370561e-12  3.61311932e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.58805616e-15  3.35586692e+03  5.37385196e-14  2.25462392e+02  2.75904764e-13  3.44969801e+01  1.10362384e-12  3.44971568e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.58819709e-15  3.20489603e+03  5.37385581e-14  2.15266096e+02  2.75882442e-13  3.29369034e+01  1.10353413e-12  3.29370270e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.58832554e-15  3.05951135e+03  5.37385741e-14  2.05531466e+02  2.75857933e-13  3.14473608e+01  1.10343571e-12  3.14474703e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.58844263e-15  2.92111501e+03  5.37385679e-14  1.96237254e+02  2.75831029e-13  3.00251537e+01  1.10332774e-12  3.00252392e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.58854936e-15  2.78903271e+03  5.37385394e-14  1.87362275e+02  2.75801500e-13  2.86672635e+01  1.10320930e-12  2.86673351e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.58864664e-15  2.66219991e+03  5.37384883e-14  1.78888855e+02  2.75769095e-13  2.73707985e+01  1.10307939e-12  2.73708633e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.58873530e-15  2.54250940e+03  5.37384142e-14  1.70798684e+02  2.75733538e-13  2.61329711e+01  1.10293690e-12  2.61330394e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.58881612e-15  2.42757264e+03  5.37383164e-14  1.63075046e+02  2.75694527e-13  2.49511056e+01  1.10278061e-12  2.49511669e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.58888977e-15  2.31783497e+03  5.37381942e-14  1.55699383e+02  2.75651731e-13  2.38227034e+01  1.10260920e-12  2.38227608e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.58895690e-15  2.21259790e+03  5.37380465e-14  1.48658487e+02  2.75604785e-13  2.27453170e+01  1.10242122e-12  2.27453592e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.58901807e-15  2.11284177e+03  5.37378720e-14  1.41935662e+02  2.75553293e-13  2.17166697e+01  1.10221507e-12  2.17167108e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.58907381e-15  2.01753149e+03  5.37376692e-14  1.35516688e+02  2.75496819e-13  2.07345382e+01  1.10198900e-12  2.07345691e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.58912461e-15  1.92605891e+03  5.37374363e-14  1.29387824e+02  2.75434884e-13  1.97968218e+01  1.10174111e-12  1.97968459e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  5.58917089e-15  1.83900891e+03  5.37371715e-14  1.23536714e+02  2.75366965e-13  1.89015150e+01  1.10146930e-12  1.89015408e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  5.58921305e-15  1.75577166e+03  5.37368724e-14  1.17949776e+02  2.75292489e-13  1.80466950e+01  1.10117127e-12  1.80467182e+01  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  5.58925145e-15  1.67650848e+03  5.37365364e-14  1.12615737e+02  2.75210830e-13  1.72305349e+01  1.10084451e-12  1.72305511e+01  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  5.58928643e-15  1.60066376e+03  5.37361607e-14  1.07522564e+02  2.75121300e-13  1.64512837e+01  1.10048629e-12  1.64513021e+01  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  5.58931828e-15  1.52820781e+03  5.37357421e-14  1.02660015e+02  2.75023148e-13  1.57072775e+01  1.10009358e-12  1.57072935e+01  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  5.58934727e-15  1.45920230e+03  5.37352769e-14  9.80174035e+01  2.74915552e-13  1.49969161e+01  1.09966311e-12  1.49969274e+01  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  5.58937366e-15  1.39321700e+03  5.37347612e-14  9.35845071e+01  2.74797613e-13  1.43186832e+01  1.09919128e-12  1.43186946e+01  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  5.58939766e-15  1.33021879e+03  5.37341905e-14  8.93522055e+01  2.74668348e-13  1.36711238e+01  1.09867414e-12  1.36711329e+01  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  5.58941950e-15  1.27007102e+03  5.37335600e-14  8.53111595e+01  2.74526683e-13  1.30528457e+01  1.09810742e-12  1.30528520e+01  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  5.58943934e-15  1.21260861e+03  5.37328643e-14  8.14530018e+01  2.74371443e-13  1.24625316e+01  1.09748640e-12  1.24625381e+01  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  5.58945737e-15  1.15777349e+03  5.37320975e-14  7.77693458e+01  2.74201346e-13  1.18989151e+01  1.09680595e-12  1.18989213e+01  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  5.58947374e-15  1.10539544e+03  5.37312528e-14  7.42522714e+01  2.74014993e-13  1.13607877e+01  1.09606049e-12  1.13607922e+01  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  5.58948858e-15  1.05545253e+03  5.37303232e-14  7.08942077e+01  2.73810855e-13  1.08469955e+01  1.09524389e-12  1.08469999e+01  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  5.58950203e-15  1.00767875e+03  5.37293006e-14  6.76880543e+01  2.73587268e-13  1.03564405e+01  1.09434950e-12  1.03564444e+01  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  5.58951421e-15  9.62131491e+02  5.37281763e-14  6.46268468e+01  2.73342414e-13  9.88807083e+00  1.09337005e-12  9.88807456e+00  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  5.58952520e-15  9.18605804e+02  5.37269407e-14  6.17041365e+01  2.73074316e-13  9.44088278e+00  1.09229762e-12  9.44088547e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  5.58953512e-15  8.77076173e+02  5.37255832e-14  5.89135544e+01  2.72780821e-13  9.01391968e+00  1.09112361e-12  9.01392255e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  5.58954404e-15  8.37424279e+02  5.37240921e-14  5.62491970e+01  2.72459587e-13  8.60626543e+00  1.08983864e-12  8.60626774e+00  1.00060740e-09  1.58490037e+00 
