 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  6.70064542e-15  3.51688322e+03  6.69388251e-14  2.28025494e+02  3.54144627e-13  3.38687906e+01  1.41658611e-12  3.38689699e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.70086930e-15  3.35857781e+03  6.69389242e-14  2.17710853e+02  3.54114939e-13  3.23370967e+01  1.41646668e-12  3.23372671e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.70107338e-15  3.20703673e+03  6.69389913e-14  2.07867211e+02  3.54082337e-13  3.08746432e+01  1.41633566e-12  3.08747738e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.70125940e-15  3.06219756e+03  6.69390272e-14  1.98466189e+02  3.54046542e-13  2.94783808e+01  1.41619193e-12  2.94784944e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.70142897e-15  2.92332468e+03  6.69390320e-14  1.89491717e+02  3.54007250e-13  2.81452234e+01  1.41603425e-12  2.81453263e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.70158354e-15  2.79177044e+03  6.69390059e-14  1.80921533e+02  3.53964126e-13  2.68723689e+01  1.41586129e-12  2.68724668e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.70172442e-15  2.66536080e+03  6.69389486e-14  1.72740117e+02  3.53916804e-13  2.56570717e+01  1.41567158e-12  2.56571466e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.70185284e-15  2.54461128e+03  6.69388595e-14  1.64928982e+02  3.53864881e-13  2.44967455e+01  1.41546350e-12  2.44968160e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.70196989e-15  2.42964881e+03  6.69387380e-14  1.57469688e+02  3.53807916e-13  2.33888821e+01  1.41523529e-12  2.33889552e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.70207657e-15  2.32008144e+03  6.69385830e-14  1.50348300e+02  3.53745426e-13  2.23311274e+01  1.41498501e-12  2.23311782e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.70217380e-15  2.21520673e+03  6.69383932e-14  1.43549488e+02  3.53676882e-13  2.13212093e+01  1.41471054e-12  2.13212535e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.70226241e-15  2.11482917e+03  6.69381670e-14  1.37057440e+02  3.53601703e-13  2.03569684e+01  1.41440956e-12  2.03570089e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.70234316e-15  2.01940218e+03  6.69379023e-14  1.30859210e+02  3.53519253e-13  1.94363269e+01  1.41407952e-12  1.94363569e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.70241675e-15  1.92781030e+03  6.69375970e-14  1.24941353e+02  3.53428838e-13  1.85573224e+01  1.41371763e-12  1.85573543e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.70248380e-15  1.84083118e+03  6.69372484e-14  1.19290563e+02  3.53329693e-13  1.77180680e+01  1.41332085e-12  1.77180931e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.70254489e-15  1.75736059e+03  6.69368536e-14  1.13895770e+02  3.53220986e-13  1.69167700e+01  1.41288584e-12  1.69167948e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  6.70260055e-15  1.67813955e+03  6.69364091e-14  1.08744986e+02  3.53101801e-13  1.61517113e+01  1.41240893e-12  1.61517308e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  6.70265124e-15  1.60219214e+03  6.69359111e-14  1.03826999e+02  3.52971141e-13  1.54212545e+01  1.41188614e-12  1.54212722e+01  9.99790233e-10  6.89565959e-01 
