 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.61067323e-15  4.21028899e+03  5.39437728e-14  2.83071959e+02  2.76929369e-13  4.33307067e+01  1.10772507e-12  4.33310137e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.61089713e-15  4.01916512e+03  5.39439314e-14  2.70270364e+02  2.76915297e-13  4.13711250e+01  1.10766812e-12  4.13713837e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.61110123e-15  3.83739919e+03  5.39440639e-14  2.58048706e+02  2.76899821e-13  3.95001352e+01  1.10760560e-12  3.95003158e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.61128728e-15  3.66499570e+03  5.39441715e-14  2.46379793e+02  2.76882809e-13  3.77137610e+01  1.10753699e-12  3.77139376e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.61145688e-15  3.49994944e+03  5.39442549e-14  2.35238213e+02  2.76864115e-13  3.60081755e+01  1.10746171e-12  3.60083208e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.61161148e-15  3.34120690e+03  5.39443150e-14  2.24598034e+02  2.76843579e-13  3.43797237e+01  1.10737910e-12  3.43798771e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.61175240e-15  3.19031664e+03  5.39443523e-14  2.14442529e+02  2.76821027e-13  3.28249010e+01  1.10728847e-12  3.28250004e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.61188085e-15  3.04600022e+03  5.39443671e-14  2.04745263e+02  2.76796266e-13  3.13404390e+01  1.10718904e-12  3.13405404e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.61199794e-15  2.90873058e+03  5.39443594e-14  1.95484538e+02  2.76769084e-13  2.99230645e+01  1.10707996e-12  2.99231802e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.61210467e-15  2.77697992e+03  5.39443293e-14  1.86645403e+02  2.76739252e-13  2.85698061e+01  1.10696031e-12  2.85699041e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.61220195e-15  2.65155222e+03  5.39442765e-14  1.78203844e+02  2.76706513e-13  2.72777586e+01  1.10682907e-12  2.72778340e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.61229061e-15  2.53180564e+03  5.39442005e-14  1.70145715e+02  2.76670591e-13  2.60441158e+01  1.10668511e-12  2.60441804e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.61237143e-15  2.41719934e+03  5.39441007e-14  1.62450131e+02  2.76631180e-13  2.48662858e+01  1.10652722e-12  2.48663448e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.61244508e-15  2.30824355e+03  5.39439763e-14  1.55103570e+02  2.76587944e-13  2.37417107e+01  1.10635406e-12  2.37417597e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.61251220e-15  2.20334589e+03  5.39438260e-14  1.48089556e+02  2.76540518e-13  2.26679943e+01  1.10616415e-12  2.26680369e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.61257337e-15  2.10349275e+03  5.39436488e-14  1.41392265e+02  2.76488498e-13  2.16428451e+01  1.10595589e-12  2.16428779e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.61262912e-15  2.00882753e+03  5.39434430e-14  1.34998179e+02  2.76431445e-13  2.06640517e+01  1.10572751e-12  2.06640861e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.61267991e-15  1.91784170e+03  5.39432069e-14  1.28893083e+02  2.76368876e-13  1.97295252e+01  1.10547708e-12  1.97295510e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  5.61272619e-15  1.83121406e+03  5.39429385e-14  1.23063885e+02  2.76300262e-13  1.88372638e+01  1.10520248e-12  1.88372931e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  5.61276835e-15  1.74832242e+03  5.39426354e-14  1.17498511e+02  2.76225024e-13  1.79853521e+01  1.10490141e-12  1.79853730e+01  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  5.61280675e-15  1.66921327e+03  5.39422951e-14  1.12184610e+02  2.76142530e-13  1.71719650e+01  1.10457131e-12  1.71719833e+01  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  5.61284172e-15  1.59381630e+03  5.39419146e-14  1.07111166e+02  2.76052085e-13  1.63953619e+01  1.10420943e-12  1.63953818e+01  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  5.61287357e-15  1.52183770e+03  5.39414908e-14  1.02267107e+02  2.75952930e-13  1.56538860e+01  1.10381271e-12  1.56539010e+01  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  5.61290256e-15  1.45294705e+03  5.39410199e-14  9.76419893e+01  2.75844236e-13  1.49459392e+01  1.10337785e-12  1.49459513e+01  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  5.61292894e-15  1.38730212e+03  5.39404979e-14  9.32263792e+01  2.75725094e-13  1.42700109e+01  1.10290120e-12  1.42700216e+01  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  5.61295294e-15  1.32450856e+03  5.39399204e-14  8.90102033e+01  2.75594511e-13  1.36246520e+01  1.10237879e-12  1.36246624e+01  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  5.61297477e-15  1.26468381e+03  5.39392824e-14  8.49847734e+01  2.75451402e-13  1.30084764e+01  1.10180629e-12  1.30084853e+01  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  5.61299461e-15  1.20739423e+03  5.39385784e-14  8.11412605e+01  2.75294581e-13  1.24201706e+01  1.10117895e-12  1.24201768e+01  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  5.61301264e-15  1.15282659e+03  5.39378025e-14  7.74718162e+01  2.75122754e-13  1.18584679e+01  1.10049158e-12  1.18584735e+01  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  5.61302900e-15  1.10071932e+03  5.39369479e-14  7.39681830e+01  2.74934506e-13  1.13221699e+01  1.09973854e-12  1.13221754e+01  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  5.61304384e-15  1.05092474e+03  5.39360073e-14  7.06229190e+01  2.74728296e-13  1.08101239e+01  1.09891366e-12  1.08101295e+01  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  5.61305728e-15  1.00341171e+03  5.39349728e-14  6.74290570e+01  2.74502441e-13  1.03212378e+01  1.09801019e-12  1.03212423e+01  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  5.61306945e-15  9.58016073e+02  5.39338353e-14  6.43795671e+01  2.74255106e-13  9.85445982e+00  1.09702082e-12  9.85446295e+00  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  5.61308044e-15  9.14686996e+02  5.39325853e-14  6.14680676e+01  2.73984296e-13  9.40879228e+00  1.09593754e-12  9.40879550e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  5.61309034e-15  8.73318687e+02  5.39312120e-14  5.86881205e+01  2.73687835e-13  8.98327957e+00  1.09475167e-12  8.98328265e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  5.61309926e-15  8.33834860e+02  5.39297036e-14  5.60339808e+01  2.73363359e-13  8.57701127e+00  1.09345373e-12  8.57701349e+00  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  5.61310725e-15  7.96116551e+02  5.39280472e-14  5.34998525e+01  2.73008298e-13  8.18911669e+00  1.09203347e-12  8.18911856e+00  1.00070521e-09  1.65981022e+00 
 5.54193938e+08  5.61311439e-15  7.60114865e+02  5.39262287e-14  5.10803364e+01  2.72619862e-13  7.81876354e+00  1.09047970e-12  7.81876514e+00  1.00081252e-09  1.73824415e+00 
 5.80444550e+08  5.61312073e-15  7.25749983e+02  5.39242326e-14  4.87702484e+01  2.72195024e-13  7.46515986e+00  1.08878032e-12  7.46516161e+00  1.00093026e-09  1.82036548e+00 
 6.07938580e+08  5.61312635e-15  6.92924589e+02  5.39220416e-14  4.65646088e+01  2.71730505e-13  7.12754836e+00  1.08692223e-12  7.12754955e+00  1.00105946e-09  1.90634473e+00 
 6.36734925e+08  5.61313127e-15  6.61589858e+02  5.39196372e-14  4.44587214e+01  2.71222757e-13  6.80520498e+00  1.08489122e-12  6.80520629e+00  1.00120122e-09  1.99635988e+00 
 6.66895272e+08  5.61313555e-15  6.31661514e+02  5.39169986e-14  4.24480950e+01  2.70667946e-13  6.49743970e+00  1.08267195e-12  6.49744057e+00  1.00135677e-09  2.09059664e+00 
 6.98484230e+08  5.61313922e-15  6.03100084e+02  5.39141035e-14  4.05283729e+01  2.70061933e-13  6.20359303e+00  1.08024789e-12  6.20359390e+00  1.00152747e-09  2.18924870e+00 
