 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.73216673e-15  4.12288423e+03  5.53865848e-14  2.75722039e+02  2.85484583e-13  4.20326673e+01  1.14194593e-12  4.20329605e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.73239063e-15  3.93433041e+03  5.53867381e-14  2.63253539e+02  2.85469146e-13  4.01317930e+01  1.14188351e-12  4.01320053e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.73259473e-15  3.75852980e+03  5.53868647e-14  2.51352693e+02  2.85452173e-13  3.83167823e+01  1.14181501e-12  3.83170010e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.73278078e-15  3.58858037e+03  5.53869658e-14  2.39982101e+02  2.85433518e-13  3.65839728e+01  1.14173983e-12  3.65841572e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.73295038e-15  3.42630969e+03  5.53870422e-14  2.29129853e+02  2.85413023e-13  3.49294871e+01  1.14165734e-12  3.49296451e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.73310497e-15  3.27122102e+03  5.53870945e-14  2.18769513e+02  2.85390512e-13  3.33497975e+01  1.14156683e-12  3.33499305e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.73324589e-15  3.12333530e+03  5.53871233e-14  2.08876312e+02  2.85365793e-13  3.18415910e+01  1.14146753e-12  3.18416971e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.73337434e-15  2.98229741e+03  5.53871287e-14  1.99428227e+02  2.85338656e-13  3.04015661e+01  1.14135860e-12  3.04016551e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.73349142e-15  2.84776518e+03  5.53871108e-14  1.90410168e+02  2.85308870e-13  2.90266525e+01  1.14123910e-12  2.90267284e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.73359814e-15  2.71896515e+03  5.53870694e-14  1.81799252e+02  2.85276180e-13  2.77139354e+01  1.14110802e-12  2.77140105e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.73369542e-15  2.59580083e+03  5.53870043e-14  1.73578209e+02  2.85240309e-13  2.64605785e+01  1.14096425e-12  2.64606539e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.73378408e-15  2.47839721e+03  5.53869148e-14  1.65728314e+02  2.85200951e-13  2.52639171e+01  1.14080655e-12  2.52639701e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.73386489e-15  2.36665066e+03  5.53868001e-14  1.58233568e+02  2.85157773e-13  2.41213590e+01  1.14063360e-12  2.41214120e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.73393853e-15  2.25936441e+03  5.53866593e-14  1.51077299e+02  2.85110408e-13  2.30304821e+01  1.14044391e-12  2.30305238e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.73400565e-15  2.15717460e+03  5.53864912e-14  1.44245559e+02  2.85058454e-13  2.19889236e+01  1.14023590e-12  2.19889669e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.73406682e-15  2.05972774e+03  5.53862944e-14  1.37722060e+02  2.85001471e-13  2.09944822e+01  1.14000778e-12  2.09945255e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.73412255e-15  1.96678839e+03  5.53860671e-14  1.31494151e+02  2.84938976e-13  2.00450162e+01  1.13975763e-12  2.00450466e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.73417333e-15  1.87768951e+03  5.53858074e-14  1.25546918e+02  2.84870442e-13  1.91384792e+01  1.13948335e-12  1.91385074e+01  9.99790233e-10  6.89565959e-01 
