 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.69654895e-15  4.14800947e+03  5.50210639e-14  2.77557511e+02  2.83535430e-13  4.23221191e+01  1.13414932e-12  4.23223936e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.69677285e-15  3.95965032e+03  5.50212186e-14  2.65005624e+02  2.83520312e-13  4.04081232e+01  1.13408818e-12  4.04083581e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.69697695e-15  3.78221467e+03  5.50213467e-14  2.53024269e+02  2.83503689e-13  3.85806808e+01  1.13402107e-12  3.85808610e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.69716300e-15  3.61077852e+03  5.50214495e-14  2.41580482e+02  2.83485417e-13  3.68358908e+01  1.13394743e-12  3.68360687e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.69733259e-15  3.44809282e+03  5.50215277e-14  2.30656545e+02  2.83465343e-13  3.51700185e+01  1.13386662e-12  3.51701760e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.69748719e-15  3.29133883e+03  5.50215821e-14  2.20225437e+02  2.83443293e-13  3.35794686e+01  1.13377795e-12  3.35796171e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.69762811e-15  3.14360220e+03  5.50216130e-14  2.10267312e+02  2.83419080e-13  3.20608300e+01  1.13368068e-12  3.20609613e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.69775656e-15  3.00095023e+03  5.50216208e-14  2.00759075e+02  2.83392498e-13  3.06109220e+01  1.13357397e-12  3.06110276e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.69787364e-15  2.86582364e+03  5.50216056e-14  1.91680072e+02  2.83363319e-13  2.92265427e+01  1.13345690e-12  2.92266301e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.69798037e-15  2.73612918e+03  5.50215672e-14  1.83010604e+02  2.83331297e-13  2.79047790e+01  1.13332849e-12  2.79048656e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.69807764e-15  2.61254809e+03  5.50215052e-14  1.74734633e+02  2.83296157e-13  2.66428070e+01  1.13318764e-12  2.66428847e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.69816630e-15  2.49395180e+03  5.50214192e-14  1.66832957e+02  2.83257602e-13  2.54378845e+01  1.13303315e-12  2.54379451e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.69824711e-15  2.38154912e+03  5.50213084e-14  1.59287564e+02  2.83215303e-13  2.42874714e+01  1.13286372e-12  2.42875285e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.69832076e-15  2.27384278e+03  5.50211719e-14  1.52084547e+02  2.83168902e-13  2.31890758e+01  1.13267789e-12  2.31891255e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.69838788e-15  2.17122256e+03  5.50210084e-14  1.45206633e+02  2.83118005e-13  2.21403502e+01  1.13247410e-12  2.21403967e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.69844905e-15  2.07297696e+03  5.50208166e-14  1.38639606e+02  2.83062181e-13  2.11390588e+01  1.13225062e-12  2.11390982e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.69850479e-15  1.97917361e+03  5.50205949e-14  1.32369217e+02  2.83000957e-13  2.01830538e+01  1.13200556e-12  2.01830816e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.69855557e-15  1.88957716e+03  5.50203413e-14  1.26383554e+02  2.82933816e-13  1.92702781e+01  1.13173684e-12  1.92703014e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  5.69860184e-15  1.80435934e+03  5.50200537e-14  1.20668015e+02  2.82860190e-13  1.83987826e+01  1.13144220e-12  1.83988041e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  5.69864399e-15  1.72244788e+03  5.50197296e-14  1.15210694e+02  2.82779461e-13  1.75666985e+01  1.13111915e-12  1.75667162e+01  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  5.69868239e-15  1.64470327e+03  5.50193663e-14  1.10000457e+02  2.82690947e-13  1.67722429e+01  1.13076498e-12  1.67722649e+01  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  5.69871735e-15  1.57030380e+03  5.50189605e-14  1.05025818e+02  2.82593906e-13  1.60137241e+01  1.13037671e-12  1.60137378e+01  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  5.69874919e-15  1.49938831e+03  5.50185089e-14  1.00275987e+02  2.82487525e-13  1.52895067e+01  1.12995109e-12  1.52895197e+01  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  5.69877817e-15  1.43153609e+03  5.50180076e-14  9.57410325e+01  2.82370913e-13  1.45980392e+01  1.12948455e-12  1.45980508e+01  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  5.69880454e-15  1.36679808e+03  5.50174522e-14  9.14112322e+01  2.82243097e-13  1.39378427e+01  1.12897321e-12  1.39378547e+01  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  5.69882853e-15  1.30501982e+03  5.50168381e-14  8.72772022e+01  2.82103014e-13  1.33075075e+01  1.12841281e-12  1.33075189e+01  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  5.69885034e-15  1.24599982e+03  5.50161599e-14  8.33300906e+01  2.81949502e-13  1.27056737e+01  1.12779869e-12  1.27056828e+01  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  5.69887017e-15  1.18960918e+03  5.50154118e-14  7.95615005e+01  2.81781291e-13  1.21310610e+01  1.12712579e-12  1.21310679e+01  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  5.69888818e-15  1.13584367e+03  5.50145875e-14  7.59633675e+01  2.81596993e-13  1.15824346e+01  1.12638854e-12  1.15824404e+01  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  5.69890452e-15  1.08450949e+03  5.50136799e-14  7.25279940e+01  2.81395097e-13  1.10586189e+01  1.12558091e-12  1.10586238e+01  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  5.69891934e-15  1.03543820e+03  5.50126812e-14  6.92479140e+01  2.81173951e-13  1.05584940e+01  1.12469628e-12  1.05584978e+01  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  5.69893276e-15  9.88630826e+02  5.50115828e-14  6.61161688e+01  2.80931755e-13  1.00809862e+01  1.12372745e-12  1.00809898e+01  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  5.69894490e-15  9.43882816e+02  5.50103754e-14  6.31260938e+01  2.80666548e-13  9.62507407e+00  1.12266659e-12  9.62507728e+00  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  5.69895586e-15  9.01222039e+02  5.50090486e-14  6.02712384e+01  2.80376195e-13  9.18978023e+00  1.12150514e-12  9.18978311e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  5.69896574e-15  8.60436057e+02  5.50075910e-14  5.75454857e+01  2.80058372e-13  8.77417261e+00  1.12023382e-12  8.77417521e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  5.69897462e-15  8.21537756e+02  5.50059903e-14  5.49430367e+01  2.79710554e-13  8.37736128e+00  1.11884251e-12  8.37736318e+00  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  5.69898257e-15  7.84390269e+02  5.50042326e-14  5.24582208e+01  2.79329995e-13  7.99849543e+00  1.11732025e-12  7.99849738e+00  1.00070521e-09  1.65981022e+00 
 5.54193938e+08  5.69898967e-15  7.48910472e+02  5.50023030e-14  5.00857976e+01  2.78913718e-13  7.63676354e+00  1.11565512e-12  7.63676490e+00  1.00081252e-09  1.73824415e+00 
 5.80444550e+08  5.69899598e-15  7.15053945e+02  5.50001849e-14  4.78206652e+01  2.78458494e-13  7.29139093e+00  1.11383420e-12  7.29139231e+00  1.00093026e-09  1.82036548e+00 
 6.07938580e+08  5.69900154e-15  6.82706448e+02  5.49978602e-14  4.56579890e+01  2.77960829e-13  6.96163790e+00  1.11184352e-12  6.96163915e+00  1.00105946e-09  1.90634473e+00 
 6.36734925e+08  5.69900642e-15  6.51842012e+02  5.49953091e-14  4.35931114e+01  2.77416942e-13  6.64679784e+00  1.10966795e-12  6.64679887e+00  1.00120122e-09  1.99635988e+00 
 6.66895272e+08  5.69901064e-15  6.22354121e+02  5.49925098e-14  4.16216206e+01  2.76822751e-13  6.34619634e+00  1.10729118e-12  6.34619747e+00  1.00135677e-09  2.09059664e+00 
 6.98484230e+08  5.69901425e-15  5.94216954e+02  5.49894383e-14  3.97392920e+01  2.76173857e-13  6.05918976e+00  1.10469558e-12  6.05919058e+00  1.00152747e-09  2.18924870e+00 
 7.31569468e+08  5.69901727e-15  5.67333945e+02  5.49860683e-14  3.79420768e+01  2.75465524e-13  5.78516284e+00  1.10186224e-12  5.78516367e+00  1.00171479e-09  2.29251798e+00 
 7.66221861e+08  5.69901974e-15  5.41682125e+02  5.49823712e-14  3.62261490e+01  2.74692664e-13  5.52352885e+00  1.09877079e-12  5.52352957e+00  1.00192035e-09  2.40061489e+00 
 8.02515641e+08  5.69902167e-15  5.17181457e+02  5.49783154e-14  3.45878272e+01  2.73849826e-13  5.27372729e+00  1.09539942e-12  5.27372794e+00  1.00214595e-09  2.51375859e+00 
 8.40528555e+08  5.69902308e-15  4.93789590e+02  5.49738662e-14  3.30235923e+01  2.72931179e-13  5.03522308e+00  1.09172482e-12  5.03522347e+00  1.00239354e-09  2.63217719e+00 
 8.80342035e+08  5.69902398e-15  4.71458904e+02  5.49689857e-14  3.15301097e+01  2.71930506e-13  4.80750511e+00  1.08772212e-12  4.80750557e+00  1.00266528e-09  2.75610798e+00 
 9.22041367e+08  5.69902438e-15  4.50139487e+02  5.49636323e-14  3.01041605e+01  2.70841195e-13  4.59008566e+00  1.08336487e-12  4.59008602e+00  1.00296355e-09  2.88579760e+00 
 9.65715880e+08  5.69902429e-15  4.29783267e+02  5.49577604e-14  2.87426991e+01  2.69656238e-13  4.38249900e+00  1.07862503e-12  4.38249936e+00  1.00329094e-09  3.02150224e+00 
 1.01145913e+09  5.69902370e-15  4.10345032e+02  5.49513200e-14  2.74428164e+01  2.68368234e-13  4.18430049e+00  1.07347301e-12  4.18430077e+00  1.00365033e-09  3.16348776e+00 
 1.05936911e+09  5.69902261e-15  3.91785689e+02  5.49442564e-14  2.62017087e+01  2.66969401e-13  3.99506551e+00  1.06787767e-12  3.99506579e+00  1.00404487e-09  3.31202975e+00 
 1.10954846e+09  5.69902100e-15  3.74069394e+02  5.49365094e-14  2.50167409e+01  2.65451587e-13  3.81438866e+00  1.06180641e-12  3.81438890e+00  1.00447803e-09  3.46741361e+00 
 1.16210465e+09  5.69901887e-15  3.57151594e+02  5.49280133e-14  2.38853585e+01  2.63806306e-13  3.64188288e+00  1.05522528e-12  3.64188309e+00  1.00495362e-09  3.62993450e+00 
 1.21715029e+09  5.69901619e-15  3.41000895e+02  5.49186959e-14  2.28051450e+01  2.62024768e-13  3.47717874e+00  1.04809912e-12  3.47717891e+00  1.00547586e-09  3.79989726e+00 
 1.27480328e+09  5.69901295e-15  3.25577989e+02  5.49084783e-14  2.17737819e+01  2.60097932e-13  3.31992329e+00  1.04039178e-12  3.31992348e+00  1.00604936e-09  3.97761623e+00 
 1.33518714e+09  5.69900911e-15  3.10854181e+02  5.48972738e-14  2.07890627e+01  2.58016568e-13  3.16977976e+00  1.03206632e-12  3.16977990e+00  1.00667923e-09  4.16341492e+00 
 1.39843121e+09  5.69900465e-15  2.96795603e+02  5.48849878e-14  1.98488789e+01  2.55771338e-13  3.02642646e+00  1.02308539e-12  3.02642657e+00  1.00737110e-09  4.35762568e+00 
 1.46467097e+09  5.69899952e-15  2.83372854e+02  5.48715165e-14  1.89512117e+01  2.53352887e-13  2.88955632e+00  1.01341158e-12  2.88955643e+00  1.00813115e-09  4.56058905e+00 
 1.53404832e+09  5.69899368e-15  2.70557444e+02  5.48567461e-14  1.80941439e+01  2.50751963e-13  2.75887611e+00  1.00300789e-12  2.75887621e+00  1.00896624e-09  4.77265312e+00 
 1.60671189e+09  5.69898708e-15  2.58321999e+02  5.48405522e-14  1.72758371e+01  2.47959544e-13  2.63410592e+00  9.91838207e-13  2.63410600e+00  1.00988390e-09  4.99417253e+00 
 1.68281732e+09  5.69897967e-15  2.46639424e+02  5.48227987e-14  1.64945355e+01  2.44966992e-13  2.51497847e+00  9.79867996e-13  2.51497855e+00  1.01089247e-09  5.22550735e+00 
 1.76252766e+09  5.69897137e-15  2.35485024e+02  5.48033365e-14  1.57485715e+01  2.41766222e-13  2.40123856e+00  9.67064913e-13  2.40123861e+00  1.01200117e-09  5.46702164e+00 
 1.84601365e+09  5.69896212e-15  2.24835362e+02  5.47820027e-14  1.50363423e+01  2.38349892e-13  2.29264254e+00  9.53399591e-13  2.29264259e+00  1.01322020e-09  5.71908164e+00 
 1.93345414e+09  5.69895185e-15  2.14666973e+02  5.47586190e-14  1.43563238e+01  2.34711608e-13  2.18895778e+00  9.38846450e-13  2.18895781e+00  1.01456082e-09  5.98205372e+00 
 2.02503643e+09  5.69894045e-15  2.04958919e+02  5.47329903e-14  1.37070592e+01  2.30846138e-13  2.08996214e+00  9.23384570e-13  2.08996218e+00  1.01603553e-09  6.25630175e+00 
 2.12095673e+09  5.69892784e-15  1.95689324e+02  5.47049038e-14  1.30871573e+01  2.26749644e-13  1.99544360e+00  9.06998594e-13  1.99544364e+00  1.01765820e-09  6.54218403e+00 
