 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  8.78398813e-15  2.66975863e+03  9.17053399e-14  1.66283135e+02  5.00781949e-13  2.39246301e+01  2.00313539e-12  2.39247208e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  8.78421194e-15  2.54888549e+03  9.17052422e-14  1.58763087e+02  5.00697489e-13  2.28426456e+01  2.00279689e-12  2.28427253e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  8.78441595e-15  2.43440449e+03  9.17050936e-14  1.51582572e+02  5.00604831e-13  2.18095966e+01  2.00242564e-12  2.18096654e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  8.78460189e-15  2.32412418e+03  9.17048926e-14  1.44727834e+02  5.00503188e-13  2.08232670e+01  2.00201851e-12  2.08233291e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  8.78477137e-15  2.21902220e+03  9.17046377e-14  1.38183442e+02  5.00391701e-13  1.98815409e+01  2.00157205e-12  1.98815901e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  8.78492584e-15  2.11872871e+03  9.17043266e-14  1.31934138e+02  5.00269428e-13  1.89824024e+01  2.00108250e-12  1.89824507e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  8.78506662e-15  2.02287263e+03  9.17039567e-14  1.25967044e+02  5.00135338e-13  1.81239311e+01  2.00054571e-12  1.81239681e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  8.78519492e-15  1.93150821e+03  9.17035248e-14  1.20270279e+02  4.99988301e-13  1.73042786e+01  1.99995718e-12  1.73043114e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  8.78531184e-15  1.84410635e+03  9.17030272e-14  1.14831431e+02  4.99827080e-13  1.65216953e+01  1.99931194e-12  1.65217252e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  8.78541838e-15  1.76070615e+03  9.17024596e-14  1.09638387e+02  4.99650322e-13  1.57745062e+01  1.99860459e-12  1.57745304e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  8.78551545e-15  1.68113731e+03  9.17018172e-14  1.04680224e+02  4.99456546e-13  1.50611064e+01  1.99782920e-12  1.50611305e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  8.78560389e-15  1.60510336e+03  9.17010945e-14  9.99458011e+01  4.99244134e-13  1.43799689e+01  1.99697928e-12  1.43799903e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  8.78568446e-15  1.53249620e+03  9.17002852e-14  9.54260069e+01  4.99011313e-13  1.37296375e+01  1.99604776e-12  1.37296554e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  8.78575785e-15  1.46323391e+03  9.16993825e-14  9.11104399e+01  4.98756149e-13  1.31087158e+01  1.99502688e-12  1.31087304e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  8.78582467e-15  1.39712181e+03  9.16983786e-14  8.69900451e+01  4.98476526e-13  1.25158761e+01  1.99390818e-12  1.25158890e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  8.78588552e-15  1.33392484e+03  9.16972649e-14  8.30560558e+01  4.98170134e-13  1.19498467e+01  1.99268243e-12  1.19498581e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  8.78594091e-15  1.27355448e+03  9.16960319e-14  7.92998651e+01  4.97834451e-13  1.14094165e+01  1.99133953e-12  1.14094261e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  8.78599131e-15  1.21604108e+03  9.16946690e-14  7.57135811e+01  4.97466723e-13  1.08934261e+01  1.98986847e-12  1.08934352e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  8.78603716e-15  1.16102604e+03  9.16931645e-14  7.22894213e+01  4.97063948e-13  1.04007725e+01  1.98825723e-12  1.04007803e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  8.78607885e-15  1.10849100e+03  9.16915055e-14  6.90201459e+01  4.96622855e-13  9.93039795e+00  1.98649273e-12  9.93040438e+00  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  8.78611673e-15  1.05843687e+03  9.16896780e-14  6.58987149e+01  4.96139877e-13  9.48129647e+00  1.98456070e-12  9.48130186e+00  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  8.78615114e-15  1.01058701e+03  9.16876661e-14  6.29185164e+01  4.95611133e-13  9.05250514e+00  1.98244562e-12  9.05251002e+00  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  8.78618237e-15  9.64826638e+02  9.16854527e-14  6.00730723e+01  4.95032400e-13  8.64310604e+00  1.98013059e-12  8.64311056e+00  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  8.78621068e-15  9.21198297e+02  9.16830188e-14  5.73562589e+01  4.94399091e-13  8.25222209e+00  1.97759727e-12  8.25222569e+00  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  8.78623631e-15  8.79543168e+02  9.16803436e-14  5.47623328e+01  4.93706220e-13  7.87901545e+00  1.97482570e-12  7.87901892e+00  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  8.78625950e-15  8.39781201e+02  9.16774042e-14  5.22857218e+01  4.92948381e-13  7.52268714e+00  1.97179428e-12  7.52268990e+00  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  8.78628043e-15  8.01793111e+02  9.16741755e-14  4.99211209e+01  4.92119716e-13  7.18247414e+00  1.96847955e-12  7.18247641e+00  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  8.78629929e-15  7.65526936e+02  9.16706299e-14  4.76634501e+01  4.91213883e-13  6.85764701e+00  1.96485615e-12  6.85764888e+00  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  8.78631623e-15  7.30915001e+02  9.16667369e-14  4.55078808e+01  4.90224028e-13  6.54750999e+00  1.96089668e-12  6.54751204e+00  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  8.78633141e-15  6.97872576e+02  9.16624635e-14  4.34497958e+01  4.89142754e-13  6.25139882e+00  1.95657153e-12  6.25140061e+00  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  8.78634495e-15  6.66301477e+02  9.16577729e-14  4.14847666e+01  4.87962090e-13  5.96867945e+00  1.95184883e-12  5.96868087e+00  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  8.78635696e-15  6.36171227e+02  9.16526252e-14  3.96086344e+01  4.86673463e-13  5.69874594e+00  1.94669428e-12  5.69874717e+00  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  8.78636756e-15  6.07396764e+02  9.16469763e-14  3.78173311e+01  4.85267671e-13  5.44102030e+00  1.94107108e-12  5.44102135e+00  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  8.78637684e-15  5.79931704e+02  9.16407781e-14  3.61070447e+01  4.83734858e-13  5.19495017e+00  1.93493979e-12  5.19495113e+00  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  8.78638486e-15  5.53700141e+02  9.16339776e-14  3.44741095e+01  4.82064492e-13  4.96000865e+00  1.92825829e-12  4.96000951e+00  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  8.78639170e-15  5.28660053e+02  9.16265168e-14  3.29150267e+01  4.80245353e-13  4.73569228e+00  1.92098171e-12  4.73569298e+00  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  8.78639743e-15  5.04752667e+02  9.16183321e-14  3.14264404e+01  4.78265523e-13  4.52152064e+00  1.91306236e-12  4.52152129e+00  1.00070521e-09  1.65981022e+00 
 5.54193938e+08  8.78640208e-15  4.81929063e+02  9.16093537e-14  3.00051877e+01  4.76112382e-13  4.31703489e+00  1.90444978e-12  4.31703546e+00  1.00081252e-09  1.73824415e+00 
 5.80444550e+08  8.78640570e-15  4.60134218e+02  9.15995052e-14  2.86482039e+01  4.73772621e-13  4.12179700e+00  1.89509071e-12  4.12179747e+00  1.00093026e-09  1.82036548e+00 
 6.07938580e+08  8.78640833e-15  4.39325448e+02  9.15887026e-14  2.73525916e+01  4.71232261e-13  3.93538876e+00  1.88492925e-12  3.93538919e+00  1.00105946e-09  1.90634473e+00 
 6.36734925e+08  8.78640997e-15  4.19455327e+02  9.15768542e-14  2.61155689e+01  4.68476691e-13  3.75741075e+00  1.87390695e-12  3.75741111e+00  1.00120122e-09  1.99635988e+00 
