 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  2.63269115e-15  1.20365650e+01  2.38204602e-13  1.22329690e+01  2.24829642e-15  1.90546949e+01  2.04792590e-13  1.82332449e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  2.63111435e-15  1.14948804e+01  2.38051054e-13  1.16797923e+01  2.24790801e-15  1.81950037e+01  2.04733115e-13  1.74086864e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  2.62934611e-15  1.09774061e+01  2.37882802e-13  1.11516311e+01  2.24744082e-15  1.73739582e+01  2.04667870e-13  1.66214169e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  2.62737211e-15  1.04830871e+01  2.37698472e-13  1.06473546e+01  2.24689097e-15  1.65898425e+01  2.04596308e-13  1.58697505e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  2.62517646e-15  1.00109112e+01  2.37496561e-13  1.01658831e+01  2.24625388e-15  1.58410143e+01  2.04517830e-13  1.51520773e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  2.62274158e-15  9.55990743e+00  2.37275436e-13  9.70618568e+00  2.24552427e-15  1.51259019e+01  2.04431780e-13  1.44668604e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  2.62004806e-15  9.12914494e+00  2.37033313e-13  9.26727797e+00  2.24469608e-15  1.44430018e+01  2.04337441e-13  1.38126321e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  2.61707459e-15  8.71773175e+00  2.36768255e-13  8.84822012e+00  2.24376245e-15  1.37908757e+01  2.04234027e-13  1.31879912e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  2.61379781e-15  8.32481332e+00  2.36478154e-13  8.44811471e+00  2.24271568e-15  1.31681481e+01  2.04120682e-13  1.25915999e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  2.61019216e-15  7.94957125e+00  2.36160720e-13  8.06610491e+00  2.24154715e-15  1.25735035e+01  2.03996470e-13  1.20221808e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  2.60622978e-15  7.59122201e+00  2.35813466e-13  7.70137262e+00  2.24024727e-15  1.20056845e+01  2.03860366e-13  1.14785142e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  2.60188033e-15  7.24901559e+00  2.35433698e-13  7.35313672e+00  2.23880539e-15  1.14634888e+01  2.03711256e-13  1.09594356e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  2.59711086e-15  6.92223432e+00  2.35018497e-13  7.02065139e+00  2.23720978e-15  1.09457672e+01  2.03547922e-13  1.04638333e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  2.59188569e-15  6.61019155e+00  2.34564706e-13  6.70320455e+00  2.23544747e-15  1.04514213e+01  2.03369036e-13  9.99064570e+00  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  2.58616622e-15  6.31223046e+00  2.34068917e-13  6.40011628e+00  2.23350426e-15  9.97940146e+00  2.03173152e-13  9.53885916e+00  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  2.57991079e-15  6.02772290e+00  2.33527453e-13  6.11073744e+00  2.23136453e-15  9.52870459e+00  2.02958695e-13  9.10750600e+00  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  2.57307460e-15  5.75606821e+00  2.32936358e-13  5.83444822e+00  2.22901120e-15  9.09837226e+00  2.02723953e-13  8.69566226e+00  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  2.56560950e-15  5.49669213e+00  2.32291380e-13  5.57065685e+00  2.22642561e-15  8.68748874e+00  2.02467064e-13  8.30244574e+00  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  2.55746398e-15  5.24904568e+00  2.31587964e-13  5.31879830e+00  2.22358742e-15  8.29517914e+00  2.02186005e-13  7.92701417e+00  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  2.54858299e-15  5.01260414e+00  2.30821233e-13  5.07833311e+00  2.22047446e-15  7.92060768e+00  2.01878584e-13  7.56856334e+00  9.99828928e-10  7.56409403e-01 
