 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  1.04633241e-14  2.23559585e+03  1.11767705e-13  1.36375190e+02  6.19624614e-13  1.93161082e+01  2.47850605e-12  1.93161648e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  1.04635478e-14  2.13510330e+03  1.11767346e-13  1.30207790e+02  6.19464260e-13  1.84425445e+01  2.47786397e-12  1.84425938e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  1.04637517e-14  2.03819476e+03  1.11766911e-13  1.24319183e+02  6.19288409e-13  1.76084802e+01  2.47715995e-12  1.76085234e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  1.04639375e-14  1.94613410e+03  1.11766396e-13  1.18697303e+02  6.19095582e-13  1.68121465e+01  2.47638808e-12  1.68121818e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  1.04641069e-14  1.85800261e+03  1.11765796e-13  1.13329281e+02  6.18884158e-13  1.60518184e+01  2.47554188e-12  1.60518515e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  1.04642613e-14  1.77419099e+03  1.11765107e-13  1.08204246e+02  6.18652366e-13  1.53258787e+01  2.47461425e-12  1.53259092e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  1.04644019e-14  1.69387243e+03  1.11764323e-13  1.03310742e+02  6.18398267e-13  1.46327688e+01  2.47359743e-12  1.46327948e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  1.04645301e-14  1.61734890e+03  1.11763436e-13  9.86386728e+01  6.18119739e-13  1.39710070e+01  2.47248293e-12  1.39710291e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  1.04646468e-14  1.54418148e+03  1.11762439e-13  9.41779174e+01  6.17814466e-13  1.33391700e+01  2.47126149e-12  1.33391886e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  1.04647532e-14  1.47437821e+03  1.11761324e-13  8.99187774e+01  6.17479912e-13  1.27359059e+01  2.46992295e-12  1.27359227e+01  9.99690711e-10  4.76241640e-01 
