 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.72417731e-15  4.12842058e+03  5.52917055e-14  2.76198071e+02  2.84922019e-13  4.21158008e+01  1.13969568e-12  4.21161086e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.72440121e-15  3.94193381e+03  5.52918591e-14  2.63706814e+02  2.84906675e-13  4.02111442e+01  1.13963363e-12  4.02114043e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.72460531e-15  3.76387457e+03  5.52919862e-14  2.51782284e+02  2.84889803e-13  3.83926138e+01  1.13956553e-12  3.83928265e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.72479136e-15  3.59349815e+03  5.52920877e-14  2.40398403e+02  2.84871260e-13  3.66563232e+01  1.13949080e-12  3.66564816e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.72496095e-15  3.43047475e+03  5.52921645e-14  2.29524303e+02  2.84850886e-13  3.49985645e+01  1.13940879e-12  3.49987335e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.72511555e-15  3.27524757e+03  5.52922174e-14  2.19142826e+02  2.84828509e-13  3.34157667e+01  1.13931882e-12  3.34158867e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.72525647e-15  3.12902977e+03  5.52922467e-14  2.09235373e+02  2.84803937e-13  3.19045649e+01  1.13922011e-12  3.19046850e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.72538492e-15  2.98749659e+03  5.52922528e-14  1.99771915e+02  2.84776961e-13  3.04617085e+01  1.13911182e-12  3.04617994e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.72550200e-15  2.85140634e+03  5.52922356e-14  1.90738157e+02  2.84747351e-13  2.90840796e+01  1.13899303e-12  2.90841677e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.72560872e-15  2.72256970e+03  5.52921950e-14  1.82113108e+02  2.84714855e-13  2.77687701e+01  1.13886272e-12  2.77688558e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.72570600e-15  2.59942229e+03  5.52921307e-14  1.73876738e+02  2.84679196e-13  2.65129249e+01  1.13871979e-12  2.65130153e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.72579466e-15  2.48182709e+03  5.52920420e-14  1.66013618e+02  2.84640071e-13  2.53139015e+01  1.13856303e-12  2.53139586e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.72587547e-15  2.36995515e+03  5.52919284e-14  1.58506080e+02  2.84597148e-13  2.41690839e+01  1.13839110e-12  2.41691473e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.72594912e-15  2.26240281e+03  5.52917887e-14  1.51337117e+02  2.84550063e-13  2.30760415e+01  1.13820253e-12  2.30760847e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.72601623e-15  2.16047756e+03  5.52916219e-14  1.44493459e+02  2.84498415e-13  2.20324260e+01  1.13799574e-12  2.20324689e+01  9.99744103e-10  6.00204126e-01 
