 frequency       c_dasm          q_dasm          c_dalg          q_dalg          c_dpsm          q_dpsm          c_dplg          q_dplg          l_ref           q_ref          
 1.00000000e+08  2.58657757e-15  1.22583846e+01  2.26038042e-13  1.29058899e+01  2.13095540e-15  2.01605368e+01  1.93622157e-13  1.92972430e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  2.58509801e-15  1.17076414e+01  2.25907064e-13  1.23222944e+01  2.13066119e-15  1.92510413e+01  1.93571977e-13  1.84245659e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  2.58343616e-15  1.11813921e+01  2.25763519e-13  1.17650882e+01  2.13029723e-15  1.83824143e+01  1.93516919e-13  1.75913537e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  2.58157856e-15  1.06785851e+01  2.25606227e-13  1.12330785e+01  2.12986051e-15  1.75528431e+01  1.93456520e-13  1.67958220e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  2.57951022e-15  1.01982091e+01  2.25433900e-13  1.07251265e+01  2.12934737e-15  1.67605925e+01  1.93390274e-13  1.60362670e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  2.57721454e-15  9.73929267e+00  2.25245135e-13  1.02401449e+01  2.12875356e-15  1.60040017e+01  1.93317624e-13  1.53110621e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  2.57467318e-15  9.30090260e+00  2.25038401e-13  9.77709535e+00  2.12807414e-15  1.52814816e+01  1.93237963e-13  1.46186540e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  2.57186597e-15  8.88214337e+00  2.24812031e-13  9.33498642e+00  2.12730345e-15  1.45915121e+01  1.93150628e-13  1.39575597e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  2.56877079e-15  8.48215584e+00  2.24564211e-13  8.91287153e+00  2.12643513e-15  1.39326390e+01  1.93054890e-13  1.33263634e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  2.56536342e-15  8.10011619e+00  2.24292968e-13  8.50984685e+00  2.12546199e-15  1.33034718e+01  1.92949956e-13  1.27237131e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  2.56161743e-15  7.73523479e+00  2.23996159e-13  8.12504938e+00  2.12437602e-15  1.27026809e+01  1.92834959e-13  1.21483181e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  2.55750402e-15  7.38675503e+00  2.23671455e-13  7.75765514e+00  2.12316828e-15  1.21289950e+01  1.92708949e-13  1.15989457e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  2.55299190e-15  7.05395221e+00  2.23316333e-13  7.40687736e+00  2.12182888e-15  1.15811991e+01  1.92570894e-13  1.10744195e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  2.54804713e-15  6.73613236e+00  2.22928059e-13  7.07196486e+00  2.12034691e-15  1.10581316e+01  1.92419665e-13  1.05736158e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  2.54263297e-15  6.43263118e+00  2.22503677e-13  6.75220039e+00  2.11871031e-15  1.05586825e+01  1.92254031e-13  1.00954620e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  2.53670977e-15  6.14281289e+00  2.22039992e-13  6.44689914e+00  2.11690586e-15  1.00817907e+01  1.92072651e-13  9.63893387e+00  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  2.53023480e-15  5.86606915e+00  2.21533560e-13  6.15540726e+00  2.11491905e-15  9.62644277e+00  1.91874066e-13  9.20305348e+00  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  2.52316213e-15  5.60181800e+00  2.20980670e-13  5.87710044e+00  2.11273400e-15  9.19166995e+00  1.91656687e-13  8.78688720e+00  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  2.51544254e-15  5.34950284e+00  2.20377337e-13  5.61138263e+00  2.11033333e-15  8.77654688e+00  1.91418788e-13  8.38954357e+00  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  2.50702340e-15  5.10859138e+00  2.19719285e-13  5.35768470e+00  2.10769813e-15  8.38018945e+00  1.91158491e-13  8.01017148e+00  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  2.49784862e-15  4.87857472e+00  2.19001939e-13  5.11546327e+00  2.10480778e-15  8.00175308e+00  1.90873762e-13  7.64795827e+00  9.99851134e-10  7.92220778e-01 
