 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  5.56560053e-15  4.24564154e+03  5.34450837e-14  2.85720180e+02  2.74111064e-13  4.37769850e+01  1.09645186e-12  4.37772682e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.56582443e-15  4.05257465e+03  5.34452441e-14  2.72799276e+02  2.74097425e-13  4.17972556e+01  1.09639663e-12  4.17975505e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.56602854e-15  3.86987163e+03  5.34453786e-14  2.60462273e+02  2.74082424e-13  3.99070166e+01  1.09633601e-12  3.99072579e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.56621459e-15  3.69561703e+03  5.34454883e-14  2.48686321e+02  2.74065931e-13  3.81021955e+01  1.09626948e-12  3.81023955e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.56638419e-15  3.52875771e+03  5.34455742e-14  2.37440881e+02  2.74047807e-13  3.63790523e+01  1.09619648e-12  3.63792468e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.56653878e-15  3.36908653e+03  5.34456369e-14  2.26698480e+02  2.74027897e-13  3.47338079e+01  1.09611637e-12  3.47339822e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.56667971e-15  3.21632211e+03  5.34456770e-14  2.16448378e+02  2.74006031e-13  3.31630182e+01  1.09602848e-12  3.31631194e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.56680816e-15  3.07105487e+03  5.34456949e-14  2.06660078e+02  2.73982022e-13  3.16632244e+01  1.09593206e-12  3.16633374e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.56692525e-15  2.93285399e+03  5.34456907e-14  1.97314820e+02  2.73955666e-13  3.02312912e+01  1.09582629e-12  3.02313745e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.56703198e-15  2.79996577e+03  5.34456643e-14  1.88391374e+02  2.73926738e-13  2.88640659e+01  1.09571026e-12  2.88641515e+01  9.99690711e-10  4.76241640e-01 
