 frequency       c_small         q_small         c_mid           q_mid           c_large         q_large         c_xlarge        q_xlarge        l_ref           q_ref          
 1.00000000e+08  8.63261983e-15  2.71745267e+03  8.99439650e-14  1.69545642e+02  4.90510003e-13  2.44276025e+01  1.96204761e-12  2.44277095e+01  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  8.63284365e-15  2.59470979e+03  8.99438855e-14  1.61878691e+02  4.90430655e-13  2.33228843e+01  1.96172955e-12  2.33229682e+01  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  8.63304766e-15  2.47785652e+03  8.99437568e-14  1.54557951e+02  4.90343601e-13  2.22681082e+01  1.96138072e-12  2.22681805e+01  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  8.63323362e-15  2.36579198e+03  8.99435778e-14  1.47568125e+02  4.90248101e-13  2.12610431e+01  1.96099816e-12  2.12611055e+01  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  8.63340310e-15  2.25832585e+03  8.99433469e-14  1.40895112e+02  4.90143349e-13  2.02995228e+01  1.96057864e-12  2.02995776e+01  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  8.63355758e-15  2.15659246e+03  8.99430622e-14  1.34523558e+02  4.90028458e-13  1.93814760e+01  1.96011862e-12  1.93815233e+01  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  8.63369837e-15  2.05911631e+03  8.99427212e-14  1.28439629e+02  4.89902459e-13  1.85049549e+01  1.95961420e-12  1.85049953e+01  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  8.63382668e-15  1.96587891e+03  8.99423210e-14  1.22630982e+02  4.89764289e-13  1.76680721e+01  1.95906113e-12  1.76681089e+01  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  8.63394361e-15  1.87702222e+03  8.99418582e-14  1.17085234e+02  4.89612786e-13  1.68690383e+01  1.95845477e-12  1.68690689e+01  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  8.63405016e-15  1.79224708e+03  8.99413288e-14  1.11790183e+02  4.89446677e-13  1.61061415e+01  1.95779001e-12  1.61061699e+01  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  8.63414725e-15  1.71102151e+03  8.99407283e-14  1.06734762e+02  4.89264568e-13  1.53777439e+01  1.95706128e-12  1.53777656e+01  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  8.63423571e-15  1.63373530e+03  8.99400515e-14  1.01907569e+02  4.89064937e-13  1.46822830e+01  1.95626249e-12  1.46823048e+01  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  8.63431629e-15  1.55979818e+03  8.99392926e-14  9.72991863e+01  4.88846117e-13  1.40182828e+01  1.95538697e-12  1.40183009e+01  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  8.63438970e-15  1.48926885e+03  8.99384451e-14  9.28988511e+01  4.88606287e-13  1.33843093e+01  1.95442743e-12  1.33843242e+01  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  8.63445654e-15  1.42200242e+03  8.99375018e-14  8.86975301e+01  4.88343455e-13  1.27790044e+01  1.95337590e-12  1.27790184e+01  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  8.63451741e-15  1.35766418e+03  8.99364546e-14  8.46861061e+01  4.88055447e-13  1.22010757e+01  1.95222369e-12  1.22010877e+01  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  8.63457283e-15  1.29629795e+03  8.99352945e-14  8.08563667e+01  4.87739888e-13  1.16492822e+01  1.95096128e-12  1.16492926e+01  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  8.63462325e-15  1.23772715e+03  8.99340116e-14  7.71995916e+01  4.87394186e-13  1.11224446e+01  1.94957832e-12  1.11224535e+01  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  8.63466913e-15  1.18166697e+03  8.99325949e-14  7.37083246e+01  4.87015512e-13  1.06194328e+01  1.94806348e-12  1.06194399e+01  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  8.63471085e-15  1.12830868e+03  8.99310323e-14  7.03748474e+01  4.86600782e-13  1.01391696e+01  1.94640444e-12  1.01391765e+01  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  8.63474878e-15  1.07724675e+03  8.99293103e-14  6.71921827e+01  4.86146637e-13  9.68062668e+00  1.94458774e-12  9.68063274e+00  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  8.63478322e-15  1.02852976e+03  8.99274142e-14  6.41534974e+01  4.85649417e-13  9.24282078e+00  1.94259876e-12  9.24282586e+00  9.99875496e-10  8.29725813e-01 
