 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.74255944e+08  5.43073022e-13  3.05780852e+04  1.65896381e-12  1.00099632e+04  3.38221342e-12  4.90985425e+03  5.43079960e-13  5.48235225e+03  1.65903700e-12  2.11692579e+03  3.38259782e-12  9.73221786e+02  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.43073096e-13  2.91951958e+04  1.65896388e-12  9.55726315e+03  3.38221348e-12  4.68780612e+03  5.43080609e-13  5.23436332e+03  1.65904407e-12  2.02114975e+03  3.38263507e-12  9.29180794e+02  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.43073163e-13  2.78748454e+04  1.65896395e-12  9.12503600e+03  3.38221353e-12  4.47580012e+03  5.43081308e-13  4.99758723e+03  1.65905181e-12  1.92970337e+03  3.38267591e-12  8.87130275e+02  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.43073224e-13  2.66142064e+04  1.65896401e-12  8.71235660e+03  3.38221358e-12  4.27338210e+03  5.43082062e-13  4.77151677e+03  1.65906030e-12  1.84239075e+03  3.38272071e-12  8.46980149e+02  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.43073280e-13  2.54105824e+04  1.65896406e-12  8.31834037e+03  3.38221361e-12  4.08011840e+03  5.43082878e-13  4.55566767e+03  1.65906959e-12  1.75902486e+03  3.38276984e-12  8.08644408e+02  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.43073331e-13  2.42613917e+04  1.65896411e-12  7.94214360e+03  3.38221364e-12  3.89559506e+03  5.43083763e-13  4.34957757e+03  1.65907978e-12  1.67942711e+03  3.38282372e-12  7.72040930e+02  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  5.43073377e-13  2.31641697e+04  1.65896415e-12  7.58296021e+03  3.38221367e-12  3.71941678e+03  5.43084724e-13  4.15280499e+03  1.65909094e-12  1.60342700e+03  3.38288282e-12  7.37091304e+02  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  5.43073420e-13  2.21165730e+04  1.65896419e-12  7.24002099e+03  3.38221369e-12  3.55120614e+03  5.43085769e-13  3.96492840e+03  1.65910318e-12  1.53086171e+03  3.38294765e-12  7.03720664e+02  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  5.43073458e-13  2.11163523e+04  1.65896423e-12  6.91259107e+03  3.38221370e-12  3.39060285e+03  5.43086908e-13  3.78554536e+03  1.65911660e-12  1.46157580e+03  3.38301876e-12  6.71857523e+02  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  5.43073493e-13  2.01613653e+04  1.65896426e-12  6.59996923e+03  3.38221371e-12  3.23726282e+03  5.43088151e-13  3.61427161e+03  1.65913131e-12  1.39542086e+03  3.38309675e-12  6.41433625e+02  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  5.43073525e-13  1.92495686e+04  1.65896429e-12  6.30148569e+03  3.38221371e-12  3.09085760e+03  5.43089507e-13  3.45074026e+03  1.65914744e-12  1.33225516e+03  3.38318231e-12  6.12383799e+02  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  5.43073554e-13  1.83790074e+04  1.65896432e-12  6.01650099e+03  3.38221370e-12  2.95107355e+03  5.43090989e-13  3.29460099e+03  1.65916514e-12  1.27194339e+03  3.38327617e-12  5.84645814e+02  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  5.43073581e-13  1.75478180e+04  1.65896434e-12  5.74440477e+03  3.38221369e-12  2.81761124e+03  5.43092610e-13  3.14551931e+03  1.65918454e-12  1.21435637e+03  3.38337913e-12  5.58160252e+02  9.99963703e-10  9.53219997e-01 
