 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.00000000e+08  6.63043457e-13  4.36427482e+04  2.02637678e-12  1.42802612e+04  4.13203761e-12  7.00313725e+03  6.63047370e-13  7.82522973e+03  2.02641321e-12  3.02040055e+03  4.13222668e-12  1.38841607e+03  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.63043681e-13  4.16690203e+04  2.02637700e-12  1.36344379e+04  4.13203782e-12  6.68642065e+03  6.63047876e-13  7.47131196e+03  2.02641687e-12  2.88378440e+03  4.13224514e-12  1.32561122e+03  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.63043885e-13  3.97845580e+04  2.02637720e-12  1.30178213e+04  4.13203802e-12  6.38402746e+03  6.63048390e-13  7.13339872e+03  2.02642084e-12  2.75334579e+03  4.13226534e-12  1.26564607e+03  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.63044071e-13  3.79853073e+04  2.02637739e-12  1.24290913e+04  4.13203820e-12  6.09531003e+03  6.63048916e-13  6.81076603e+03  2.02642516e-12  2.62880529e+03  4.13228747e-12  1.20839215e+03  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.63044241e-13  3.62674301e+04  2.02637756e-12  1.18669867e+04  4.13203836e-12  5.81964976e+03  6.63049459e-13  6.50272297e+03  2.02642986e-12  2.50989614e+03  4.13231170e-12  1.15372681e+03  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.63044395e-13  3.46272448e+04  2.02637771e-12  1.13303030e+04  4.13203850e-12  5.55645626e+03  6.63050022e-13  6.20860957e+03  2.02643499e-12  2.39636360e+03  4.13233826e-12  1.10153296e+03  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.63044536e-13  3.30612296e+04  2.02637785e-12  1.08178906e+04  4.13203863e-12  5.30516561e+03  6.63050612e-13  5.92779595e+03  2.02644059e-12  2.28796448e+03  4.13236736e-12  1.05169879e+03  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.63044665e-13  3.15660424e+04  2.02637798e-12  1.03286518e+04  4.13203874e-12  5.06523960e+03  6.63051233e-13  5.65968048e+03  2.02644670e-12  2.18446656e+03  4.13239926e-12  1.00411754e+03  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.63044782e-13  3.01384717e+04  2.02637809e-12  9.86153913e+03  4.13203884e-12  4.83616424e+03  6.63051890e-13  5.40368892e+03  2.02645338e-12  2.08564815e+03  4.13243423e-12  9.58687284e+02  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.63044888e-13  2.87754666e+04  2.02637820e-12  9.41555144e+03  4.13203893e-12  4.61744874e+03  6.63052589e-13  5.15927282e+03  2.02646069e-12  1.99129755e+03  4.13247257e-12  9.15310711e+02  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.63044986e-13  2.74740951e+04  2.02637829e-12  8.98973346e+03  4.13203901e-12  4.40862468e+03  6.63053336e-13  4.92590873e+03  2.02646869e-12  1.90121266e+03  4.13251461e-12  8.73894896e+02  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.63045074e-13  2.62315857e+04  2.02637838e-12  8.58317304e+03  4.13203908e-12  4.20924466e+03  6.63054137e-13  4.70309668e+03  2.02647745e-12  1.81520050e+03  4.13256071e-12  8.34351120e+02  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.63045155e-13  2.50452646e+04  2.02637846e-12  8.19499926e+03  4.13203914e-12  4.01888160e+03  6.63055000e-13  4.49035941e+03  2.02648704e-12  1.73307681e+03  4.13261126e-12  7.96594674e+02  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.63045229e-13  2.39125965e+04  2.02637853e-12  7.82438067e+03  4.13203919e-12  3.83712770e+03  6.63055931e-13  4.28724122e+03  2.02649754e-12  1.65466567e+03  4.13266671e-12  7.60544677e+02  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.63045296e-13  2.28311506e+04  2.02637859e-12  7.47052307e+03  4.13203923e-12  3.66359361e+03  6.63056939e-13  4.09330698e+03  2.02650905e-12  1.57979913e+03  4.13272751e-12  7.26123904e+02  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.63045357e-13  2.17986137e+04  2.02637865e-12  7.13266881e+03  4.13203926e-12  3.49790760e+03  6.63058033e-13  3.90814129e+03  2.02652167e-12  1.50831679e+03  4.13279421e-12  6.93258620e+02  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  6.63045413e-13  2.08127733e+04  2.02637870e-12  6.81009395e+03  4.13203928e-12  3.33971473e+03  6.63059221e-13  3.73134749e+03  2.02653549e-12  1.44006554e+03  4.13286736e-12  6.61878422e+02  9.99773413e-10  6.58391420e-01 
