 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.00000000e+08  6.03057390e-13  4.79838521e+04  1.84266945e-12  1.57039467e+04  3.75712471e-12  7.70195970e+03  6.03060801e-13  8.60360282e+03  1.84269976e-12  3.32152794e+03  3.75728136e-12  1.52696843e+03  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.03057614e-13  4.58138036e+04  1.84266967e-12  1.49937370e+04  3.75712493e-12  7.35363888e+03  6.03061258e-13  8.21448154e+03  1.84270283e-12  3.17129199e+03  3.75729667e-12  1.45789678e+03  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.03057818e-13  4.37418928e+04  1.84266988e-12  1.43156466e+04  3.75712513e-12  7.02107079e+03  6.03061719e-13  7.84295672e+03  1.84270615e-12  3.02784945e+03  3.75731343e-12  1.39194820e+03  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.03058004e-13  4.17636707e+04  1.84267006e-12  1.36682228e+04  3.75712531e-12  6.70354310e+03  6.03062186e-13  7.48823248e+03  1.84270976e-12  2.89089306e+03  3.75733177e-12  1.32898141e+03  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.03058174e-13  3.98749272e+04  1.84267023e-12  1.30500784e+04  3.75712547e-12  6.40037563e+03  6.03062665e-13  7.14954880e+03  1.84271368e-12  2.76012943e+03  3.75735186e-12  1.26886154e+03  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.03058329e-13  3.80715836e+04  1.84267039e-12  1.24598896e+04  3.75712561e-12  6.11091876e+03  6.03063158e-13  6.82618056e+03  1.84271795e-12  2.63527846e+03  3.75737386e-12  1.21145978e+03  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.03058470e-13  3.63498124e+04  1.84267052e-12  1.18963923e+04  3.75712575e-12  5.83455266e+03  6.03063670e-13  6.51743492e+03  1.84272260e-12  2.51607270e+03  3.75739797e-12  1.15665318e+03  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.03058598e-13  3.47058993e+04  1.84267065e-12  1.13583783e+04  3.75712586e-12  5.57068512e+03  6.03064206e-13  6.22265047e+03  1.84272768e-12  2.40225678e+03  3.75742440e-12  1.10432434e+03  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.03058715e-13  3.31363276e+04  1.84267077e-12  1.08446962e+04  3.75712597e-12  5.31875097e+03  6.03064770e-13  5.94119590e+03  1.84273323e-12  2.29358691e+03  3.75745336e-12  1.05436115e+03  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.03058822e-13  3.16377402e+04  1.84267087e-12  1.03542453e+04  3.75712606e-12  5.07821055e+03  6.03065367e-13  5.67246823e+03  1.84273930e-12  2.18983030e+03  3.75748511e-12  1.00665660e+03  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.03058919e-13  3.02069328e+04  1.84267097e-12  9.88597495e+03  3.75712615e-12  4.84854855e+03  6.03066002e-13  5.41589181e+03  1.84274593e-12  2.09076468e+03  3.75751992e-12  9.61108478e+02  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.03059008e-13  2.88408236e+04  1.84267106e-12  9.43888209e+03  3.75712622e-12  4.62927297e+03  6.03066680e-13  5.17091713e+03  1.84275320e-12  1.99617784e+03  3.75755808e-12  9.17619224e+02  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.03059089e-13  2.75365028e+04  1.84267113e-12  9.01200870e+03  3.75712628e-12  4.41991415e+03  6.03067408e-13  4.93701929e+03  1.84276114e-12  1.90586716e+03  3.75759994e-12  8.76095674e+02  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.03059162e-13  2.62911684e+04  1.84267121e-12  8.60444097e+03  3.75712634e-12  4.22002355e+03  6.03068191e-13  4.71369736e+03  1.84276985e-12  1.81963918e+03  3.75764583e-12  8.36448879e+02  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.03059230e-13  2.51021516e+04  1.84267127e-12  8.21530536e+03  3.75712639e-12  4.02917299e+03  6.03069037e-13  4.50047292e+03  1.84277938e-12  1.73730919e+03  3.75769617e-12  7.98593908e+02  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.03059291e-13  2.39669082e+04  1.84267133e-12  7.84376828e+03  3.75712642e-12  3.84695366e+03  6.03069953e-13  4.29688924e+03  1.84278983e-12  1.65870082e+03  3.75775138e-12  7.62449669e+02  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  6.03059346e-13  2.28830078e+04  1.84267138e-12  7.48903404e+03  3.75712646e-12  3.67297520e+03  6.03070945e-13  4.10251019e+03  1.84280128e-12  1.58364568e+03  3.75781193e-12  7.27938737e+02  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  6.03059397e-13  2.18481249e+04  1.84267143e-12  7.15034258e+03  3.75712648e-12  3.50686489e+03  6.03072024e-13  3.91691939e+03  1.84281382e-12  1.51198300e+03  3.75787834e-12  6.94987181e+02  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  6.03059444e-13  2.08600448e+04  1.84267147e-12  6.82696837e+03  3.75712650e-12  3.34826692e+03  6.03073198e-13  3.73971931e+03  1.84282758e-12  1.44355925e+03  3.75795119e-12  6.63524415e+02  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  6.03059486e-13  1.99166491e+04  1.84267151e-12  6.51821875e+03  3.75712651e-12  3.19684154e+03  6.03074477e-13  3.57053033e+03  1.84284266e-12  1.37822786e+03  3.75803109e-12  6.33483040e+02  9.99828928e-10  7.56409403e-01 
 2.52336071e+08  6.03059524e-13  1.90159208e+04  1.84267155e-12  6.22343245e+03  3.75712651e-12  3.05226438e+03  6.03075872e-13  3.40899004e+03  1.84285920e-12  1.31584889e+03  3.75811874e-12  6.04798704e+02  9.99851134e-10  7.92220778e-01 
 2.64288522e+08  6.03059559e-13  1.81559267e+04  1.84267158e-12  5.94197770e+03  3.75712650e-12  2.91422572e+03  6.03077396e-13  3.25475239e+03  1.84287733e-12  1.25628871e+03  3.75821489e-12  5.77409958e+02  9.99875496e-10  8.29725813e-01 
 2.76807128e+08  6.03059591e-13  1.73348248e+04  1.84267160e-12  5.67325180e+03  3.75712649e-12  2.78242985e+03  6.03079060e-13  3.10748698e+03  1.84289721e-12  1.19941973e+03  3.75832036e-12  5.51258133e+02  9.99902221e-10  8.69004342e-01 
 2.89918705e+08  6.03059620e-13  1.65508586e+04  1.84267163e-12  5.41667900e+03  3.75712648e-12  2.65659444e+03  6.03080880e-13  2.96687836e+03  1.84291902e-12  1.14512012e+03  3.75843605e-12  5.26287207e+02  9.99931539e-10  9.10139921e-01 
 3.03651341e+08  6.03059647e-13  1.58023464e+04  1.84267165e-12  5.17170971e+03  3.75712645e-12  2.53644994e+03  6.03082871e-13  2.83262530e+03  1.84294294e-12  1.09327357e+03  3.75856297e-12  5.02443689e+02  9.99963703e-10  9.53219997e-01 
 3.18034453e+08  6.03059671e-13  1.50876858e+04  1.84267167e-12  4.93781915e+03  3.75712642e-12  2.42173898e+03  6.03085051e-13  2.70444023e+03  1.84296917e-12  1.04376902e+03  3.75870220e-12  4.79676502e+02  9.99998988e-10  9.98336084e-01 
 3.33098852e+08  6.03059692e-13  1.44053455e+04  1.84267168e-12  4.71450626e+03  3.75712638e-12  2.31221582e+03  6.03087437e-13  2.58204855e+03  1.84299794e-12  9.96500421e+02  3.75885494e-12  4.57936877e+02  1.00003770e-09  1.04558394e+00 
 3.48876811e+08  6.03059712e-13  1.37538638e+04  1.84267169e-12  4.50129270e+03  3.75712633e-12  2.20764584e+03  6.03090051e-13  2.46518809e+03  1.84302950e-12  9.51366514e+02  3.75902249e-12  4.37178243e+02  1.00008017e-09  1.09506376e+00 
 3.65402126e+08  6.03059730e-13  1.31318455e+04  1.84267170e-12  4.29772173e+03  3.75712627e-12  2.10780504e+03  6.03092914e-13  2.35360850e+03  1.84306412e-12  9.08270616e+02  3.75920631e-12  4.17356133e+02  1.00012676e-09  1.14688036e+00 
 3.82710200e+08  6.03059747e-13  1.25379581e+04  1.84267171e-12  4.10335725e+03  3.75712621e-12  2.01247954e+03  6.03096051e-13  2.24707077e+03  1.84310209e-12  8.67120412e+02  3.75940797e-12  3.98428087e+02  1.00017787e-09  1.20114341e+00 
 4.00838108e+08  6.03059762e-13  1.19709289e+04  1.84267171e-12  3.91778291e+03  3.75712613e-12  1.92146514e+03  6.03099490e-13  2.14534668e+03  1.84314374e-12  8.27827752e+02  3.75962920e-12  3.80353559e+02  1.00023394e-09  1.25796759e+00 
 4.19824685e+08  6.03059775e-13  1.14295439e+04  1.84267172e-12  3.74060115e+03  3.75712605e-12  1.83456686e+03  6.03103259e-13  2.04821832e+03  1.84318943e-12  7.90308466e+02  3.75987190e-12  3.63093832e+02  1.00029547e-09  1.31747285e+00 
 4.39710602e+08  6.03059788e-13  1.09126428e+04  1.84267172e-12  3.57143245e+03  3.75712595e-12  1.75159856e+03  6.03107391e-13  1.95547763e+03  1.84323955e-12  7.54482185e+02  3.76013818e-12  3.46611933e+02  1.00036296e-09  1.37978463e+00 
 4.60538460e+08  6.03059799e-13  1.04191187e+04  1.84267171e-12  3.40991439e+03  3.75712585e-12  1.67238249e+03  6.03111922e-13  1.86692594e+03  1.84329453e-12  7.20272164e+02  3.76043030e-12  3.30872560e+02  1.00043702e-09  1.44503406e+00 
 4.82352874e+08  6.03059809e-13  9.94791423e+03  1.84267171e-12  3.25570098e+03  3.75712573e-12  1.59674898e+03  6.03116890e-13  1.78237357e+03  1.84335485e-12  6.87605125e+02  3.76075080e-12  3.15841997e+02  1.00051826e-09  1.51335822e+00 
 5.05200577e+08  6.03059818e-13  9.49801971e+03  1.84267170e-12  3.10846189e+03  3.75712559e-12  1.52453599e+03  6.03122337e-13  1.70163939e+03  1.84342101e-12  6.56411091e+02  3.76110243e-12  3.01488051e+02  1.00060740e-09  1.58490037e+00 
 5.29130511e+08  6.03059826e-13  9.06847182e+03  1.84267169e-12  2.96788167e+03  3.75712545e-12  1.45558884e+03  6.03128311e-13  1.62455046e+03  1.84349359e-12  6.26623245e+02  3.76148822e-12  2.87779975e+02  1.00070521e-09  1.65981022e+00 
 5.54193938e+08  6.03059833e-13  8.65835016e+03  1.84267168e-12  2.83365920e+03  3.75712528e-12  1.38975982e+03  6.03134863e-13  1.55094166e+03  1.84357321e-12  5.98177781e+02  3.76191149e-12  2.74688409e+02  1.00081252e-09  1.73824415e+00 
 5.80444550e+08  6.03059840e-13  8.26677624e+03  1.84267166e-12  2.70550694e+03  3.75712510e-12  1.32690791e+03  6.03142048e-13  1.48065529e+03  1.84366055e-12  5.71013770e+02  3.76237590e-12  2.62185314e+02  1.00093026e-09  1.82036548e+00 
 6.07938580e+08  6.03059845e-13  7.89291118e+03  1.84267165e-12  2.58315036e+03  3.75712490e-12  1.26689849e+03  6.03149929e-13  1.41354081e+03  1.84375638e-12  5.45073029e+02  3.76288546e-12  2.50243911e+02  1.00105946e-09  1.90634473e+00 
 6.36734925e+08  6.03059851e-13  7.53595434e+03  1.84267163e-12  2.46632736e+03  3.75712468e-12  1.20960299e+03  6.03158573e-13  1.34945444e+03  1.84386149e-12  5.20299995e+02  3.76344457e-12  2.38838625e+02  1.00120122e-09  1.99635988e+00 
 6.66895272e+08  6.03059855e-13  7.19514080e+03  1.84267160e-12  2.35478769e+03  3.75712444e-12  1.15489868e+03  6.03168055e-13  1.28825892e+03  1.84397682e-12  4.96641611e+02  3.76405805e-12  2.27945033e+02  1.00135677e-09  2.09059664e+00 
 6.98484230e+08  6.03059859e-13  6.86974046e+03  1.84267158e-12  2.24829239e+03  3.75712417e-12  1.10266838e+03  6.03178454e-13  1.22982316e+03  1.84410333e-12  4.74047206e+02  3.76473121e-12  2.17539807e+02  1.00152747e-09  2.18924870e+00 
 7.31569468e+08  6.03059862e-13  6.55905643e+03  1.84267154e-12  2.14661334e+03  3.75712387e-12  1.05280019e+03  6.03189861e-13  1.17402200e+03  1.84424212e-12  4.52468391e+02  3.76546988e-12  2.07600666e+02  1.00171479e-09  2.29251798e+00 
 7.66221861e+08  6.03059865e-13  6.26242312e+03  1.84267151e-12  2.04953273e+03  3.75712355e-12  1.00518729e+03  6.03202373e-13  1.12073591e+03  1.84439439e-12  4.31858955e+02  3.76628046e-12  1.98106330e+02  1.00192035e-09  2.40061489e+00 
 8.02515641e+08  6.03059867e-13  5.97920495e+03  1.84267147e-12  1.95684259e+03  3.75712319e-12  9.59727680e+02  6.03216098e-13  1.06985076e+03  1.84456145e-12  4.12174764e+02  3.76716998e-12  1.89036474e+02  1.00214595e-09  2.51375859e+00 
 8.40528555e+08  6.03059869e-13  5.70879539e+03  1.84267143e-12  1.86834437e+03  3.75712280e-12  9.16323985e+02  6.03231153e-13  1.02125757e+03  1.84474472e-12  3.93373670e+02  3.76814617e-12  1.80371682e+02  1.00239354e-09  2.63217719e+00 
 8.80342035e+08  6.03059871e-13  5.45061505e+03  1.84267138e-12  1.78384847e+03  3.75712237e-12  8.74883222e+02  6.03247667e-13  9.74852250e+02  1.84494579e-12  3.75415419e+02  3.76921750e-12  1.72093410e+02  1.00266528e-09  2.75610798e+00 
 9.22041367e+08  6.03059872e-13  5.20411095e+03  1.84267133e-12  1.70317390e+03  3.75712190e-12  8.35316618e+02  6.03265782e-13  9.30535426e+02  1.84516640e-12  3.58261564e+02  3.77039330e-12  1.64183944e+02  1.00296355e-09  2.88579760e+00 
 9.65715880e+08  6.03059872e-13  4.96875499e+03  1.84267127e-12  1.62614785e+03  3.75712138e-12  7.97539414e+02  6.03285653e-13  8.88212187e+02  1.84540843e-12  3.41875388e+02  3.77168382e-12  1.56626362e+02  1.00329094e-09  3.02150224e+00 
 1.01145913e+09  6.03059872e-13  4.74404299e+03  1.84267120e-12  1.55260529e+03  3.75712081e-12  7.61470685e+02  6.03307450e-13  8.47791901e+02  1.84567399e-12  3.26221819e+02  3.77310034e-12  1.49404499e+02  1.00365033e-09  3.16348776e+00 
 1.05936911e+09  6.03059872e-13  4.52949360e+03  1.84267113e-12  1.48238870e+03  3.75712018e-12  7.27033164e+02  6.03331360e-13  8.09188016e+02  1.84596535e-12  3.11267362e+02  3.77465523e-12  1.42502915e+02  1.00404487e-09  3.31202975e+00 
 1.10954846e+09  6.03059871e-13  4.32464722e+03  1.84267105e-12  1.41534765e+03  3.75711949e-12  6.94153081e+02  6.03357588e-13  7.72317876e+02  1.84628503e-12  2.96980022e+02  3.77636213e-12  1.35906857e+02  1.00447803e-09  3.46741361e+00 
 1.16210465e+09  6.03059870e-13  4.12906501e+03  1.84267096e-12  1.35133854e+03  3.75711874e-12  6.62759999e+02  6.03386358e-13  7.37102545e+02  1.84663579e-12  2.83329242e+02  3.77823603e-12  1.29602233e+02  1.00495362e-09  3.62993450e+00 
 1.21715029e+09  6.03059868e-13  3.94232800e+03  1.84267087e-12  1.29022424e+03  3.75711791e-12  6.32786670e+02  6.03417918e-13  7.03466639e+02  1.84702067e-12  2.70285833e+02  3.78029343e-12  1.23575580e+02  1.00547586e-09  3.79989726e+00 
 1.27480328e+09  6.03059866e-13  3.76403619e+03  1.84267076e-12  1.23187383e+03  3.75711700e-12  6.04168886e+02  6.03452538e-13  6.71338165e+02  1.84744298e-12  2.57821916e+02  3.78255247e-12  1.17814039e+02  1.00604936e-09  3.97761623e+00 
 1.33518714e+09  6.03059863e-13  3.59380761e+03  1.84267065e-12  1.17616232e+03  3.75711600e-12  5.76845340e+02  6.03490513e-13  6.40648367e+02  1.84790639e-12  2.45910863e+02  3.78503315e-12  1.12305321e+02  1.00667923e-09  4.16341492e+00 
 1.39843121e+09  6.03059860e-13  3.43127762e+03  1.84267052e-12  1.12297037e+03  3.75711491e-12  5.50757503e+02  6.03532170e-13  6.11331582e+02  1.84841491e-12  2.34527238e+02  3.78775749e-12  1.07037692e+02  1.00737110e-09  4.35762568e+00 
 1.46467097e+09  6.03059856e-13  3.27609805e+03  1.84267038e-12  1.07218402e+03  3.75711371e-12  5.25849488e+02  6.03577865e-13  5.83325101e+02  1.84897294e-12  2.23646750e+02  3.79074977e-12  1.01999940e+02  1.00813115e-09  4.56058905e+00 
 1.53404832e+09  6.03059851e-13  3.12793648e+03  1.84267022e-12  1.02369449e+03  3.75711239e-12  5.02067939e+02  6.03627990e-13  5.56569032e+02  1.84958534e-12  2.13246195e+02  3.79403672e-12  9.71813557e+01  1.00896624e-09  4.77265312e+00 
 1.60671189e+09  6.03059846e-13  2.98647553e+03  1.84267005e-12  9.77397891e+02  3.75711095e-12  4.79361910e+02  6.03682974e-13  5.31006179e+02  1.85025742e-12  2.03303415e+02  3.79764786e-12  9.25717124e+01  1.00988390e-09  4.99417253e+00 
 1.68281732e+09  6.03059841e-13  2.85141213e+03  1.84266987e-12  9.33195060e+02  3.75710936e-12  4.57682762e+02  6.03743288e-13  5.06581917e+02  1.85099502e-12  1.93797247e+02  3.80161573e-12  8.81612430e+01  1.01089247e-09  5.22550735e+00 
