 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.00000000e+08  6.03421862e-13  4.79548804e+04  1.84378311e-12  1.56944616e+04  3.75939541e-12  7.69730768e+03  6.03425275e-13  8.59840631e+03  1.84381345e-12  3.31952169e+03  3.75955224e-12  1.52604609e+03  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.03422086e-13  4.57861342e+04  1.84378333e-12  1.49846811e+04  3.75939563e-12  7.34919725e+03  6.03425733e-13  8.20951998e+03  1.84381652e-12  3.16937648e+03  3.75956757e-12  1.45701616e+03  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.03422290e-13  4.37154729e+04  1.84378353e-12  1.43070010e+04  3.75939582e-12  7.01683004e+03  6.03426194e-13  7.83821955e+03  1.84381985e-12  3.02602058e+03  3.75958435e-12  1.39110742e+03  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.03422476e-13  4.17384547e+04  1.84378372e-12  1.36599672e+04  3.75939600e-12  6.69949422e+03  6.03426662e-13  7.48370943e+03  1.84382346e-12  2.88914690e+03  3.75960271e-12  1.32817866e+03  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.03422646e-13  3.98508388e+04  1.84378389e-12  1.30421961e+04  3.75939616e-12  6.39650973e+03  6.03427140e-13  7.14523052e+03  1.84382739e-12  2.75846226e+03  3.75962283e-12  1.26809509e+03  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.03422800e-13  3.80485894e+04  1.84378404e-12  1.24523637e+04  3.75939631e-12  6.10722779e+03  6.03427634e-13  6.82205748e+03  1.84383166e-12  2.63368670e+03  3.75964486e-12  1.21072800e+03  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.03422941e-13  3.63278487e+04  1.84378418e-12  1.18892065e+04  3.75939644e-12  5.83102851e+03  6.03428147e-13  6.51349830e+03  1.84383632e-12  2.51455293e+03  3.75966900e-12  1.15595451e+03  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.03423070e-13  3.46849309e+04  1.84378431e-12  1.13515175e+04  3.75939656e-12  5.56732041e+03  6.03428683e-13  6.21889199e+03  1.84384141e-12  2.40080576e+03  3.75969545e-12  1.10365727e+03  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.03423187e-13  3.31163095e+04  1.84378442e-12  1.08381460e+04  3.75939667e-12  5.31553842e+03  6.03429247e-13  5.93760735e+03  1.84384696e-12  2.29220153e+03  3.75972445e-12  1.05372426e+03  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.03423293e-13  3.16186309e+04  1.84378453e-12  1.03479913e+04  3.75939676e-12  5.07514324e+03  6.03429845e-13  5.66904198e+03  1.84385304e-12  2.18850758e+03  3.75975623e-12  1.00604851e+03  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.03423391e-13  3.01886851e+04  1.84378463e-12  9.88000383e+03  3.75939684e-12  4.84561999e+03  6.03430480e-13  5.41262058e+03  1.84385968e-12  2.08950180e+03  3.75979109e-12  9.60527902e+02  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.03423479e-13  2.88234044e+04  1.84378471e-12  9.43318086e+03  3.75939692e-12  4.62647686e+03  6.03431160e-13  5.16779380e+03  1.84386695e-12  1.99497208e+03  3.75982930e-12  9.17064912e+02  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.03423560e-13  2.75198690e+04  1.84378479e-12  9.00656554e+03  3.75939698e-12  4.41724447e+03  6.03431888e-13  4.93403727e+03  1.84387491e-12  1.90471595e+03  3.75987120e-12  8.75566441e+02  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.03423634e-13  2.62752849e+04  1.84378486e-12  8.59924381e+03  3.75939703e-12  4.21747463e+03  6.03432673e-13  4.71085021e+03  1.84388362e-12  1.81854005e+03  3.75991715e-12  8.35943589e+02  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.03423701e-13  2.50869903e+04  1.84378493e-12  8.21034328e+03  3.75939708e-12  4.02673936e+03  6.03433519e-13  4.49775459e+03  1.84389317e-12  1.73625978e+03  3.75996755e-12  7.98111479e+02  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.03423762e-13  2.39524334e+04  1.84378499e-12  7.83903073e+03  3.75939712e-12  3.84463008e+03  6.03434436e-13  4.29429384e+03  1.84390363e-12  1.65769889e+03  3.76002282e-12  7.61989069e+02  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  6.03423818e-13  2.28691845e+04  1.84378504e-12  7.48451063e+03  3.75939715e-12  3.67075670e+03  6.03435430e-13  4.10003220e+03  1.84391509e-12  1.58268909e+03  3.76008344e-12  7.27498977e+02  9.99773413e-10  6.58391420e-01 
