 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.00000000e+08  5.43197467e-13  5.32715933e+04  1.65934746e-12  1.74388890e+04  3.38299742e-12  8.55372181e+03  5.43200423e-13  9.55170969e+03  1.65937224e-12  3.68848989e+03  3.38312474e-12  1.69584346e+03  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.43197691e-13  5.08624065e+04  1.65934768e-12  1.66502162e+04  3.38299764e-12  8.16688015e+03  5.43200837e-13  9.11970849e+03  1.65937477e-12  3.52165648e+03  3.38313721e-12  1.61913350e+03  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.43197895e-13  4.85621746e+04  1.65934789e-12  1.58972119e+04  3.38299784e-12  7.79753343e+03  5.43201249e-13  8.70724260e+03  1.65937751e-12  3.36236700e+03  3.38315084e-12  1.54589200e+03  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.43198081e-13  4.63659651e+04  1.65934807e-12  1.51782615e+04  3.38299802e-12  7.44489026e+03  5.43201663e-13  8.31342876e+03  1.65938047e-12  3.21028027e+03  3.38316577e-12  1.47596207e+03  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.43198250e-13  4.42690793e+04  1.65934824e-12  1.44918260e+04  3.38299818e-12  7.10819530e+03  5.43202083e-13  7.93742320e+03  1.65938368e-12  3.06507047e+03  3.38318210e-12  1.40919391e+03  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.43198405e-13  4.22670136e+04  1.65934840e-12  1.38364346e+04  3.38299833e-12  6.78672741e+03  5.43202513e-13  7.57842063e+03  1.65938718e-12  2.92642655e+03  3.38319999e-12  1.34544448e+03  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.43198546e-13  4.03554985e+04  1.65934854e-12  1.32106827e+04  3.38299847e-12  6.47979786e+03  5.43202955e-13  7.23565208e+03  1.65939098e-12  2.79405154e+03  3.38321958e-12  1.28457722e+03  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.43198675e-13  3.85304332e+04  1.65934866e-12  1.26132304e+04  3.38299859e-12  6.18674914e+03  5.43203414e-13  6.90838326e+03  1.65939513e-12  2.66766184e+03  3.38324105e-12  1.22646176e+03  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.43198792e-13  3.67878949e+04  1.65934878e-12  1.20427975e+04  3.38299870e-12  5.90695352e+03  5.43203894e-13  6.59591306e+03  1.65939965e-12  2.54698672e+03  3.38326458e-12  1.17097359e+03  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.43198898e-13  3.51241724e+04  1.65934889e-12  1.14981631e+04  3.38299879e-12  5.63981169e+03  5.43204398e-13  6.29757241e+03  1.65940459e-12  2.43176768e+03  3.38329037e-12  1.11799386e+03  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.43198996e-13  3.35356836e+04  1.65934898e-12  1.09781587e+04  3.38299888e-12  5.38475128e+03  5.43204932e-13  6.01272199e+03  1.65941000e-12  2.32175791e+03  3.38331863e-12  1.06740907e+03  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.43199084e-13  3.20190410e+04  1.65934907e-12  1.04816721e+04  3.38299896e-12  5.14122597e+03  5.43205500e-13  5.74075175e+03  1.65941590e-12  2.21672174e+03  3.38334963e-12  1.01911085e+03  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.43199165e-13  3.05709841e+04  1.65934915e-12  1.00076389e+04  3.38299903e-12  4.90871409e+03  5.43206106e-13  5.48107911e+03  1.65942237e-12  2.11643417e+03  3.38338361e-12  9.72995756e+02  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.43199239e-13  2.91884139e+04  1.65934922e-12  9.55504378e+03  3.38299909e-12  4.68671753e+03  5.43206755e-13  5.23314776e+03  1.65942944e-12  2.02068037e+03  3.38342087e-12  9.28964991e+02  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.43199306e-13  2.78683727e+04  1.65934929e-12  9.12291706e+03  3.38299914e-12  4.47476076e+03  5.43207454e-13  4.99642666e+03  1.65943719e-12  1.92925522e+03  3.38346174e-12  8.86924236e+02  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.43199367e-13  2.66080255e+04  1.65934935e-12  8.71033339e+03  3.38299918e-12  4.27238973e+03  5.43208209e-13  4.77040869e+03  1.65944568e-12  1.84196288e+03  3.38350655e-12  8.46783432e+02  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.43199423e-13  2.54046828e+04  1.65934940e-12  8.31640864e+03  3.38299922e-12  4.07917090e+03  5.43209025e-13  4.55460973e+03  1.65945498e-12  1.75861635e+03  3.38355570e-12  8.08456592e+02  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.43199474e-13  2.42557564e+04  1.65934945e-12  7.94029918e+03  3.38299925e-12  3.89469040e+03  5.43209910e-13  4.34856749e+03  1.65946517e-12  1.67903708e+03  3.38360961e-12  7.71861612e+02  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  5.43199520e-13  2.31587911e+04  1.65934949e-12  7.58119935e+03  3.38299928e-12  3.71855304e+03  5.43210872e-13  4.15184059e+03  1.65947634e-12  1.60305462e+03  3.38366874e-12  7.36920101e+02  9.99808685e-10  7.22215418e-01 
 2.40924169e+08  5.43199562e-13  2.21114371e+04  1.65934953e-12  7.23833969e+03  3.38299930e-12  3.55038148e+03  5.43211918e-13  3.96400764e+03  1.65948858e-12  1.53050618e+03  3.38373359e-12  7.03557209e+02  9.99828928e-10  7.56409403e-01 
