 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.00000000e+08  5.43399542e-13  5.32517826e+04  1.65996475e-12  1.74324028e+04  3.38425592e-12  8.55054094e+03  5.43402499e-13  9.54815754e+03  1.65998955e-12  3.68711824e+03  3.38438333e-12  1.69521280e+03  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  5.43399765e-13  5.08434954e+04  1.65996498e-12  1.66440238e+04  3.38425614e-12  8.16384311e+03  5.43402913e-13  9.11631705e+03  1.65999208e-12  3.52034685e+03  3.38439581e-12  1.61853137e+03  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  5.43399970e-13  4.85441133e+04  1.65996518e-12  1.58912998e+04  3.38425634e-12  7.79463369e+03  5.43403325e-13  8.70400478e+03  1.65999482e-12  3.36111662e+03  3.38440946e-12  1.54531711e+03  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  5.43400156e-13  4.63486937e+04  1.65996537e-12  1.51726177e+04  3.38425652e-12  7.44212169e+03  5.43403740e-13  8.31033715e+03  1.65999778e-12  3.20908645e+03  3.38442439e-12  1.47541318e+03  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  5.43400325e-13  4.42526050e+04  1.65996553e-12  1.44864369e+04  3.38425669e-12  7.10555198e+03  5.43404160e-13  7.93447155e+03  1.66000100e-12  3.06393064e+03  3.38444074e-12  1.40866984e+03  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  5.43400480e-13  4.22512921e+04  1.65996569e-12  1.38312891e+04  3.38425683e-12  6.78420360e+03  5.43404590e-13  7.57560248e+03  1.66000450e-12  2.92533828e+03  3.38445864e-12  1.34494412e+03  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  5.43400621e-13  4.03404976e+04  1.65996583e-12  1.32057699e+04  3.38425697e-12  6.47738817e+03  5.43405032e-13  7.23296132e+03  1.66000830e-12  2.79301249e+03  3.38447825e-12  1.28409950e+03  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  5.43400749e-13  3.85160966e+04  1.65996596e-12  1.26085399e+04  3.38425709e-12  6.18444852e+03  5.43405492e-13  6.90581416e+03  1.66001245e-12  2.66666979e+03  3.38449973e-12  1.22600564e+03  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  5.43400866e-13  3.67742148e+04  1.65996607e-12  1.20383193e+04  3.38425720e-12  5.90475691e+03  5.43405972e-13  6.59346033e+03  1.66001698e-12  2.54603955e+03  3.38452328e-12  1.17053811e+03  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  5.43400973e-13  3.51111102e+04  1.65996618e-12  1.14938870e+04  3.38425730e-12  5.63771438e+03  5.43406476e-13  6.29523049e+03  1.66002193e-12  2.43086335e+03  3.38454908e-12  1.11757808e+03  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  5.43401070e-13  3.35232149e+04  1.65996627e-12  1.09740764e+04  3.38425738e-12  5.38274884e+03  5.43407011e-13  6.01048605e+03  1.66002733e-12  2.32089449e+03  3.38457737e-12  1.06701209e+03  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  5.43401159e-13  3.20071321e+04  1.65996636e-12  1.04777742e+04  3.38425746e-12  5.13931410e+03  5.43407578e-13  5.73861693e+03  1.66003324e-12  2.21589738e+03  3.38460839e-12  1.01873184e+03  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  5.43401240e-13  3.05596153e+04  1.65996644e-12  1.00039173e+04  3.38425753e-12  4.90688868e+03  5.43408185e-13  5.47904080e+03  1.66003971e-12  2.11564710e+03  3.38464240e-12  9.72633887e+02  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  5.43401314e-13  2.91775602e+04  1.65996651e-12  9.55149026e+03  3.38425759e-12  4.68497467e+03  5.43408835e-13  5.23120170e+03  1.66004679e-12  2.01992891e+03  3.38467969e-12  9.28619494e+02  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  5.43401381e-13  2.78580077e+04  1.65996658e-12  9.11952461e+03  3.38425764e-12  4.47309672e+03  5.43409534e-13  4.99456862e+03  1.66005455e-12  1.92853775e+03  3.38472058e-12  8.86594370e+02  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  5.43401442e-13  2.65981314e+04  1.65996664e-12  8.70709430e+03  3.38425769e-12  4.27080095e+03  5.43410289e-13  4.76863470e+03  1.66006304e-12  1.84127787e+03  3.38476543e-12  8.46468491e+02  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  5.43401498e-13  2.53952350e+04  1.65996669e-12  8.31331603e+03  3.38425772e-12  4.07765400e+03  5.43411106e-13  4.55291598e+03  1.66007235e-12  1.75796233e+03  3.38481462e-12  8.08155901e+02  9.99773413e-10  6.58391420e-01 
 2.19625334e+08  5.43401549e-13  2.42467366e+04  1.65996674e-12  7.93734643e+03  3.38425775e-12  3.89324209e+03  5.43411992e-13  4.34695034e+03  1.66008255e-12  1.67841266e+03  3.38486856e-12  7.71574528e+02  9.99790233e-10  6.89565959e-01 
 2.30028370e+08  5.43401595e-13  2.31501786e+04  1.65996678e-12  7.57838004e+03  3.38425778e-12  3.71717022e+03  5.43412954e-13  4.15029662e+03  1.66009372e-12  1.60245844e+03  3.38492774e-12  7.36646009e+02  9.99808685e-10  7.22215418e-01 
