 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.00000000e+08  6.03197467e-13  4.79727241e+04  1.84309746e-12  1.57002995e+04  3.75799740e-12  7.70017104e+03  6.03200878e-13  8.60160499e+03  1.84312779e-12  3.32075660e+03  3.75815412e-12  1.52661382e+03  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.03197691e-13  4.58031615e+04  1.84309768e-12  1.49902554e+04  3.75799762e-12  7.35193121e+03  6.03201336e-13  8.21257407e+03  1.84313085e-12  3.17055553e+03  3.75816944e-12  1.45755821e+03  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.03197895e-13  4.37317463e+04  1.84309789e-12  1.43123223e+04  3.75799782e-12  7.01944035e+03  6.03201797e-13  7.84113548e+03  1.84313418e-12  3.02714630e+03  3.75818620e-12  1.39162494e+03  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.03198081e-13  4.17539753e+04  1.84309807e-12  1.36650489e+04  3.75799800e-12  6.70198638e+03  6.03202264e-13  7.48649347e+03  1.84313778e-12  2.89022171e+03  3.75820456e-12  1.32867278e+03  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.03198250e-13  3.98656600e+04  1.84309824e-12  1.30470482e+04  3.75799816e-12  6.39888927e+03  6.03202742e-13  7.14788856e+03  1.84314171e-12  2.75948845e+03  3.75822465e-12  1.26856686e+03  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.03198405e-13  3.80627472e+04  1.84309839e-12  1.24569960e+04  3.75799830e-12  6.10949972e+03  6.03203236e-13  6.82459534e+03  1.84314598e-12  2.63466648e+03  3.75824667e-12  1.21117843e+03  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.03198546e-13  3.63413667e+04  1.84309853e-12  1.18936293e+04  3.75799844e-12  5.83319771e+03  6.03203748e-13  6.51592139e+03  1.84315064e-12  2.51548839e+03  3.75827079e-12  1.15638456e+03  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.03198674e-13  3.46978319e+04  1.84309866e-12  1.13557406e+04  3.75799855e-12  5.56939146e+03  6.03204284e-13  6.22120546e+03  1.84315572e-12  2.40169891e+03  3.75829722e-12  1.10406787e+03  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.03198791e-13  3.31286289e+04  1.84309878e-12  1.08421776e+04  3.75799866e-12  5.31751584e+03  6.03204848e-13  5.93981623e+03  1.84316127e-12  2.29305428e+03  3.75832620e-12  1.05411629e+03  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.03198898e-13  3.16303962e+04  1.84309888e-12  1.03518408e+04  3.75799875e-12  5.07703125e+03  6.03205445e-13  5.67115095e+03  1.84316734e-12  2.18932176e+03  3.75835796e-12  1.00642281e+03  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.03198996e-13  3.01999172e+04  1.84309898e-12  9.88367900e+03  3.75799884e-12  4.84742258e+03  6.03206081e-13  5.41463411e+03  1.84317398e-12  2.09027914e+03  3.75839279e-12  9.60885263e+02  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.03199084e-13  2.88341287e+04  1.84309906e-12  9.43669022e+03  3.75799891e-12  4.62819795e+03  6.03206759e-13  5.16971629e+03  1.84318124e-12  1.99571426e+03  3.75843097e-12  9.17406107e+02  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.03199165e-13  2.75301072e+04  1.84309914e-12  9.00991611e+03  3.75799897e-12  4.41888773e+03  6.03207488e-13  4.93587281e+03  1.84318919e-12  1.90542456e+03  3.75847284e-12  8.75892200e+02  9.99719747e-10  5.47156592e-01 
