 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.00000000e+08  6.63444182e-13  4.36163997e+04  2.02760146e-12  1.42716356e+04  4.13453489e-12  6.99890724e+03  6.63448099e-13  7.82050328e+03  2.02763793e-12  3.01857618e+03  4.13472419e-12  1.38757742e+03  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.63444406e-13  4.16438491e+04  2.02760168e-12  1.36262023e+04  4.13453511e-12  6.68238199e+03  6.63448605e-13  7.46679924e+03  2.02764160e-12  2.88204255e+03  4.13474267e-12  1.32481051e+03  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.63444610e-13  3.97605206e+04  2.02760189e-12  1.30099586e+04  4.13453530e-12  6.38017146e+03  6.63449120e-13  7.12909009e+03  2.02764557e-12  2.75168272e+03  4.13476290e-12  1.26488157e+03  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.63444796e-13  3.79623590e+04  2.02760207e-12  1.24215843e+04  4.13453548e-12  6.09162843e+03  6.63449646e-13  6.80665232e+03  2.02764990e-12  2.62721745e+03  4.13478505e-12  1.20766223e+03  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.63444966e-13  3.62455283e+04  2.02760224e-12  1.18598189e+04  4.13453564e-12  5.81613465e+03  6.63450189e-13  6.49879529e+03  2.02765461e-12  2.50838011e+03  4.13480931e-12  1.15302991e+03  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.63445121e-13  3.46063269e+04  2.02760239e-12  1.13234595e+04  4.13453578e-12  5.55310016e+03  6.63450753e-13  6.20485950e+03  2.02765974e-12  2.39491615e+03  4.13483590e-12  1.10086758e+03  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.63445261e-13  3.30412612e+04  2.02760253e-12  1.08113567e+04  4.13453591e-12  5.30196128e+03  6.63451343e-13  5.92421551e+03  2.02766535e-12  2.28658249e+03  4.13486504e-12  1.05106350e+03  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.63445390e-13  3.15469770e+04  2.02760266e-12  1.03224134e+04  4.13453602e-12  5.06218019e+03  6.63451965e-13  5.65626200e+03  2.02767147e-12  2.18314709e+03  4.13489698e-12  1.00351099e+03  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.63445507e-13  3.01202698e+04  2.02760278e-12  9.85558280e+03  4.13453612e-12  4.83324316e+03  6.63452622e-13  5.40042500e+03  2.02767816e-12  2.08438836e+03  4.13493199e-12  9.58108176e+02  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.63445614e-13  2.87580861e+04  2.02760288e-12  9.40986425e+03  4.13453621e-12  4.61465981e+03  6.63453322e-13  5.15615654e+03  2.02768548e-12  1.99009475e+03  4.13497038e-12  9.14757800e+02  9.99690711e-10  4.76241640e-01 
