 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.00000000e+08  6.63197467e-13  4.36326190e+04  2.02684746e-12  1.42769448e+04  4.13299738e-12  7.00151093e+03  6.63201381e-13  7.82341255e+03  2.02688390e-12  3.01969913e+03  4.13318654e-12  1.38809363e+03  9.99639433e-10  3.14021199e-01 
 1.04736719e+08  6.63197691e-13  4.16593496e+04  2.02684768e-12  1.36312714e+04  4.13299760e-12  6.68486781e+03  6.63201887e-13  7.46957698e+03  2.02688756e-12  2.88311471e+03  4.13320501e-12  1.32530337e+03  9.99643257e-10  3.28894243e-01 
 1.09697804e+08  6.63197895e-13  3.97753094e+04  2.02684788e-12  1.30147982e+04  4.13299779e-12  6.38254493e+03  6.63202401e-13  7.13174211e+03  2.02689154e-12  2.75270639e+03  4.13322522e-12  1.26535214e+03  9.99647452e-10  3.44471593e-01 
 1.14893881e+08  6.63198081e-13  3.79764852e+04  2.02684807e-12  1.24262056e+04  4.13299797e-12  6.09389455e+03  6.63202928e-13  6.80918443e+03  2.02689586e-12  2.62819482e+03  4.13324735e-12  1.20811151e+03  9.99652054e-10  3.60786583e-01 
 1.20336082e+08  6.63198250e-13  3.62589959e+04  2.02684824e-12  1.18642310e+04  4.13299813e-12  5.81829835e+03  6.63203470e-13  6.50121290e+03  2.02690056e-12  2.50931327e+03  4.13327160e-12  1.15345887e+03  9.99657102e-10  3.77874120e-01 
 1.26036065e+08  6.63198405e-13  3.46192037e+04  2.02684839e-12  1.13276717e+04  4.13299827e-12  5.55516590e+03  6.63204034e-13  6.20716785e+03  2.02690570e-12  2.39580710e+03  4.13329817e-12  1.10127714e+03  9.99662640e-10  3.95770762e-01 
 1.32006039e+08  6.63198546e-13  3.30535542e+04  2.02684853e-12  1.08153784e+04  4.13299840e-12  5.30393366e+03  6.63204624e-13  5.92641937e+03  2.02691129e-12  2.28743315e+03  4.13332729e-12  1.05145454e+03  9.99668716e-10  4.14514790e-01 
 1.38258795e+08  6.63198674e-13  3.15587137e+04  2.02684866e-12  1.03262535e+04  4.13299851e-12  5.06406333e+03  6.63205245e-13  5.65836617e+03  2.02691741e-12  2.18395927e+03  4.13335920e-12  1.00388434e+03  9.99675380e-10  4.34146295e-01 
 1.44807726e+08  6.63198791e-13  3.01314766e+04  2.02684877e-12  9.85924899e+03  4.13299862e-12  4.83504119e+03  6.63205902e-13  5.40243405e+03  2.02692410e-12  2.08516380e+03  4.13339419e-12  9.58464635e+02  9.99682691e-10  4.54707258e-01 
 1.51666862e+08  6.63198898e-13  2.87687822e+04  2.02684888e-12  9.41336489e+03  4.13299870e-12  4.61637647e+03  6.63206602e-13  5.15807471e+03  2.02693141e-12  1.99083511e+03  4.13343255e-12  9.15098133e+02  9.99690711e-10  4.76241640e-01 
 1.58850896e+08  6.63198995e-13  2.74677192e+04  2.02684897e-12  8.98764580e+03  4.13299878e-12  4.40760090e+03  6.63207349e-13  4.92476482e+03  2.02693941e-12  1.90077114e+03  4.13347460e-12  8.73691935e+02  9.99699509e-10  4.98795475e-01 
 1.66375217e+08  6.63199084e-13  2.62254959e+04  2.02684906e-12  8.58117983e+03  4.13299885e-12  4.20826718e+03  6.63208151e-13  4.70200450e+03  2.02694817e-12  1.81477894e+03  4.13352072e-12  8.34157341e+02  9.99709160e-10  5.22416968e-01 
 1.74255944e+08  6.63199165e-13  2.50394504e+04  2.02684914e-12  8.19309620e+03  4.13299891e-12  4.01794834e+03  6.63209014e-13  4.48931663e+03  2.02695777e-12  1.73267433e+03  4.13357130e-12  7.96409662e+02  9.99719747e-10  5.47156592e-01 
 1.82509959e+08  6.63199238e-13  2.39070414e+04  2.02684921e-12  7.82256353e+03  4.13299896e-12  3.83623663e+03  6.63209946e-13  4.28624560e+03  2.02696828e-12  1.65428140e+03  4.13362677e-12  7.60368035e+02  9.99731362e-10  5.73067199e-01 
 1.91154944e+08  6.63199306e-13  2.28258498e+04  2.02684927e-12  7.46878832e+03  4.13299900e-12  3.66274285e+03  6.63210954e-13  4.09235639e+03  2.02697979e-12  1.57943224e+03  4.13368761e-12  7.25955254e+02  9.99744103e-10  6.00204126e-01 
 2.00209417e+08  6.63199367e-13  2.17935512e+04  2.02684933e-12  7.13101250e+03  4.13299903e-12  3.49709531e+03  6.63212048e-13  3.90723372e+03  2.02699241e-12  1.50796650e+03  4.13375433e-12  6.93097600e+02  9.99758080e-10  6.28625312e-01 
 2.09692776e+08  6.63199422e-13  2.08079403e+04  2.02684938e-12  6.80851257e+03  4.13299905e-12  3.33893917e+03  6.63213236e-13  3.73048097e+03  2.02700624e-12  1.43973110e+03  4.13382752e-12  6.61724688e+02  9.99773413e-10  6.58391420e-01 
