tmax,tmax_s,trace,quantity,simulated,closed_form,abs_err,rel_err_pct,tol_pct,tol_basis,status
10p,10e-12,pure_hi,vpp_v,1.099962e+00,1.1,3.800000e-05,-0.00345455,2.2336,1-cos(pi*dt*f) x1.5,PASS
10p,10e-12,pure_hi,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,0.147366,amp/(pi*cycles) x1.5,PASS
10p,10e-12,ramp,f_hz,4.999998e+09,5.0e9,2.000000e+03,-4e-05,0.153061,dt*f/cycles x1.5,PASS
10p,10e-12,ramp,t_settle_s,1.150240e-09,1.1512925465e-09,1.052546e-12,-0.091423,13.0288,half a period x1.5,PASS
10p,10e-12,dconly,f_hz,0,0,0.000000e+00,nan,1e-30,exactly zero,PASS
10p,10e-12,dconly,vpp_v,0.000000e+00,0,0.000000e+00,nan,1e-9,exactly zero (1 nV slack),PASS
10p,10e-12,dconly,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,1e-6,a constant trace has an exact average,PASS
20p,20e-12,pure_lo,f_hz,4.500033e+09,4.5e9,3.300000e+04,+0.000733333,0.306818,dt*f/cycles x1.5,PASS
20p,20e-12,pure_lo,vpp_v,1.099899e+00,1.1,1.010000e-04,-0.00918182,5.95595,1-cos(pi*dt*f) x1.5,PASS
20p,20e-12,pure_lo,time_avg_v,3.299999e+00,3.3,1.000000e-06,-3.0303e-05,0.180858,amp/(pi*cycles) x1.5,PASS
20p,20e-12,pure_mid,f_hz,4.999984e+09,5.0e9,1.600000e+04,-0.00032,0.306122,dt*f/cycles x1.5,PASS
20p,20e-12,pure_mid,vpp_v,1.051169e+00,1.1,4.883100e-02,-4.43918,7.34152,1-cos(pi*dt*f) x1.5,PASS
20p,20e-12,pure_mid,time_avg_v,3.299999e+00,3.3,1.000000e-06,-3.0303e-05,0.162403,amp/(pi*cycles) x1.5,PASS
20p,20e-12,pure_hi,f_hz,5.500050e+09,5.5e9,5.000000e+04,+0.000909091,0.305556,dt*f/cycles x1.5,PASS
20p,20e-12,pure_hi,vpp_v,1.099849e+00,1.1,1.510000e-04,-0.0137273,8.86788,1-cos(pi*dt*f) x1.5,PASS
20p,20e-12,pure_hi,time_avg_v,3.299999e+00,3.3,1.000000e-06,-3.0303e-05,0.147366,amp/(pi*cycles) x1.5,PASS
20p,20e-12,ramp,f_hz,4.999984e+09,5.0e9,1.600000e+04,-0.00032,0.306122,dt*f/cycles x1.5,PASS
20p,20e-12,ramp,t_settle_s,1.140480e-09,1.1512925465e-09,1.081255e-11,-0.939166,13.0288,half a period x1.5,PASS
20p,20e-12,dconly,f_hz,0,0,0.000000e+00,nan,1e-30,exactly zero,PASS
20p,20e-12,dconly,vpp_v,0.000000e+00,0,0.000000e+00,nan,1e-9,exactly zero (1 nV slack),PASS
20p,20e-12,dconly,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,1e-6,a constant trace has an exact average,PASS
