tmax,tmax_s,trace,quantity,simulated,closed_form,abs_err,rel_err_pct,tol_pct,tol_basis,status
2p,2e-12,pure_lo,f_hz,4.500000e+09,4.5e9,0.000000e+00,+0,0.0306818,dt*f/cycles x1.5,PASS
2p,2e-12,pure_lo,vpp_v,1.099995e+00,1.1,5.000000e-06,-0.000454545,0.0599539,1-cos(pi*dt*f) x1.5,PASS
2p,2e-12,pure_lo,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,0.180858,amp/(pi*cycles) x1.5,PASS
2p,2e-12,pure_mid,f_hz,5.000000e+09,5.0e9,0.000000e+00,+0,0.0306122,dt*f/cycles x1.5,PASS
2p,2e-12,pure_mid,vpp_v,1.099830e+00,1.1,1.700000e-04,-0.0154545,0.0740159,1-cos(pi*dt*f) x1.5,PASS
2p,2e-12,pure_mid,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,0.162403,amp/(pi*cycles) x1.5,PASS
2p,2e-12,pure_hi,f_hz,5.500000e+09,5.5e9,0.000000e+00,+0,0.0305556,dt*f/cycles x1.5,PASS
2p,2e-12,pure_hi,vpp_v,1.100000e+00,1.1,0.000000e+00,+0,0.0895577,1-cos(pi*dt*f) x1.5,PASS
2p,2e-12,pure_hi,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,0.147366,amp/(pi*cycles) x1.5,PASS
2p,2e-12,ramp,f_hz,5.000000e+09,5.0e9,0.000000e+00,+0,0.0306122,dt*f/cycles x1.5,PASS
2p,2e-12,ramp,t_settle_s,1.150560e-09,1.1512925465e-09,7.325465e-13,-0.0636282,13.0288,half a period x1.5,PASS
2p,2e-12,dconly,f_hz,0,0,0.000000e+00,nan,1e-30,exactly zero,PASS
2p,2e-12,dconly,vpp_v,0.000000e+00,0,0.000000e+00,nan,1e-9,exactly zero (1 nV slack),PASS
2p,2e-12,dconly,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,1e-6,a constant trace has an exact average,PASS
5p,5e-12,pure_lo,f_hz,4.500000e+09,4.5e9,0.000000e+00,+0,0.0767045,dt*f/cycles x1.5,PASS
5p,5e-12,pure_lo,vpp_v,1.099994e+00,1.1,6.000000e-06,-0.000545455,0.374581,1-cos(pi*dt*f) x1.5,PASS
5p,5e-12,pure_lo,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,0.180858,amp/(pi*cycles) x1.5,PASS
5p,5e-12,pure_mid,f_hz,5.000000e+09,5.0e9,0.000000e+00,+0,0.0765306,dt*f/cycles x1.5,PASS
5p,5e-12,pure_mid,vpp_v,1.099992e+00,1.1,8.000000e-06,-0.000727273,0.4624,1-cos(pi*dt*f) x1.5,PASS
5p,5e-12,pure_mid,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,0.162403,amp/(pi*cycles) x1.5,PASS
5p,5e-12,pure_hi,f_hz,5.500001e+09,5.5e9,1.000000e+03,+1.81818e-05,0.0763889,dt*f/cycles x1.5,PASS
5p,5e-12,pure_hi,vpp_v,1.099991e+00,1.1,9.000000e-06,-0.000818182,0.559444,1-cos(pi*dt*f) x1.5,PASS
5p,5e-12,pure_hi,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,0.147366,amp/(pi*cycles) x1.5,PASS
5p,5e-12,ramp,f_hz,5.000000e+09,5.0e9,0.000000e+00,+0,0.0765306,dt*f/cycles x1.5,PASS
5p,5e-12,ramp,t_settle_s,1.150120e-09,1.1512925465e-09,1.172546e-12,-0.101846,13.0288,half a period x1.5,PASS
5p,5e-12,dconly,f_hz,0,0,0.000000e+00,nan,1e-30,exactly zero,PASS
5p,5e-12,dconly,vpp_v,0.000000e+00,0,0.000000e+00,nan,1e-9,exactly zero (1 nV slack),PASS
5p,5e-12,dconly,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,1e-6,a constant trace has an exact average,PASS
10p,10e-12,pure_lo,f_hz,4.500006e+09,4.5e9,6.000000e+03,+0.000133333,0.153409,dt*f/cycles x1.5,PASS
10p,10e-12,pure_lo,vpp_v,1.099975e+00,1.1,2.500000e-05,-0.00227273,1.49645,1-cos(pi*dt*f) x1.5,PASS
10p,10e-12,pure_lo,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,0.180858,amp/(pi*cycles) x1.5,PASS
10p,10e-12,pure_mid,f_hz,4.999998e+09,5.0e9,2.000000e+03,-4e-05,0.153061,dt*f/cycles x1.5,PASS
10p,10e-12,pure_mid,vpp_v,1.099969e+00,1.1,3.100000e-05,-0.00281818,1.84675,1-cos(pi*dt*f) x1.5,PASS
10p,10e-12,pure_mid,time_avg_v,3.300000e+00,3.3,0.000000e+00,+0,0.162403,amp/(pi*cycles) x1.5,PASS
10p,10e-12,pure_hi,f_hz,5.500010e+09,5.5e9,1.000000e+04,+0.000181818,0.152778,dt*f/cycles x1.5,PASS
