mos,cap,hbt,temp_c,v_lo,v_hi,v_mid,f_lo_hz,f_hi_hz,kvco_hz_per_v
tt,cap_typ,hbt_typ,27,0,0.6,0.3,5.418740e+09,5.419325e+09,9.750000e+05
tt,cap_typ,hbt_typ,27,0.6,1.2,0.9,5.419325e+09,5.417629e+09,-2.826667e+06
tt,cap_typ,hbt_typ,27,1.2,1.65,1.425,5.417629e+09,5.384375e+09,-7.389778e+07
tt,cap_typ,hbt_typ,27,1.65,2.4,2.025,5.384375e+09,5.198825e+09,-2.474000e+08
tt,cap_typ,hbt_typ,27,2.4,3.3,2.85,5.198825e+09,4.622456e+09,-6.404100e+08
tt,cap_typ,hbt_typ,-40,0,1.65,0.825,5.447901e+09,5.403003e+09,-2.721091e+07
tt,cap_typ,hbt_typ,-40,1.65,3.3,2.475,5.403003e+09,4.621508e+09,-4.736333e+08
tt,cap_typ,hbt_typ,125,0,1.65,0.825,5.342032e+09,5.321552e+09,-1.241212e+07
tt,cap_typ,hbt_typ,125,1.65,3.3,2.475,5.321552e+09,4.607438e+09,-4.327964e+08
