corner_label,mc_rsh,mc_rsub,temp_c,geometry,w_um,s_um,d_um,nr_r,status,srf_hz,l_1ghz_h,l_5ghz_h,l_10ghz_h,q_1ghz,q_5ghz,q_10ghz,qlow_1ghz,qlow_5ghz,qlow_10ghz
rhi,1.3182,1.0,-40,p13,6.10,3.29,110.11,5,PASS,1.43067e+10,5.45206e-09,6.17771e-09,1.02582e-08,5.61322e+00,1.14733e+01,5.00313e+00,3.846675e+00,8.243100e+00,4.681311e+00
rhi,1.3182,1.0,-40,p11,8.22,3.74,141.975,4,PASS,1.41127e+10,4.60671e-09,5.24094e-09,8.90193e-09,6.99613e+00,1.25860e+01,5.03602e+00,4.715407e+00,9.242204e+00,4.764692e+00
rhi,1.3182,1.0,27,p1,8.22,3.29,47.65,1,PASS,2.40127e+11,1.03764e-10,1.03635e-10,1.03305e-10,1.95495e+00,8.97968e+00,1.46898e+01,1.291759e+00,4.202506e+00,6.423223e+00
rhi,1.3182,1.0,27,p13,6.10,3.29,110.11,5,PASS,1.42912e+10,5.44877e-09,6.17353e-09,1.02523e-08,4.21321e+00,1.00392e+01,4.77155e+00,3.024105e+00,7.180492e+00,4.423565e+00
rhi,1.3182,1.0,27,p11,8.22,3.74,141.975,4,PASS,1.41001e+10,4.60456e-09,5.23828e-09,8.89881e-09,5.26055e+00,1.11916e+01,4.84478e+00,3.718204e+00,8.148419e+00,4.546018e+00
rhi,1.3182,1.0,125,p1,8.22,3.29,47.65,1,PASS,2.39816e+11,1.03766e-10,1.03717e-10,1.03586e-10,1.42698e+00,6.80572e+00,1.20008e+01,9.964973e-01,3.401525e+00,5.325166e+00
rhi,1.3182,1.0,125,p13,6.10,3.29,110.11,5,PASS,1.42779e+10,5.44324e-09,6.16373e-09,1.02181e-08,3.08436e+00,8.43653e+00,4.45378e+00,2.315280e+00,6.071366e+00,4.093278e+00
rhi,1.3182,1.0,125,p11,8.22,3.74,141.975,4,PASS,1.40895e+10,4.60102e-09,5.23182e-09,8.87535e-09,3.85693e+00,9.57614e+00,4.57645e+00,2.855145e+00,6.979908e+00,4.259515e+00
slo,1.0,0.75,-40,p1,8.22,3.29,47.65,1,PASS,2.40642e+11,1.03749e-10,1.03294e-10,1.02392e-10,3.42992e+00,1.36904e+01,1.90181e+01,2.018976e+00,5.982310e+00,8.769880e+00
slo,1.0,0.75,-40,p13,6.10,3.29,110.11,5,PASS,1.42752e+10,5.45919e-09,6.20509e-09,1.01519e-08,6.99773e+00,1.07367e+01,4.06592e+00,4.647660e+00,8.171552e+00,3.883071e+00
slo,1.0,0.75,-40,p11,8.22,3.74,141.975,4,PASS,1.40795e+10,4.61270e-09,5.26484e-09,8.80463e-09,8.84136e+00,1.15201e+01,4.03663e+00,5.741660e+00,8.975920e+00,3.886960e+00
slo,1.0,0.75,27,p1,8.22,3.29,47.65,1,PASS,2.40379e+11,1.03759e-10,1.03512e-10,1.02933e-10,2.56991e+00,1.11841e+01,1.68754e+01,1.609542e+00,5.008664e+00,7.496190e+00
