corner_label,temp_c,geometry,f_hz,quantity,simulated,closed_form,rel_err_pct,tol_pct,status
typ,-40,p1,1e9,z_driving_point,1.90054e-01 + j6.51870e-01,1.900549083e-01 + j6.518698940e-01,0.000135,0.5,PASS
typ,-40,p1,5e9,z_driving_point,2.36933e-01 + j3.24501e+00,2.369480275e-01 + j3.245010024e+00,0.000462,0.5,PASS
typ,-40,p1,1e10,z_driving_point,3.37784e-01 + j6.43335e+00,3.378445791e-01 + j6.433351999e+00,0.000941,0.5,PASS
typ,-40,p1,2e10,z_driving_point,5.17335e-01 + j1.27374e+01,5.175799003e-01 + j1.273744159e+01,0.001949,0.5,PASS
typ,-40,p13,1e9,z_driving_point,4.90041e+00 + j3.42669e+01,4.900416224e+00 + j3.426687399e+01,0.000077,0.5,PASS
typ,-40,p13,5e9,z_driving_point,1.55829e+01 + j1.94046e+02,1.558317052e+01 + j1.940453822e+02,0.000346,0.5,PASS
typ,-40,p13,1e10,z_driving_point,1.25055e+02 + j6.43504e+02,1.250479079e+02 + j6.434873640e+02,0.002759,0.5,PASS
typ,-40,p13,2e10,z_driving_point,1.25916e+02 + j-6.95962e+02,1.259104527e+02 + j-6.959441545e+02,0.002642,0.5,PASS
typ,-40,p11,1e9,z_driving_point,3.27782e+00 + j2.89522e+01,3.277829371e+00 + j2.895218467e+01,0.000062,0.5,PASS
typ,-40,p11,5e9,z_driving_point,1.21222e+01 + j1.64625e+02,1.212237409e+01 + j1.646251777e+02,0.000151,0.5,PASS
typ,-40,p11,1e10,z_driving_point,1.08219e+02 + j5.58565e+02,1.082118337e+02 + j5.585490665e+02,0.003071,0.5,PASS
typ,-40,p11,2e10,z_driving_point,9.53326e+01 + j-5.58011e+02,9.532857657e+01 + j-5.579975837e+02,0.002474,0.5,PASS
typ,27,p1,1e9,z_driving_point,2.53680e-01 + j6.51934e-01,2.536803354e-01 + j6.519337672e-01,0.000058,0.5,PASS
typ,27,p1,5e9,z_driving_point,2.90661e-01 + j3.25185e+00,2.906703430e-01 + j3.251853739e+00,0.000308,0.5,PASS
typ,27,p1,1e10,z_driving_point,3.82745e-01 + j6.46737e+00,3.827836688e-01 + j6.467368004e+00,0.000598,0.5,PASS
typ,27,p1,2e10,z_driving_point,5.87128e-01 + j1.28222e+01,5.872842107e-01 + j1.282218888e+01,0.001220,0.5,PASS
typ,27,p13,1e9,z_driving_point,6.50750e+00 + j3.42523e+01,6.507508861e+00 + j3.425226130e+01,0.000114,0.5,PASS
typ,27,p13,5e9,z_driving_point,1.74234e+01 + j1.94037e+02,1.742354921e+01 + j1.940369648e+02,0.000079,0.5,PASS
typ,27,p13,1e10,z_driving_point,1.30203e+02 + j6.44186e+02,1.301949209e+02 + j6.441691010e+02,0.002850,0.5,PASS
typ,27,p13,2e10,z_driving_point,1.26957e+02 + j-6.93672e+02,1.269502659e+02 + j-6.936547900e+02,0.002621,0.5,PASS
typ,27,p11,1e9,z_driving_point,4.34289e+00 + j2.89428e+01,4.342894270e+00 + j2.894279794e+01,0.000016,0.5,PASS
typ,27,p11,5e9,z_driving_point,1.33392e+01 + j1.64630e+02,1.333928595e+01 + j1.646295354e+02,0.000286,0.5,PASS
typ,27,p11,1e10,z_driving_point,1.11795e+02 + j5.59163e+02,1.117867568e+02 + j5.591478730e+02,0.003021,0.5,PASS
typ,27,p11,2e10,z_driving_point,9.59619e+01 + j-5.56593e+02,9.595719010e+01 + j-5.565795290e+02,0.002527,0.5,PASS
typ,125,p1,1e9,z_driving_point,3.47108e-01 + j6.51969e-01,3.471082866e-01 + j6.519688108e-01,0.000046,0.5,PASS
typ,125,p1,5e9,z_driving_point,3.75160e-01 + j3.25621e+00,3.751673758e-01 + j3.256207679e+00,0.000236,0.5,PASS
typ,125,p1,1e10,z_driving_point,4.52434e-01 + j6.49360e+00,4.524650177e-01 + j6.493601773e+00,0.000477,0.5,PASS
typ,125,p1,2e10,z_driving_point,6.64460e-01 + j1.29141e+01,6.645870077e-01 + j1.291408610e+01,0.000988,0.5,PASS
typ,125,p13,1e9,z_driving_point,8.86409e+00 + j3.42274e+01,8.864091488e+00 + j3.422735582e+01,0.000125,0.5,PASS
typ,125,p13,5e9,z_driving_point,2.02435e+01 + j1.93865e+02,2.024354161e+01 + j1.938643094e+02,0.000355,0.5,PASS
typ,125,p13,1e10,z_driving_point,1.37434e+02 + j6.43475e+02,1.374250176e+02 + j6.434586367e+02,0.002837,0.5,PASS
typ,125,p13,2e10,z_driving_point,1.28229e+02 + j-6.91129e+02,1.282213970e+02 + j-6.911118392e+02,0.002670,0.5,PASS
typ,125,p11,1e9,z_driving_point,5.90514e+00 + j2.89270e+01,5.905140618e+00 + j2.892697734e+01,0.000077,0.5,PASS
typ,125,p11,5e9,z_driving_point,1.52120e+01 + j1.64522e+02,1.521204837e+01 + j1.645221214e+02,0.000079,0.5,PASS
typ,125,p11,1e10,z_driving_point,1.16795e+02 + j5.58767e+02,1.167857319e+02 + j5.587521119e+02,0.003072,0.5,PASS
typ,125,p11,2e10,z_driving_point,9.67155e+01 + j-5.55028e+02,9.671016838e+01 + j-5.550155083e+02,0.002411,0.5,PASS
rlo,-40,p1,1e9,z_driving_point,1.31263e-01 + j6.51702e-01,1.312638719e-01 + j6.517019334e-01,0.000132,0.5,PASS
rlo,-40,p1,5e9,z_driving_point,1.91891e-01 + j3.23014e+00,1.919121246e-01 + j3.230142268e+00,0.000657,0.5,PASS
rlo,-40,p1,1e10,z_driving_point,2.90731e-01 + j6.37921e+00,2.908150244e-01 + j6.379211850e+00,0.001316,0.5,PASS
rlo,-40,p1,2e10,z_driving_point,4.30198e-01 + j1.26426e+01,4.305385160e-01 + j1.264258265e+01,0.002695,0.5,PASS
rlo,-40,p13,1e9,z_driving_point,3.70669e+00 + j3.42746e+01,3.706706337e+00 + j3.427458802e+01,0.000059,0.5,PASS
rlo,-40,p13,5e9,z_driving_point,1.43497e+01 + j1.93796e+02,1.435013144e+01 + j1.937953277e+02,0.000411,0.5,PASS
rlo,-40,p13,1e10,z_driving_point,1.20444e+02 + j6.41119e+02,1.204393696e+02 + j6.411018065e+02,0.002730,0.5,PASS
rlo,-40,p13,2e10,z_driving_point,1.24917e+02 + j-6.98462e+02,1.249139737e+02 + j-6.984426439e+02,0.002761,0.5,PASS
rlo,-40,p11,1e9,z_driving_point,2.42460e+00 + j2.89576e+01,2.424613234e+00 + j2.895761666e+01,0.000073,0.5,PASS
rlo,-40,p11,5e9,z_driving_point,1.12341e+01 + j1.64446e+02,1.123436350e+01 + j1.644455525e+02,0.000315,0.5,PASS
rlo,-40,p11,1e10,z_driving_point,1.04731e+02 + j5.56796e+02,1.047257994e+02 + j5.567798023e+02,0.003003,0.5,PASS
rlo,-40,p11,2e10,z_driving_point,9.46555e+01 + j-5.59591e+02,9.465291874e+01 + j-5.595770597e+02,0.002498,0.5,PASS
rlo,27,p1,1e9,z_driving_point,1.74223e-01 + j6.51841e-01,1.742239610e-01 + j6.518414575e-01,0.000158,0.5,PASS
rlo,27,p1,5e9,z_driving_point,2.24312e-01 + j3.24222e+00,2.243282758e-01 + j3.242217554e+00,0.000506,0.5,PASS
rlo,27,p1,1e10,z_driving_point,3.26207e-01 + j6.42143e+00,3.262720865e-01 + j6.421432903e+00,0.001013,0.5,PASS
rlo,27,p1,2e10,z_driving_point,4.96395e-01 + j1.27135e+01,4.966581350e-01 + j1.271346236e+01,0.002089,0.5,PASS
rlo,27,p13,1e9,z_driving_point,4.89546e+00 + j3.42664e+01,4.895474844e+00 + j3.426637216e+01,0.000091,0.5,PASS
rlo,27,p13,5e9,z_driving_point,1.56487e+01 + j1.93971e+02,1.564901493e+01 + j1.939703231e+02,0.000384,0.5,PASS
rlo,27,p13,1e10,z_driving_point,1.25044e+02 + j6.42626e+02,1.250375404e+02 + j6.426086173e+02,0.002833,0.5,PASS
rlo,27,p13,2e10,z_driving_point,1.26005e+02 + j-6.96454e+02,1.260000190e+02 + j-6.964354875e+02,0.002709,0.5,PASS
rlo,27,p11,1e9,z_driving_point,3.19061e+00 + j2.89526e+01,3.190616862e+00 + j2.895260364e+01,0.000027,0.5,PASS
rlo,27,p11,5e9,z_driving_point,1.20611e+01 + j1.64582e+02,1.206130266e+01 + j1.645814729e+02,0.000342,0.5,PASS
rlo,27,p11,1e10,z_driving_point,1.07900e+02 + j5.58014e+02,1.078933001e+02 + j5.579981019e+02,0.003036,0.5,PASS
rlo,27,p11,2e10,z_driving_point,9.53054e+01 + j-5.58356e+02,9.530165646e+01 + j-5.583419331e+02,0.002570,0.5,PASS
rlo,125,p1,1e9,z_driving_point,2.37584e-01 + j6.51923e-01,2.375842574e-01 + j6.519225884e-01,0.000070,0.5,PASS
rlo,125,p1,5e9,z_driving_point,2.76684e-01 + j3.25058e+00,2.766948487e-01 + j3.250584871e+00,0.000365,0.5,PASS
rlo,125,p1,1e10,z_driving_point,3.71340e-01 + j6.46047e+00,3.713838719e-01 + j6.460466812e+00,0.000680,0.5,PASS
rlo,125,p1,2e10,z_driving_point,5.71300e-01 + j1.28025e+01,5.714773936e-01 + j1.280252552e+01,0.001398,0.5,PASS
rlo,125,p13,1e9,z_driving_point,6.64363e+00 + j3.42506e+01,6.643639264e+00 + j3.425063400e+01,0.000101,0.5,PASS
rlo,125,p13,5e9,z_driving_point,1.76474e+01 + j1.93984e+02,1.764760079e+01 + j1.939837631e+02,0.000159,0.5,PASS
rlo,125,p13,1e10,z_driving_point,1.30823e+02 + j6.43447e+02,1.308155283e+02 + j6.434303337e+02,0.002782,0.5,PASS
rlo,125,p13,2e10,z_driving_point,1.27256e+02 + j-6.93976e+02,1.272494715e+02 + j-6.939586844e+02,0.002623,0.5,PASS
rlo,125,p11,1e9,z_driving_point,4.31784e+00 + j2.89429e+01,4.317840807e+00 + j2.894288850e+01,0.000039,0.5,PASS
