 frequency       l_ind_p1        q_ind_p1        l_ind_p13       q_ind_p13       l_ind_p11       q_ind_p11      
 1.00000000e+08  1.03769141e-10  3.79364216e-01  5.41214677e-09  7.31042320e-01  4.57109550e-09  9.57446606e-01 
 1.04736719e+08  1.03769117e-10  3.97328179e-01  5.41220179e-09  7.65652837e-01  4.57114494e-09  1.00277442e+00 
 1.09697804e+08  1.03769090e-10  4.16142233e-01  5.41226211e-09  8.01900185e-01  4.57119915e-09  1.05024565e+00 
 1.14893881e+08  1.03769060e-10  4.35846522e-01  5.41232826e-09  8.39861502e-01  4.57125858e-09  1.09996125e+00 
 1.20336082e+08  1.03769027e-10  4.56483076e-01  5.41240078e-09  8.79617514e-01  4.57132373e-09  1.15202689e+00 
 1.26036065e+08  1.03768992e-10  4.78095895e-01  5.41248028e-09  9.21252699e-01  4.57139515e-09  1.20655309e+00 
 1.32006039e+08  1.03768953e-10  5.00731036e-01  5.41256742e-09  9.64855451e-01  4.57147344e-09  1.26365554e+00 
 1.38258795e+08  1.03768910e-10  5.24436716e-01  5.41266295e-09  1.01051825e+00  4.57155925e-09  1.32345522e+00 
 1.44807726e+08  1.03768863e-10  5.49263399e-01  5.41276765e-09  1.05833785e+00  4.57165330e-09  1.38607868e+00 
 1.51666862e+08  1.03768811e-10  5.75263907e-01  5.41288241e-09  1.10841545e+00  4.57175636e-09  1.45165829e+00 
 1.58850896e+08  1.03768755e-10  6.02493522e-01  5.41300816e-09  1.16085687e+00  4.57186930e-09  1.52033241e+00 
 1.66375217e+08  1.03768693e-10  6.31010096e-01  5.41314596e-09  1.21577278e+00  4.57199304e-09  1.59224572e+00 
 1.74255944e+08  1.03768625e-10  6.60874168e-01  5.41329694e-09  1.27327887e+00  4.57212861e-09  1.66754939e+00 
 1.82509959e+08  1.03768550e-10  6.92149080e-01  5.41346234e-09  1.33349604e+00  4.57227710e-09  1.74640140e+00 
 1.91154944e+08  1.03768468e-10  7.24901105e-01  5.41364352e-09  1.39655065e+00  4.57243975e-09  1.82896674e+00 
 2.00209417e+08  1.03768378e-10  7.59199572e-01  5.41384196e-09  1.46257465e+00  4.57261786e-09  1.91541768e+00 
 2.09692776e+08  1.03768279e-10  7.95116997e-01  5.41405927e-09  1.53170588e+00  4.57281288e-09  2.00593400e+00 
 2.19625334e+08  1.03768171e-10  8.32729224e-01  5.41429720e-09  1.60408818e+00  4.57302638e-09  2.10070327e+00 
 2.30028370e+08  1.03768052e-10  8.72115565e-01  5.41455766e-09  1.67987163e+00  4.57326006e-09  2.19992101e+00 
 2.40924169e+08  1.03767922e-10  9.13358943e-01  5.41484274e-09  1.75921277e+00  4.57351577e-09  2.30379096e+00 
 2.52336071e+08  1.03767779e-10  9.56546046e-01  5.41515469e-09  1.84227470e+00  4.57379553e-09  2.41252520e+00 
 2.64288522e+08  1.03767623e-10  1.00176748e+00  5.41549598e-09  1.92922732e+00  4.57410154e-09  2.52634438e+00 
 2.76807128e+08  1.03767451e-10  1.04911792e+00  5.41586926e-09  2.02024741e+00  4.57443615e-09  2.64547773e+00 
 2.89918705e+08  1.03767262e-10  1.09869628e+00  5.41627743e-09  2.11551881e+00  4.57480194e-09  2.77016319e+00 
 3.03651341e+08  1.03767055e-10  1.15060588e+00  5.41672363e-09  2.21523240e+00  4.57520169e-09  2.90064738e+00 
 3.18034453e+08  1.03766829e-10  1.20495460e+00  5.41721123e-09  2.31958621e+00  4.57563842e-09  3.03718544e+00 
 3.33098852e+08  1.03766580e-10  1.26185505e+00  5.41774391e-09  2.42878537e+00  4.57611535e-09  3.18004090e+00 
 3.48876811e+08  1.03766307e-10  1.32142474e+00  5.41832561e-09  2.54304196e+00  4.57663599e-09  3.32948527e+00 
 3.65402126e+08  1.03766007e-10  1.38378626e+00  5.41896060e-09  2.66257484e+00  4.57720411e-09  3.48579753e+00 
 3.82710200e+08  1.03765678e-10  1.44906743e+00  5.41965347e-09  2.78760937e+00  4.57782376e-09  3.64926346e+00 
 4.00838108e+08  1.03765318e-10  1.51740149e+00  5.42040916e-09  2.91837690e+00  4.57849927e-09  3.82017463e+00 
