 frequency       l_ind_p1        q_ind_p1        l_ind_p13       q_ind_p13       l_ind_p11       q_ind_p11      
 1.00000000e+08  1.03769056e-10  2.76441676e-01  5.41100906e-09  5.32590844e-01  4.57049771e-09  6.97592201e-01 
 1.04736719e+08  1.03769044e-10  2.89533827e-01  5.41105657e-09  5.57807992e-01  4.57054162e-09  7.30621021e-01 
 1.09697804e+08  1.03769031e-10  3.03245801e-01  5.41110862e-09  5.84218049e-01  4.57058973e-09  7.65212139e-01 
 1.14893881e+08  1.03769016e-10  3.17606910e-01  5.41116565e-09  6.11877281e-01  4.57064243e-09  8.01439210e-01 
 1.20336082e+08  1.03769000e-10  3.32647850e-01  5.41122812e-09  6.40844577e-01  4.57070015e-09  8.39379325e-01 
 1.26036065e+08  1.03768983e-10  3.48400758e-01  5.41129654e-09  6.71181571e-01  4.57076336e-09  8.79113159e-01 
 1.32006039e+08  1.03768964e-10  3.64899288e-01  5.41137148e-09  7.02952766e-01  4.57083257e-09  9.20725132e-01 
 1.38258795e+08  1.03768943e-10  3.82178677e-01  5.41145353e-09  7.36225658e-01  4.57090833e-09  9.64303570e-01 
 1.44807726e+08  1.03768920e-10  4.00275817e-01  5.41154336e-09  7.71070869e-01  4.57099125e-09  1.00994088e+00 
 1.51666862e+08  1.03768895e-10  4.19229335e-01  5.41164168e-09  8.07562285e-01  4.57108199e-09  1.05773372e+00 
 1.58850896e+08  1.03768867e-10  4.39079672e-01  5.41174929e-09  8.45777191e-01  4.57118126e-09  1.10778318e+00 
 1.66375217e+08  1.03768837e-10  4.59869165e-01  5.41186702e-09  8.85796421e-01  4.57128984e-09  1.16019495e+00 
 1.74255944e+08  1.03768803e-10  4.81642134e-01  5.41199580e-09  9.27704504e-01  4.57140857e-09  1.21507956e+00 
 1.82509959e+08  1.03768767e-10  5.04444978e-01  5.41213663e-09  9.71589815e-01  4.57153836e-09  1.27255249e+00 
 1.91154944e+08  1.03768727e-10  5.28326263e-01  5.41229060e-09  1.01754473e+00  4.57168020e-09  1.33273443e+00 
 2.00209417e+08  1.03768682e-10  5.53336822e-01  5.41245888e-09  1.06566579e+00  4.57183514e-09  1.39575144e+00 
 2.09692776e+08  1.03768634e-10  5.79529862e-01  5.41264275e-09  1.11605383e+00  4.57200436e-09  1.46173516e+00 
 2.19625334e+08  1.03768581e-10  6.06961066e-01  5.41284357e-09  1.16881420e+00  4.57218908e-09  1.53082298e+00 
 2.30028370e+08  1.03768523e-10  6.35688706e-01  5.41306283e-09  1.22405684e+00  4.57239064e-09  1.60315824e+00 
 2.40924169e+08  1.03768459e-10  6.65773760e-01  5.41330213e-09  1.28189652e+00  4.57261048e-09  1.67889041e+00 
 2.52336071e+08  1.03768389e-10  6.97280028e-01  5.41356319e-09  1.34245292e+00  4.57285015e-09  1.75817522e+00 
 2.64288522e+08  1.03768312e-10  7.30274258e-01  5.41384785e-09  1.40585083e+00  4.57311131e-09  1.84117488e+00 
 2.76807128e+08  1.03768228e-10  7.64826278e-01  5.41415811e-09  1.47222024e+00  4.57339571e-09  1.92805813e+00 
 2.89918705e+08  1.03768135e-10  8.01009123e-01  5.41449609e-09  1.54169649e+00  4.57370527e-09  2.01900041e+00 
 3.03651341e+08  1.03768034e-10  8.38899177e-01  5.41486407e-09  1.61442039e+00  4.57404200e-09  2.11418388e+00 
 3.18034453e+08  1.03767922e-10  8.78576314e-01  5.41526448e-09  1.69053825e+00  4.57440805e-09  2.21379749e+00 
 3.33098852e+08  1.03767800e-10  9.20124045e-01  5.41569994e-09  1.77020202e+00  4.57480572e-09  2.31803692e+00 
 3.48876811e+08  1.03767665e-10  9.63629665e-01  5.41617320e-09  1.85356924e+00  4.57523745e-09  2.42710453e+00 
 3.65402126e+08  1.03767518e-10  1.00918441e+00  5.41668724e-09  1.94080306e+00  4.57570581e-09  2.54120922e+00 
