f_hz,l_se_raw_h,q_se_raw,l_se_h,q_se,re_zse_ohm,im_zse_ohm,l_diff_h,q_diff,re_zdiff_ohm,im_zdiff_ohm
750000000,5.09136e-09,3.42543,5.08761e-09,3.42292,7.00418,23.9748,5.0852e-09,3.43881,6.96853,23.9634
800000000,5.09774e-09,3.64347,5.09398e-09,3.64081,7.03281,25.6052,5.09084e-09,3.6602,6.99125,25.5893
850000000,5.10453e-09,3.85936,5.10077e-09,3.85655,7.06375,27.2417,5.09684e-09,3.87997,7.01571,27.2207
900000000,5.11173e-09,4.07293,5.10797e-09,4.06997,7.09707,28.8849,5.10322e-09,4.098,7.04198,28.858
950000000,5.11934e-09,4.28399,5.11558e-09,4.28089,7.13287,30.535,5.10997e-09,4.31416,7.07009,30.5015
1000000000,5.12737e-09,4.49237,5.12361e-09,4.48913,7.17122,32.1926,5.1171e-09,4.52833,7.10012,32.1517
1050000000,5.13581e-09,4.69789,5.13204e-09,4.69452,7.21222,33.8579,5.1246e-09,4.74035,7.13212,33.8087
1100000000,5.14466e-09,4.90036,5.1409e-09,4.89685,7.25596,35.5313,5.13247e-09,4.9501,7.16615,35.4731
1150000000,5.15393e-09,5.09959,5.15016e-09,5.09595,7.30254,37.2133,5.14073e-09,5.15742,7.20228,37.1452
1200000000,5.16362e-09,5.29539,5.15985e-09,5.29163,7.35205,38.9043,5.14937e-09,5.36218,7.24058,38.8253
1250000000,5.17372e-09,5.48759,5.16995e-09,5.48371,7.40461,40.6047,5.15839e-09,5.56424,7.28112,40.5139
1300000000,5.18424e-09,5.67599,5.18047e-09,5.67199,7.46031,42.3148,5.1678e-09,5.76344,7.32397,42.2113
1350000000,5.19518e-09,5.86042,5.19141e-09,5.85631,7.51926,44.0351,5.17759e-09,5.95964,7.36922,43.9179
1400000000,5.20655e-09,6.04069,5.20277e-09,6.03648,7.58157,45.766,5.18777e-09,6.15268,7.41693,45.634
1450000000,5.21834e-09,6.21665,5.21456e-09,6.21233,7.64734,47.5079,5.19835e-09,6.34243,7.46719,47.3602
1500000000,5.23055e-09,6.38813,5.22677e-09,6.38372,7.71669,49.2612,5.20932e-09,6.52874,7.52008,49.0966
1550000000,5.24319e-09,6.55496,5.23941e-09,6.55046,7.78973,51.0263,5.22068e-09,6.71146,7.57568,50.8439
1600000000,5.25627e-09,6.71702,5.25249e-09,6.71243,7.86656,52.8038,5.23245e-09,6.89045,7.63409,52.6023
1650000000,5.26978e-09,6.87414,5.266e-09,6.86948,7.94732,54.5939,5.24462e-09,7.06557,7.69539,54.3723
1700000000,5.28373e-09,7.02622,5.27994e-09,7.02148,8.0321,56.3973,5.2572e-09,7.23668,7.75968,56.1543
1750000000,5.29812e-09,7.17313,5.29433e-09,7.16833,8.12104,58.2142,5.27019e-09,7.40366,7.82704,57.9487
1800000000,5.31296e-09,7.31477,5.30917e-09,7.3099,8.21424,60.0453,5.28359e-09,7.56638,7.89757,59.756
1850000000,5.32825e-09,7.45105,5.32446e-09,7.44613,8.31182,61.8909,5.29741e-09,7.72471,7.97137,61.5765
1900000000,5.34399e-09,7.5819,5.3402e-09,7.57693,8.4139,63.7516,5.31165e-09,7.87856,8.04852,63.4108
1950000000,5.3602e-09,7.70726,5.3564e-09,7.70224,8.52061,65.6278,5.32632e-09,8.02781,8.12914,65.2592
2000000000,5.37687e-09,7.82707,5.37307e-09,7.82201,8.63206,67.52,5.34142e-09,8.17237,8.21332,67.1223
2050000000,5.39402e-09,7.94129,5.39021e-09,7.9362,8.74837,69.4288,5.35696e-09,8.31215,8.30116,69.0005
2100000000,5.41164e-09,8.04992,5.40784e-09,8.0448,8.86967,71.3547,5.37294e-09,8.44706,8.39278,70.8943
2150000000,5.42975e-09,8.15295,5.42594e-09,8.1478,8.99607,73.2982,5.38937e-09,8.57705,8.48825,72.8041
2200000000,5.44835e-09,8.25037,5.44454e-09,8.24521,9.12772,75.26,5.40624e-09,8.70204,8.5877,74.7306
2250000000,5.46746e-09,8.34222,5.46365e-09,8.33705,9.26473,77.2405,5.42358e-09,8.822,8.69124,76.6741
2300000000,5.48707e-09,8.42854,5.48326e-09,8.42335,9.40722,79.2404,5.44139e-09,8.93689,8.79895,78.6352
2350000000,5.50721e-09,8.50936,5.50339e-09,8.50417,9.55534,81.2602,5.45966e-09,9.04668,8.91096,80.6145
2400000000,5.52787e-09,8.58475,5.52405e-09,8.57956,9.7092,83.3007,5.47842e-09,9.15135,9.02737,82.6126
2450000000,5.54907e-09,8.65478,5.54525e-09,8.6496,9.86896,85.3625,5.49766e-09,9.2509,9.14828,84.6299
